Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,395737,235570,29681,189848,850836,2025-04-18
IMOEXF,Изменение,10720,7232,-2770,718,15900,2025-04-18
IMOEXF,Количество лиц,7998,1945,25,39,10007,2025-04-18
SBER,Открытые позиции,104859,47174,74518,132203,358754,2025-04-18
SBER,Изменение,-9796,-3301,11137,4642,2682,2025-04-18
SBER,Количество лиц,4060,1097,48,34,5239,2025-04-18
GAZP,Открытые позиции,209153,29561,283755,463347,985816,2025-04-18
GAZP,Изменение,-10888,2780,18712,5044,15648,2025-04-18
GAZP,Количество лиц,3447,957,15,111,4530,2025-04-18
SMLT,Открытые позиции,200978,51400,7725,157303,417406,2025-04-18
SMLT,Изменение,-47593,358,1335,-46616,-92516,2025-04-18
SMLT,Количество лиц,940,334,8,17,1299,2025-04-18
GMKN,Открытые позиции,353199,37767,181469,496901,1069336,2025-04-18
GMKN,Изменение,-7448,7417,7132,-7733,-632,2025-04-18
GMKN,Количество лиц,1747,279,12,73,2111,2025-04-18
YDEX,Открытые позиции,120340,33540,12802,99602,266284,2025-04-18
YDEX,Изменение,-14035,7489,1305,-20219,-25460,2025-04-18
YDEX,Количество лиц,1187,301,8,20,1516,2025-04-18
MGNT,Открытые позиции,87205,5474,2555,84286,179520,2025-04-18
MGNT,Изменение,545,-66,2,613,1094,2025-04-18
MGNT,Количество лиц,1276,176,6,20,1478,2025-04-18
ABIO,Открытые позиции,3946,588,113,3471,8118,2025-04-18
ABIO,Изменение,-5687,-88,113,-5486,-11148,2025-04-18
ABIO,Количество лиц,78,13,1,4,96,2025-04-18
VTBR,Открытые позиции,160136,33787,31907,158256,384086,2025-04-18
VTBR,Изменение,-10280,7428,5965,-11743,-8630,2025-04-18
VTBR,Количество лиц,2611,597,10,46,3264,2025-04-18
SGZH,Открытые позиции,60998,65946,5344,396,132684,2025-04-18
SGZH,Изменение,62,-3200,-3373,-111,-6622,2025-04-18
SGZH,Количество лиц,590,276,5,3,874,2025-04-18
TRNFP,Открытые позиции,87280,27715,7994,67559,190548,2025-04-18
TRNFP,Изменение,2332,2438,922,816,6508,2025-04-18
TRNFP,Количество лиц,726,162,3,19,910,2025-04-18
WUSH,Открытые позиции,58117,6502,2156,53771,120546,2025-04-18
WUSH,Изменение,2599,557,-477,1565,4244,2025-04-18
WUSH,Количество лиц,657,147,5,18,827,2025-04-18
VKCO,Открытые позиции,63892,15396,1343,49839,130470,2025-04-18
VKCO,Изменение,1571,-681,7,2259,3156,2025-04-18
VKCO,Количество лиц,761,240,3,39,1043,2025-04-18
BABA,Открытые позиции,34779,4766,301,30314,70160,2025-04-18
BABA,Изменение,-385,-403,1,19,-768,2025-04-18
BABA,Количество лиц,420,130,3,2,555,2025-04-18
BIDU,Открытые позиции,29939,2027,1,27913,59880,2025-04-18
BIDU,Изменение,399,82,1,318,800,2025-04-18
BIDU,Количество лиц,228,44,1,3,276,2025-04-18
SIBN,Открытые позиции,22636,2127,774,21283,46820,2025-04-18
SIBN,Изменение,-6,-46,-57,-17,-126,2025-04-18
SIBN,Количество лиц,611,81,6,29,727,2025-04-18
RNFT,Открытые позиции,44771,21063,610,24318,90762,2025-04-18
RNFT,Изменение,1530,-38,433,2001,3926,2025-04-18
RNFT,Количество лиц,410,152,2,24,588,2025-04-18
MVID,Открытые позиции,9506,10379,1733,860,22478,2025-04-18
MVID,Изменение,359,-218,-755,-178,-792,2025-04-18
MVID,Количество лиц,125,118,2,5,250,2025-04-18
PIKK,Открытые позиции,38671,14974,1672,25369,80686,2025-04-18
PIKK,Изменение,380,519,21,-118,802,2025-04-18
PIKK,Количество лиц,710,253,3,29,995,2025-04-18
BELU,Открытые позиции,41158,32652,67,8573,82450,2025-04-18
BELU,Изменение,329,27,-138,164,382,2025-04-18
BELU,Количество лиц,289,73,1,8,371,2025-04-18
MTLR,Открытые позиции,11940,15757,7508,3691,38896,2025-04-18
MTLR,Изменение,133,2233,2138,38,4542,2025-04-18
MTLR,Количество лиц,416,324,6,6,752,2025-04-18
POSI,Открытые позиции,78655,52947,8398,34106,174106,2025-04-18
POSI,Изменение,1018,609,-578,-169,880,2025-04-18
POSI,Количество лиц,657,205,4,32,898,2025-04-18
ASTR,Открытые позиции,73623,17323,0,56300,147246,2025-04-18
ASTR,Изменение,601,-21,0,622,1202,2025-04-18
ASTR,Количество лиц,425,99,0,13,537,2025-04-18
SOFL,Открытые позиции,25472,1864,95,23703,51134,2025-04-18
SOFL,Изменение,-664,-466,89,-109,-1150,2025-04-18
SOFL,Количество лиц,179,46,1,12,238,2025-04-18
ALRS,Открытые позиции,21536,4093,81110,98553,205292,2025-04-18
ALRS,Изменение,-1126,318,1026,-418,-200,2025-04-18
ALRS,Количество лиц,504,192,6,65,767,2025-04-18
NLMK,Открытые позиции,18983,5612,3379,16750,44724,2025-04-18
NLMK,Изменение,419,174,-133,112,572,2025-04-18
NLMK,Количество лиц,483,127,6,20,636,2025-04-18
AFLT,Открытые позиции,26683,16148,63,10598,53492,2025-04-18
AFLT,Изменение,-3520,-602,-20,-2938,-7080,2025-04-18
AFLT,Количество лиц,678,241,3,33,955,2025-04-18
BANE,Открытые позиции,5410,4577,2557,3390,15934,2025-04-18
BANE,Изменение,207,89,-169,-51,76,2025-04-18
BANE,Количество лиц,155,72,2,8,237,2025-04-18
RUAL,Открытые позиции,21125,3511,1843,19457,45936,2025-04-18
