Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,411504,286756,36779,161527,896566,2025-05-22
IMOEXF,Изменение,-6472,-10585,959,5072,-11026,2025-05-22
IMOEXF,Количество лиц,7036,2569,23,42,9670,2025-05-22
SBER,Открытые позиции,111386,44132,113838,181092,450448,2025-05-22
SBER,Изменение,3520,3989,-355,-824,6330,2025-05-22
SBER,Количество лиц,3491,1686,33,70,5280,2025-05-22
GAZP,Открытые позиции,231621,104889,320060,446792,1103362,2025-05-22
GAZP,Изменение,34977,16613,-6199,12165,57556,2025-05-22
GAZP,Количество лиц,3673,1327,28,87,5115,2025-05-22
SMLT,Открытые позиции,197960,65035,27490,160415,450900,2025-05-22
SMLT,Изменение,7366,10743,1294,-2083,17320,2025-05-22
SMLT,Количество лиц,925,325,9,24,1283,2025-05-22
GMKN,Открытые позиции,366235,75225,102134,393144,936738,2025-05-22
GMKN,Изменение,17578,6661,5776,16693,46708,2025-05-22
GMKN,Количество лиц,1777,455,17,49,2298,2025-05-22
YDEX,Открытые позиции,122210,27469,2107,96848,248634,2025-05-22
YDEX,Изменение,-183,-318,615,750,864,2025-05-22
YDEX,Количество лиц,1203,430,7,45,1685,2025-05-22
MGNT,Открытые позиции,104002,9879,7502,101625,223008,2025-05-22
MGNT,Изменение,-3142,-2849,-79,-372,-6442,2025-05-22
MGNT,Количество лиц,1305,245,4,26,1580,2025-05-22
ABIO,Открытые позиции,3354,468,435,3321,7578,2025-05-22
ABIO,Изменение,-133,-10,135,12,4,2025-05-22
ABIO,Количество лиц,76,12,2,2,92,2025-05-22
VTBR,Открытые позиции,162251,30735,6299,137815,337100,2025-05-22
VTBR,Изменение,-13,-59,-373,-327,-772,2025-05-22
VTBR,Количество лиц,2246,923,11,37,3217,2025-05-22
SGZH,Открытые позиции,58201,59492,1989,698,120380,2025-05-22
SGZH,Изменение,119,-239,-409,-51,-580,2025-05-22
SGZH,Количество лиц,509,233,3,6,751,2025-05-22
TRNFP,Открытые позиции,146090,30932,21804,136962,335788,2025-05-22
TRNFP,Изменение,4502,32,0,4470,9004,2025-05-22
TRNFP,Количество лиц,873,161,2,33,1069,2025-05-22
WUSH,Открытые позиции,48014,5194,6853,49673,109734,2025-05-22
WUSH,Изменение,443,364,420,499,1726,2025-05-22
WUSH,Количество лиц,606,113,10,11,740,2025-05-22
VKCO,Открытые позиции,59642,14394,1995,47243,123274,2025-05-22
VKCO,Изменение,1504,-1450,39,2993,3086,2025-05-22
VKCO,Количество лиц,715,208,4,25,952,2025-05-22
BABA,Открытые позиции,19576,5300,113,14389,39378,2025-05-22
BABA,Изменение,-2752,47,0,-2799,-5504,2025-05-22
BABA,Количество лиц,326,113,2,3,444,2025-05-22
BIDU,Открытые позиции,32188,6131,19,26076,64414,2025-05-22
BIDU,Изменение,1959,-291,0,2250,3918,2025-05-22
BIDU,Количество лиц,329,37,1,4,371,2025-05-22
SIBN,Открытые позиции,19172,1980,417,17609,39178,2025-05-22
SIBN,Изменение,-353,-284,-220,-289,-1146,2025-05-22
SIBN,Количество лиц,596,90,4,11,701,2025-05-22
RNFT,Открытые позиции,46300,30944,1275,16631,95150,2025-05-22
RNFT,Изменение,-1375,2353,1275,-2453,-200,2025-05-22
RNFT,Количество лиц,322,144,4,8,478,2025-05-22
MVID,Открытые позиции,8873,8293,336,916,18418,2025-05-22
MVID,Изменение,8,139,-3,-134,10,2025-05-22
MVID,Количество лиц,144,98,1,7,250,2025-05-22
PIKK,Открытые позиции,35135,18969,5810,21976,81890,2025-05-22
PIKK,Изменение,-831,-4717,-524,3362,-2710,2025-05-22
PIKK,Количество лиц,595,429,8,19,1051,2025-05-22
BELU,Открытые позиции,54791,47215,319,7895,110220,2025-05-22
BELU,Изменение,-1029,452,54,-1427,-1950,2025-05-22
BELU,Количество лиц,341,91,4,8,444,2025-05-22
MTLR,Открытые позиции,13529,18650,9545,4424,46148,2025-05-22
MTLR,Изменение,410,1442,967,-65,2754,2025-05-22
MTLR,Количество лиц,459,373,5,11,848,2025-05-22
POSI,Открытые позиции,85661,30625,288,55324,171898,2025-05-22
POSI,Изменение,-1114,-280,-37,-871,-2302,2025-05-22
POSI,Количество лиц,687,163,4,20,874,2025-05-22
ASTR,Открытые позиции,74060,9776,0,64284,148120,2025-05-22
ASTR,Изменение,842,258,-297,287,1090,2025-05-22
ASTR,Количество лиц,426,97,0,10,533,2025-05-22
SOFL,Открытые позиции,29421,2907,0,26514,58842,2025-05-22
SOFL,Изменение,-85,-53,0,-32,-170,2025-05-22
SOFL,Количество лиц,182,46,0,15,243,2025-05-22
ALRS,Открытые позиции,26358,4186,81307,103479,215330,2025-05-22
ALRS,Изменение,504,-182,-38,648,932,2025-05-22
ALRS,Количество лиц,598,181,5,47,831,2025-05-22
NLMK,Открытые позиции,18723,6281,3542,15984,44530,2025-05-22
NLMK,Изменение,-121,142,123,-140,4,2025-05-22
NLMK,Количество лиц,475,185,8,18,686,2025-05-22
AFLT,Открытые позиции,17038,14712,662,2988,35400,2025-05-22
AFLT,Изменение,175,-124,-109,190,132,2025-05-22
AFLT,Количество лиц,611,259,7,16,893,2025-05-22
BANE,Открытые позиции,5264,4014,196,1446,10920,2025-05-22
BANE,Изменение,51,-51,-55,47,-8,2025-05-22
BANE,Количество лиц,150,75,1,12,238,2025-05-22
RUAL,Открытые позиции,25353,4182,1419,22590,53544,2025-05-22
RUAL,Изменение,1074,1158,-161,-245,1826,2025-05-22
RUAL,Количество лиц,475,129,5,18,627,2025-05-22
LEAS,Открытые позиции,36187,10342,1668,27513,75710,2025-05-22
LEAS,Изменение,33,-79,57,169,180,2025-05-22
LEAS,Количество лиц,276,59,1,7,343,2025-05-22
AFKS,Открытые позиции,6792,6109,1741,2424,17066,2025-05-22
AFKS,Изменение,-100,1211,1126,-185,2052,2025-05-22
AFKS,Количество лиц,351,221,9,6,587,2025-05-22
RTKM,Открытые позиции,23020,8991,5118,19147,56276,2025-05-22
RTKM,Изменение,731,826,5,-90,1472,2025-05-22
RTKM,Количество лиц,459,154,4,22,639,2025-05-22
SFIN,Открытые позиции,12653,11399,232,1486,25770,2025-05-22
SFIN,Изменение,-81,376,232,-225,302,2025-05-22
SFIN,Количество лиц,195,65,2,4,266,2025-05-22
MOEX,Открытые позиции,15915,3573,6086,18428,44002,2025-05-22
MOEX,Изменение,389,-187,218,794,1214,2025-05-22
MOEX,Количество лиц,809,173,12,27,1021,2025-05-22
SBERP,Открытые позиции,8656,1393,3548,10811,24408,2025-05-22
SBERP,Изменение,-54,202,1,-255,-106,2025-05-22
SBERP,Количество лиц,424,144,7,21,596,2025-05-22
ROSN,Открытые позиции,8895,1819,10601,17677,38992,2025-05-22
ROSN,Изменение,315,-19,-222,112,186,2025-05-22
ROSN,Количество лиц,921,237,11,26,1195,2025-05-22
FESH,Открытые позиции,5166,2422,0,2744,10332,2025-05-22
FESH,Изменение,-26,166,-20,-212,-92,2025-05-22
FESH,Количество лиц,87,74,0,12,173,2025-05-22
PHOR,Открытые позиции,21539,7328,894,15105,44866,2025-05-22
PHOR,Изменение,-147,-475,-129,199,-552,2025-05-22
PHOR,Количество лиц,295,148,4,13,460,2025-05-22
SVCB,Открытые позиции,60047,17280,194,42961,120482,2025-05-22
SVCB,Изменение,274,303,0,-29,548,2025-05-22
SVCB,Количество лиц,458,206,1,13,678,2025-05-22
CBOM,Открытые позиции,998,2472,2089,615,6174,2025-05-22
CBOM,Изменение,78,-114,0,192,156,2025-05-22
CBOM,Количество лиц,71,45,2,10,128,2025-05-22
LKOH,Открытые позиции,11312,7530,76493,80275,175610,2025-05-22
