Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,454575,272867,21769,203477,952688,2025-06-14
IMOEXF,Изменение,-24463,-16141,1054,-7268,-46818,2025-06-14
IMOEXF,Количество лиц,7745,2097,22,37,9901,2025-06-14
SBER,Открытые позиции,120481,42424,156738,234795,554438,2025-06-14
SBER,Изменение,-1894,1125,6797,3778,9806,2025-06-14
SBER,Количество лиц,3528,1612,60,54,5254,2025-06-14
GAZP,Открытые позиции,242121,61075,478730,659776,1441702,2025-06-14
GAZP,Изменение,-2542,-6355,-2539,1274,-10162,2025-06-14
GAZP,Количество лиц,3547,1193,33,75,4848,2025-06-14
SMLT,Открытые позиции,204545,65528,60016,199033,529122,2025-06-14
SMLT,Изменение,-2524,-4350,2584,4410,120,2025-06-14
SMLT,Количество лиц,1029,328,10,35,1402,2025-06-14
GMKN,Открытые позиции,487596,90473,144296,541419,1263784,2025-06-14
GMKN,Изменение,20051,334,-1828,17889,36446,2025-06-14
GMKN,Количество лиц,2072,565,9,50,2696,2025-06-14
YDEX,Открытые позиции,132639,26836,31264,137067,327806,2025-06-14
YDEX,Изменение,-10230,8169,17079,-1320,13698,2025-06-14
YDEX,Количество лиц,1292,405,16,23,1736,2025-06-14
MGNT,Открытые позиции,167062,10304,30021,186779,394166,2025-06-14
MGNT,Изменение,-237,487,177,-547,-120,2025-06-14
MGNT,Количество лиц,1523,242,9,23,1797,2025-06-14
ABIO,Открытые позиции,2667,403,1310,3574,7954,2025-06-14
ABIO,Изменение,-154,0,1,-153,-306,2025-06-14
ABIO,Количество лиц,80,9,3,3,95,2025-06-14
VTBR,Открытые позиции,207001,46504,31874,192371,477750,2025-06-14
VTBR,Изменение,7633,6851,18136,18918,51538,2025-06-14
VTBR,Количество лиц,2531,684,10,43,3268,2025-06-14
SGZH,Открытые позиции,51420,55815,5003,608,112846,2025-06-14
SGZH,Изменение,-664,-2882,-1849,369,-5026,2025-06-14
SGZH,Количество лиц,450,236,3,3,692,2025-06-14
TRNFP,Открытые позиции,125635,46099,83393,162929,418056,2025-06-14
TRNFP,Изменение,3967,-2678,-1137,5508,5660,2025-06-14
TRNFP,Количество лиц,731,175,6,11,923,2025-06-14
WUSH,Открытые позиции,53799,7824,13673,59648,134944,2025-06-14
WUSH,Изменение,-1364,-1570,897,1103,-934,2025-06-14
WUSH,Количество лиц,604,157,14,14,789,2025-06-14
VKCO,Открытые позиции,55246,13894,16398,57750,143288,2025-06-14
VKCO,Изменение,-1370,-927,900,457,-940,2025-06-14
VKCO,Количество лиц,704,218,12,15,949,2025-06-14
BABA,Открытые позиции,21115,19027,0,2088,42230,2025-06-14
BABA,Изменение,700,-8350,-6992,2058,-12584,2025-06-14
BABA,Количество лиц,402,77,0,4,483,2025-06-14
BIDU,Открытые позиции,27738,9724,20,18034,55516,2025-06-14
BIDU,Изменение,-1478,1,0,-1479,-2956,2025-06-14
BIDU,Количество лиц,188,39,1,3,231,2025-06-14
SIBN,Открытые позиции,14626,2337,6689,18978,42630,2025-06-14
SIBN,Изменение,647,-407,-152,902,990,2025-06-14
SIBN,Количество лиц,468,107,9,10,594,2025-06-14
RNFT,Открытые позиции,48986,26340,127,22773,98226,2025-06-14
RNFT,Изменение,-1280,3145,-88,-4513,-2736,2025-06-14
RNFT,Количество лиц,326,185,2,10,523,2025-06-14
MVID,Открытые позиции,9850,10964,7298,6184,34296,2025-06-14
MVID,Изменение,1290,-1710,513,3513,3606,2025-06-14
MVID,Количество лиц,134,83,2,12,231,2025-06-14
PIKK,Открытые позиции,37740,26396,11495,22839,98470,2025-06-14
PIKK,Изменение,-4652,-3659,128,-865,-9048,2025-06-14
PIKK,Количество лиц,611,522,14,21,1168,2025-06-14
BELU,Открытые позиции,44949,31028,1299,15220,92496,2025-06-14
BELU,Изменение,517,-3147,-1,3663,1032,2025-06-14
BELU,Количество лиц,329,88,3,13,433,2025-06-14
MTLR,Открытые позиции,13492,18649,9651,4494,46286,2025-06-14
MTLR,Изменение,-324,-989,-647,18,-1942,2025-06-14
MTLR,Количество лиц,444,306,3,11,764,2025-06-14
POSI,Открытые позиции,88455,12655,644,76444,178198,2025-06-14
POSI,Изменение,655,-541,134,1330,1578,2025-06-14
POSI,Количество лиц,708,136,5,25,874,2025-06-14
ASTR,Открытые позиции,56897,18625,11301,49573,136396,2025-06-14
ASTR,Изменение,-2010,-1086,1990,1066,-40,2025-06-14
ASTR,Количество лиц,407,107,6,10,530,2025-06-14
SOFL,Открытые позиции,24247,2936,615,21926,49724,2025-06-14
SOFL,Изменение,256,-189,12,457,536,2025-06-14
SOFL,Количество лиц,185,43,1,12,241,2025-06-14
ALRS,Открытые позиции,28676,4040,70242,94878,197836,2025-06-14
ALRS,Изменение,84,220,951,815,2070,2025-06-14
ALRS,Количество лиц,553,175,15,29,772,2025-06-14
NLMK,Открытые позиции,26069,5578,2853,23344,57844,2025-06-14
NLMK,Изменение,-606,-350,-12,-268,-1236,2025-06-14
NLMK,Количество лиц,540,158,4,25,727,2025-06-14
AFLT,Открытые позиции,23970,12968,157,11159,48254,2025-06-14
AFLT,Изменение,-574,62,55,-581,-1038,2025-06-14
AFLT,Количество лиц,652,226,2,30,910,2025-06-14
BANE,Открытые позиции,4361,4504,1388,1245,11498,2025-06-14
BANE,Изменение,-1166,-237,695,-234,-942,2025-06-14
BANE,Количество лиц,166,77,9,8,260,2025-06-14
RUAL,Открытые позиции,30623,3166,2920,30377,67086,2025-06-14
RUAL,Изменение,717,-904,44,1665,1522,2025-06-14
RUAL,Количество лиц,512,99,4,20,635,2025-06-14
LEAS,Открытые позиции,42751,16674,688,26765,86878,2025-06-14
LEAS,Изменение,-103,-450,196,543,186,2025-06-14
LEAS,Количество лиц,265,81,2,10,358,2025-06-14
AFKS,Открытые позиции,6139,9055,3848,932,19974,2025-06-14
AFKS,Изменение,-144,173,86,-231,-116,2025-06-14
AFKS,Количество лиц,348,242,4,18,612,2025-06-14
RTKM,Открытые позиции,23460,4389,5458,24529,57836,2025-06-14
RTKM,Изменение,-591,-308,203,-80,-776,2025-06-14
RTKM,Количество лиц,379,95,7,15,496,2025-06-14
SFIN,Открытые позиции,13206,9944,3012,6274,32436,2025-06-14
SFIN,Изменение,568,-3741,-465,3844,206,2025-06-14
SFIN,Количество лиц,193,42,1,11,247,2025-06-14
MOEX,Открытые позиции,14927,3665,11246,22508,52346,2025-06-14
MOEX,Изменение,-730,134,912,48,364,2025-06-14
MOEX,Количество лиц,790,143,15,19,967,2025-06-14
SBERP,Открытые позиции,8350,1582,5337,12105,27374,2025-06-14
SBERP,Изменение,-113,-1,945,833,1664,2025-06-14
SBERP,Количество лиц,488,125,9,19,641,2025-06-14
ROSN,Открытые позиции,9640,4324,11669,16985,42618,2025-06-14
ROSN,Изменение,-1401,1996,2674,-723,2546,2025-06-14
ROSN,Количество лиц,947,297,10,29,1283,2025-06-14
FESH,Открытые позиции,3643,2963,94,774,7474,2025-06-14
FESH,Изменение,424,439,-56,-71,736,2025-06-14
FESH,Количество лиц,85,101,3,8,197,2025-06-14
PHOR,Открытые позиции,5186,4475,7975,8686,26322,2025-06-14
PHOR,Изменение,160,-245,-139,266,42,2025-06-14
PHOR,Количество лиц,275,97,7,12,391,2025-06-14
SVCB,Открытые позиции,60618,4668,825,56775,122886,2025-06-14
SVCB,Изменение,-2618,-670,732,-1216,-3772,2025-06-14
SVCB,Количество лиц,427,87,2,15,531,2025-06-14
CBOM,Открытые позиции,1953,16318,14583,218,33072,2025-06-14
CBOM,Изменение,-250,-1321,-1095,-24,-2690,2025-06-14
CBOM,Количество лиц,112,57,8,6,183,2025-06-14
LKOH,Открытые позиции,12674,9309,52107,55472,129562,2025-06-14
LKOH,Изменение,539,-823,-2359,-997,-3640,2025-06-14
LKOH,Количество лиц,1078,360,11,31,1480,2025-06-14
KMAZ,Открытые позиции,10381,4616,1430,7195,23622,2025-06-14
KMAZ,Изменение,358,-282,224,864,1164,2025-06-14
KMAZ,Количество лиц,157,57,3,8,225,2025-06-14
SNGS,Открытые позиции,10080,913,3717,12884,27594,2025-06-14
SNGS,Изменение,131,-91,264,486,790,2025-06-14
SNGS,Количество лиц,444,65,9,20,538,2025-06-14
HYDR,Открытые позиции,8360,2838,4591,10113,25902,2025-06-14
HYDR,Изменение,-153,-252,351,450,396,2025-06-14
HYDR,Количество лиц,200,77,6,14,297,2025-06-14
NVTK,Открытые позиции,5130,475,759,5414,11778,2025-06-14
NVTK,Изменение,-11,-35,34,58,46,2025-06-14
NVTK,Количество лиц,666,133,10,27,836,2025-06-14
FEES,Открытые позиции,5506,824,231,4913,11474,2025-06-14
FEES,Изменение,162,31,-190,-59,-56,2025-06-14
FEES,Количество лиц,177,56,3,11,247,2025-06-14
MAGN,Открытые позиции,2980,466,50,2564,6060,2025-06-14
MAGN,Изменение,-40,-218,-18,160,-116,2025-06-14
MAGN,Количество лиц,314,76,2,15,407,2025-06-14
BSPB,Открытые позиции,10201,8391,1138,2948,22678,2025-06-14
BSPB,Изменение,829,-495,-166,1158,1326,2025-06-14
BSPB,Количество лиц,260,125,3,15,403,2025-06-14
TATN,Открытые позиции,1472,2292,6491,5671,15926,2025-06-14
TATN,Изменение,-35,-294,-784,-525,-1638,2025-06-14
TATN,Количество лиц,254,124,4,21,403,2025-06-14
FLOT,Открытые позиции,6602,3328,1074,4348,15352,2025-06-14
FLOT,Изменение,-558,-2706,-179,1969,-1474,2025-06-14
FLOT,Количество лиц,248,128,3,17,396,2025-06-14
MTSS,Открытые позиции,3240,1919,8066,9387,22612,2025-06-14
MTSS,Изменение,111,-72,827,1010,1876,2025-06-14
MTSS,Количество лиц,274,111,9,18,412,2025-06-14
TATNP,Открытые позиции,1430,1390,643,683,4146,2025-06-14
TATNP,Изменение,-20,136,366,210,692,2025-06-14
TATNP,Количество лиц,138,52,3,7,200,2025-06-14
CHMF,Открытые позиции,1377,299,687,1765,4128,2025-06-14
CHMF,Изменение,-7,-16,-11,-2,-36,2025-06-14
CHMF,Количество лиц,199,59,18,10,286,2025-06-14
RASP,Открытые позиции,7079,2817,104,4366,14366,2025-06-14
RASP,Изменение,-97,-253,-159,-3,-512,2025-06-14
RASP,Количество лиц,144,56,1,15,216,2025-06-14
IRAO,Открытые позиции,2333,1732,19092,19693,42850,2025-06-14
IRAO,Изменение,-8,-185,-123,54,-262,2025-06-14
IRAO,Количество лиц,257,121,5,18,401,2025-06-14
SNGSP,Открытые позиции,4409,710,2809,6508,14436,2025-06-14
SNGSP,Изменение,218,-64,647,929,1730,2025-06-14
SNGSP,Количество лиц,376,62,7,13,458,2025-06-14
PLZL,Открытые позиции,892,322,927,1497,3638,2025-06-14
PLZL,Изменение,-40,-7,13,-20,-54,2025-06-14
PLZL,Количество лиц,185,82,4,22,293,2025-06-14
SPBE,Открытые позиции,36296,11013,4749,30032,82090,2025-06-14
SPBE,Изменение,-530,-796,193,459,-674,2025-06-14
SPBE,Количество лиц,659,167,5,23,854,2025-06-14
