Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,454226,322253,36389,168362,981230,2025-07-01
IMOEXF,Изменение,1390,-4825,2815,9030,8410,2025-07-01
IMOEXF,Количество лиц,7991,3098,29,34,11152,2025-07-01
SBER,Открытые позиции,116004,45055,88374,159323,408756,2025-07-01
SBER,Изменение,2920,9001,21405,15324,48650,2025-07-01
SBER,Количество лиц,3369,825,59,21,4274,2025-07-01
GAZP,Открытые позиции,223092,47537,453794,629349,1353772,2025-07-01
GAZP,Изменение,-1119,20656,22499,724,42760,2025-07-01
GAZP,Количество лиц,2761,845,33,74,3713,2025-07-01
SMLT,Открытые позиции,175392,51548,132,123976,351048,2025-07-01
SMLT,Изменение,14388,7427,-370,6591,28036,2025-07-01
SMLT,Количество лиц,746,267,3,48,1064,2025-07-01
GMKN,Открытые позиции,440766,48761,88592,480597,1058716,2025-07-01
GMKN,Изменение,-3315,218,0,-3533,-6630,2025-07-01
GMKN,Количество лиц,1694,402,8,56,2160,2025-07-01
YDEX,Открытые позиции,114310,14788,1085,100607,230790,2025-07-01
YDEX,Изменение,3324,-85,48,3457,6744,2025-07-01
YDEX,Количество лиц,1029,190,6,52,1277,2025-07-01
MGNT,Открытые позиции,109637,5940,2156,105853,223586,2025-07-01
MGNT,Изменение,763,-679,21,1463,1568,2025-07-01
MGNT,Количество лиц,1249,201,3,35,1488,2025-07-01
ABIO,Открытые позиции,955,133,13,835,1936,2025-07-01
ABIO,Изменение,11,56,13,-32,48,2025-07-01
ABIO,Количество лиц,50,11,1,5,67,2025-07-01
VTBR,Открытые позиции,210639,50417,62844,223066,546966,2025-07-01
VTBR,Изменение,13286,5672,17535,25149,61642,2025-07-01
VTBR,Количество лиц,2135,1029,14,12,3190,2025-07-01
SGZH,Открытые позиции,35037,46162,11350,225,92774,2025-07-01
SGZH,Изменение,1766,843,-1042,-119,1448,2025-07-01
SGZH,Количество лиц,257,271,5,4,537,2025-07-01
TRNFP,Открытые позиции,102212,67945,99042,133309,402508,2025-07-01
TRNFP,Изменение,9593,-866,-45,10414,19096,2025-07-01
TRNFP,Количество лиц,453,212,3,6,674,2025-07-01
WUSH,Открытые позиции,45654,6584,58,39128,91424,2025-07-01
WUSH,Изменение,1412,-372,42,1826,2908,2025-07-01
WUSH,Количество лиц,357,121,1,28,507,2025-07-01
VKCO,Открытые позиции,58154,15385,610,43379,117528,2025-07-01
VKCO,Изменение,7517,1879,-4690,948,5654,2025-07-01
VKCO,Количество лиц,608,201,1,33,843,2025-07-01
BABA,Открытые позиции,17070,3869,0,13201,34140,2025-07-01
BABA,Изменение,754,168,0,586,1508,2025-07-01
BABA,Количество лиц,227,53,0,4,284,2025-07-01
BIDU,Открытые позиции,22432,3461,0,18971,44864,2025-07-01
BIDU,Изменение,2771,1341,0,1430,5542,2025-07-01
BIDU,Количество лиц,122,35,0,4,161,2025-07-01
SIBN,Открытые позиции,9173,5730,1538,4981,21422,2025-07-01
SIBN,Изменение,529,-225,-103,651,852,2025-07-01
SIBN,Количество лиц,256,86,5,9,356,2025-07-01
RNFT,Открытые позиции,19155,14979,839,5015,39988,2025-07-01
RNFT,Изменение,2514,-721,-1909,1326,1210,2025-07-01
RNFT,Количество лиц,249,112,3,13,377,2025-07-01
MVID,Открытые позиции,6602,7840,2302,1064,17808,2025-07-01
MVID,Изменение,-3,-2045,-1173,869,-2352,2025-07-01
MVID,Количество лиц,68,92,1,3,164,2025-07-01
PIKK,Открытые позиции,28625,18878,227,9974,57704,2025-07-01
PIKK,Изменение,1816,8440,125,-6499,3882,2025-07-01
PIKK,Количество лиц,499,484,3,31,1017,2025-07-01
BELU,Открытые позиции,37433,9971,576,28038,76018,2025-07-01
BELU,Изменение,-1810,-1400,576,166,-2468,2025-07-01
BELU,Количество лиц,207,67,2,17,293,2025-07-01
MTLR,Открытые позиции,6709,13832,7299,176,28016,2025-07-01
MTLR,Изменение,-120,1687,1435,-372,2630,2025-07-01
MTLR,Количество лиц,324,283,3,8,618,2025-07-01
POSI,Открытые позиции,85393,20145,481,65729,171748,2025-07-01
POSI,Изменение,1805,394,402,1813,4414,2025-07-01
POSI,Количество лиц,532,186,4,28,750,2025-07-01
ASTR,Открытые позиции,44639,11347,179,33471,89636,2025-07-01
ASTR,Изменение,-373,-931,78,636,-590,2025-07-01
ASTR,Количество лиц,246,92,1,17,356,2025-07-01
SOFL,Открытые позиции,15896,6588,445,9753,32682,2025-07-01
SOFL,Изменение,800,1510,424,-286,2448,2025-07-01
SOFL,Количество лиц,114,39,1,6,160,2025-07-01
ALRS,Открытые позиции,17622,4468,37597,50751,110438,2025-07-01
ALRS,Изменение,99,909,443,-367,1084,2025-07-01
ALRS,Количество лиц,382,153,6,29,570,2025-07-01
NLMK,Открытые позиции,27687,1533,3048,29202,61470,2025-07-01
NLMK,Изменение,902,-564,-632,834,540,2025-07-01
NLMK,Количество лиц,500,106,5,39,650,2025-07-01
AFLT,Открытые позиции,17263,12690,2062,6635,38650,2025-07-01
AFLT,Изменение,-159,-1099,-235,705,-788,2025-07-01
AFLT,Количество лиц,447,186,5,8,646,2025-07-01
BANE,Открытые позиции,3149,1598,8,1559,6314,2025-07-01
BANE,Изменение,-180,-289,-1,108,-362,2025-07-01
BANE,Количество лиц,124,64,2,5,195,2025-07-01
RUAL,Открытые позиции,20223,1909,881,19195,42208,2025-07-01
RUAL,Изменение,-1299,-405,718,-176,-1162,2025-07-01
RUAL,Количество лиц,370,70,3,24,467,2025-07-01
LEAS,Открытые позиции,25967,3126,123,22964,52180,2025-07-01
LEAS,Изменение,2721,327,-64,2330,5314,2025-07-01
LEAS,Количество лиц,171,56,1,16,244,2025-07-01
AFKS,Открытые позиции,4104,4245,1509,1368,11226,2025-07-01
AFKS,Изменение,557,-388,-79,866,956,2025-07-01
AFKS,Количество лиц,271,141,4,21,437,2025-07-01
RTKM,Открытые позиции,10123,4139,3857,9841,27960,2025-07-01
RTKM,Изменение,983,1127,29,-115,2024,2025-07-01
RTKM,Количество лиц,333,93,3,10,439,2025-07-01
SFIN,Открытые позиции,11903,707,15,11211,23836,2025-07-01
SFIN,Изменение,1356,-327,-3,1680,2706,2025-07-01
SFIN,Количество лиц,148,24,1,15,188,2025-07-01
MOEX,Открытые позиции,7766,5361,22304,24709,60140,2025-07-01
MOEX,Изменение,388,827,7476,7037,15728,2025-07-01
MOEX,Количество лиц,410,164,19,2,595,2025-07-01
SBERP,Открытые позиции,9617,1144,1289,9762,21812,2025-07-01
SBERP,Изменение,-115,14,405,276,580,2025-07-01
SBERP,Количество лиц,444,75,9,6,534,2025-07-01
ROSN,Открытые позиции,7877,1730,8140,14287,32034,2025-07-01
ROSN,Изменение,538,-128,-10,656,1056,2025-07-01
ROSN,Количество лиц,652,198,8,20,878,2025-07-01
FESH,Открытые позиции,3643,759,5,2889,7296,2025-07-01
FESH,Изменение,-19,-22,4,7,-30,2025-07-01
FESH,Количество лиц,72,64,1,17,154,2025-07-01
PHOR,Открытые позиции,6331,2642,696,4385,14054,2025-07-01
PHOR,Изменение,2362,-268,560,3190,5844,2025-07-01
PHOR,Количество лиц,162,94,5,5,266,2025-07-01
SVCB,Открытые позиции,59454,17738,0,41716,118908,2025-07-01
SVCB,Изменение,21136,7621,-43,13472,42186,2025-07-01
SVCB,Количество лиц,508,110,0,13,631,2025-07-01
CBOM,Открытые позиции,1676,9286,7694,84,18740,2025-07-01
CBOM,Изменение,-213,-176,-16,-53,-458,2025-07-01
CBOM,Количество лиц,72,49,5,2,128,2025-07-01
LKOH,Открытые позиции,10667,1674,175,9168,21684,2025-07-01
LKOH,Изменение,357,208,50,199,814,2025-07-01
LKOH,Количество лиц,709,206,6,38,959,2025-07-01
KMAZ,Открытые позиции,7215,3270,122,4067,14674,2025-07-01
KMAZ,Изменение,46,-23,-16,53,60,2025-07-01
KMAZ,Количество лиц,92,45,1,10,148,2025-07-01
SNGS,Открытые позиции,7144,944,4930,11130,24148,2025-07-01
SNGS,Изменение,361,28,19,352,760,2025-07-01
SNGS,Количество лиц,319,49,6,13,387,2025-07-01
HYDR,Открытые позиции,4485,3262,6838,8061,22646,2025-07-01
HYDR,Изменение,281,931,1173,523,2908,2025-07-01
HYDR,Количество лиц,150,75,2,9,236,2025-07-01
NVTK,Открытые позиции,2846,1036,566,2376,6824,2025-07-01
NVTK,Изменение,96,86,7,17,206,2025-07-01
NVTK,Количество лиц,376,155,6,11,548,2025-07-01
FEES,Открытые позиции,3793,560,0,3233,7586,2025-07-01
FEES,Изменение,256,95,-2,159,508,2025-07-01
FEES,Количество лиц,140,46,0,16,202,2025-07-01
MAGN,Открытые позиции,1655,755,111,1011,3532,2025-07-01
MAGN,Изменение,-104,-5,105,6,2,2025-07-01
MAGN,Количество лиц,218,96,4,13,331,2025-07-01
BSPB,Открытые позиции,7837,4869,100,3068,15874,2025-07-01
BSPB,Изменение,73,-1062,-120,1015,-94,2025-07-01
BSPB,Количество лиц,151,85,3,9,248,2025-07-01
TATN,Открытые позиции,740,3668,3235,307,7950,2025-07-01
TATN,Изменение,-62,-87,-13,12,-150,2025-07-01
TATN,Количество лиц,103,148,8,5,264,2025-07-01
FLOT,Открытые позиции,3584,5963,2448,69,12064,2025-07-01
FLOT,Изменение,-315,884,843,-356,1056,2025-07-01
FLOT,Количество лиц,150,136,6,5,297,2025-07-01
MTSS,Открытые позиции,3160,5953,23211,20418,52742,2025-07-01
MTSS,Изменение,-231,692,7124,6201,13786,2025-07-01
MTSS,Количество лиц,200,184,14,3,401,2025-07-01
TATNP,Открытые позиции,749,668,75,156,1648,2025-07-01
TATNP,Изменение,-30,44,35,-39,10,2025-07-01
TATNP,Количество лиц,61,38,2,4,105,2025-07-01
CHMF,Открытые позиции,608,297,518,829,2252,2025-07-01
CHMF,Изменение,90,56,3,37,186,2025-07-01
CHMF,Количество лиц,141,74,6,20,241,2025-07-01
RASP,Открытые позиции,2407,3924,1772,255,8358,2025-07-01
RASP,Изменение,-15,-635,-414,206,-858,2025-07-01
RASP,Количество лиц,79,51,2,4,136,2025-07-01
IRAO,Открытые позиции,1364,192,800,1972,4328,2025-07-01
IRAO,Изменение,-404,30,18,-416,-772,2025-07-01
IRAO,Количество лиц,193,35,4,7,239,2025-07-01
SNGSP,Открытые позиции,1732,421,6035,7346,15534,2025-07-01
SNGSP,Изменение,-57,82,366,227,618,2025-07-01
SNGSP,Количество лиц,188,68,9,4,269,2025-07-01
PLZL,Открытые позиции,265,519,272,18,1074,2025-07-01
PLZL,Изменение,-8,116,124,0,232,2025-07-01
PLZL,Количество лиц,102,99,6,3,210,2025-07-01
SPBE,Открытые позиции,20210,14122,75,6163,40570,2025-07-01
SPBE,Изменение,1929,-1898,-707,3120,2444,2025-07-01
SPBE,Количество лиц,405,158,1,18,582,2025-07-01
