Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,507906,187709,32974,353171,1081760,2025-03-29
IMOEXF,Изменение,-33897,-41283,1063,8449,-65668,2025-03-29
IMOEXF,Количество лиц,7845,1701,20,37,9603,2025-03-29
SBER,Открытые позиции,96703,73417,69549,92835,332504,2025-03-29
SBER,Изменение,-7667,4225,-2679,-14571,-20692,2025-03-29
SBER,Количество лиц,2872,1890,30,44,4836,2025-03-29
GAZP,Открытые позиции,259331,51256,157068,365143,832798,2025-03-29
GAZP,Изменение,9175,-1058,-5233,5000,7884,2025-03-29
GAZP,Количество лиц,2935,1089,26,45,4095,2025-03-29
SMLT,Открытые позиции,229204,62185,0,167019,458408,2025-03-29
SMLT,Изменение,-8113,-6149,0,-1964,-16226,2025-03-29
SMLT,Количество лиц,826,316,0,13,1155,2025-03-29
GMKN,Открытые позиции,325744,53189,129621,402176,910730,2025-03-29
GMKN,Изменение,-28592,-3575,5676,-19341,-45832,2025-03-29
GMKN,Количество лиц,1297,382,8,28,1715,2025-03-29
YDEX,Открытые позиции,107888,16120,28517,120285,272810,2025-03-29
YDEX,Изменение,-2448,-123,307,-2018,-4282,2025-03-29
YDEX,Количество лиц,999,205,5,19,1228,2025-03-29
MGNT,Открытые позиции,78204,5655,23111,95660,202630,2025-03-29
MGNT,Изменение,2667,218,-18596,-16147,-31858,2025-03-29
MGNT,Количество лиц,1139,174,8,15,1336,2025-03-29
ABIO,Открытые позиции,2271,501,0,1770,4542,2025-03-29
ABIO,Изменение,54,-11,0,65,108,2025-03-29
ABIO,Количество лиц,55,18,0,8,81,2025-03-29
VTBR,Открытые позиции,187790,13850,12648,186588,400876,2025-03-29
VTBR,Изменение,10041,-468,224,10733,20530,2025-03-29
VTBR,Количество лиц,2488,451,6,33,2978,2025-03-29
SGZH,Открытые позиции,59576,57825,29,1780,119210,2025-03-29
SGZH,Изменение,-3423,-5376,-884,1069,-8614,2025-03-29
SGZH,Количество лиц,578,317,2,6,903,2025-03-29
TRNFP,Открытые позиции,106868,25904,293,81257,214322,2025-03-29
TRNFP,Изменение,-1401,1890,-201,-3492,-3204,2025-03-29
TRNFP,Количество лиц,640,223,2,29,894,2025-03-29
WUSH,Открытые позиции,66188,8569,9,57628,132394,2025-03-29
WUSH,Изменение,5933,-44,9,5986,11884,2025-03-29
