Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,587855,244524,34575,377906,1244860,2025-03-26
IMOEXF,Изменение,-24317,13331,-1704,-39352,-52042,2025-03-26
IMOEXF,Количество лиц,7988,1926,22,39,9975,2025-03-26
SBER,Открытые позиции,102887,66715,71948,108120,349670,2025-03-26
SBER,Изменение,-591,4856,-3094,-8541,-7370,2025-03-26
SBER,Количество лиц,2965,1886,26,42,4919,2025-03-26
GAZP,Открытые позиции,234976,50651,143048,327373,756048,2025-03-26
GAZP,Изменение,-3495,654,19631,15482,32272,2025-03-26
GAZP,Количество лиц,2080,1218,26,46,3370,2025-03-26
SMLT,Открытые позиции,222435,66538,0,155897,444870,2025-03-26
SMLT,Изменение,-3644,872,0,-4516,-7288,2025-03-26
SMLT,Количество лиц,760,352,0,18,1130,2025-03-26
GMKN,Открытые позиции,320707,54353,113401,379755,868216,2025-03-26
GMKN,Изменение,8504,-752,17047,26303,51102,2025-03-26
GMKN,Количество лиц,1217,363,10,43,1633,2025-03-26
YDEX,Открытые позиции,111215,18742,24979,117452,272388,2025-03-26
YDEX,Изменение,4015,3409,2212,2818,12454,2025-03-26
YDEX,Количество лиц,949,186,5,18,1158,2025-03-26
MGNT,Открытые позиции,63593,6967,79198,135824,285582,2025-03-26
MGNT,Изменение,14250,-690,-20148,-5208,-11796,2025-03-26
MGNT,Количество лиц,1006,174,3,21,1204,2025-03-26
ABIO,Открытые позиции,1839,712,0,1127,3678,2025-03-26
ABIO,Изменение,140,114,0,26,280,2025-03-26
ABIO,Количество лиц,54,18,0,8,80,2025-03-26
VTBR,Открытые позиции,167962,13496,8729,163195,353382,2025-03-26
VTBR,Изменение,6296,1382,1684,6598,15960,2025-03-26
VTBR,Количество лиц,2210,481,3,60,2754,2025-03-26
SGZH,Открытые позиции,60362,62248,1970,84,124664,2025-03-26
SGZH,Изменение,250,1782,928,-604,2356,2025-03-26
SGZH,Количество лиц,542,340,8,1,891,2025-03-26
TRNFP,Открытые позиции,100185,24616,494,76063,201358,2025-03-26
TRNFP,Изменение,12392,7075,-191,5126,24402,2025-03-26
TRNFP,Количество лиц,608,222,2,19,851,2025-03-26
WUSH,Открытые позиции,60501,8467,91,52125,121184,2025-03-26
WUSH,Изменение,4654,-694,-79,5269,9150,2025-03-26
WUSH,Количество лиц,575,133,1,16,725,2025-03-26
VKCO,Открытые позиции,75398,51757,3197,26838,157190,2025-03-26
VKCO,Изменение,6104,4405,-1427,272,9354,2025-03-26
VKCO,Количество лиц,810,520,5,16,1351,2025-03-26
BABA,Открытые позиции,12334,2167,260,10427,25188,2025-03-26
BABA,Изменение,1724,195,0,1529,3448,2025-03-26
BABA,Количество лиц,383,119,2,5,509,2025-03-26
BIDU,Открытые позиции,34452,1532,0,32920,68904,2025-03-26
BIDU,Изменение,-587,-165,0,-422,-1174,2025-03-26
BIDU,Количество лиц,223,29,0,4,256,2025-03-26
