Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
SBER,Открытые позиции,92852,73215,64426,84063,314556,2025-04-02
SBER,Изменение,-14322,6341,23,-20640,-28598,2025-04-02
SBER,Количество лиц,3005,1896,30,46,4977,2025-04-02
GAZP,Открытые позиции,220636,32455,185274,373455,811820,2025-04-02
GAZP,Изменение,-41139,-14446,6012,-20681,-70254,2025-04-02
GAZP,Количество лиц,3291,1040,27,47,4405,2025-04-02
SMLT,Открытые позиции,192300,46223,4380,150457,393360,2025-04-02
SMLT,Изменение,7532,9492,-2368,-4328,10328,2025-04-02
SMLT,Количество лиц,853,310,9,9,1181,2025-04-02
GMKN,Открытые позиции,307750,55446,141587,393891,898674,2025-04-02
GMKN,Изменение,19316,6242,-5085,7989,28462,2025-04-02
GMKN,Количество лиц,1395,365,10,29,1799,2025-04-02
YDEX,Открытые позиции,103357,11861,30080,121576,266874,2025-04-02
YDEX,Изменение,-3468,-2047,626,-795,-5684,2025-04-02
YDEX,Количество лиц,1004,199,7,20,1230,2025-04-02
MGNT,Открытые позиции,85222,6260,10252,89214,190948,2025-04-02
MGNT,Изменение,1078,2058,-173,-1153,1810,2025-04-02
MGNT,Количество лиц,1158,180,6,13,1357,2025-04-02
ABIO,Открытые позиции,2709,470,46,2285,5510,2025-04-02
ABIO,Изменение,-200,-12,46,-142,-308,2025-04-02
ABIO,Количество лиц,58,15,1,6,80,2025-04-02
VTBR,Открытые позиции,190545,12998,18037,195584,417164,2025-04-02
VTBR,Изменение,-7459,921,450,-7930,-14018,2025-04-02
VTBR,Количество лиц,2520,464,7,47,3038,2025-04-02
SGZH,Открытые позиции,62078,55680,223,6621,124602,2025-04-02
SGZH,Изменение,1371,-3913,-634,4650,1474,2025-04-02
SGZH,Количество лиц,573,302,2,10,887,2025-04-02
TRNFP,Открытые позиции,100360,37577,2876,65659,206472,2025-04-02
TRNFP,Изменение,-11674,17824,2505,-26993,-18338,2025-04-02
TRNFP,Количество лиц,648,244,2,12,906,2025-04-02
WUSH,Открытые позиции,61955,17936,4641,48660,133192,2025-04-02
WUSH,Изменение,-3359,7449,4638,-6170,2558,2025-04-02
WUSH,Количество лиц,642,170,5,8,825,2025-04-02
VKCO,Открытые позиции,72556,40338,1300,33518,147712,2025-04-02
VKCO,Изменение,-3040,2492,0,-5532,-6080,2025-04-02
VKCO,Количество лиц,763,399,1,33,1196,2025-04-02
BABA,Открытые позиции,18299,2674,260,15885,37118,2025-04-02
BABA,Изменение,-3450,412,0,-3862,-6900,2025-04-02
BABA,Количество лиц,356,134,2,5,497,2025-04-02
BIDU,Открытые позиции,33614,2990,0,30624,67228,2025-04-02
BIDU,Изменение,281,107,0,174,562,2025-04-02
BIDU,Количество лиц,253,30,0,4,287,2025-04-02
SIBN,Открытые позиции,22367,1963,82,20486,44898,2025-04-02
SIBN,Изменение,63,378,82,-233,290,2025-04-02
SIBN,Количество лиц,606,81,2,16,705,2025-04-02
RNFT,Открытые позиции,54894,13928,1000,41966,111788,2025-04-02
RNFT,Изменение,1393,-668,268,2329,3322,2025-04-02
RNFT,Количество лиц,322,159,1,21,503,2025-04-02
MVID,Открытые позиции,13868,15318,2096,646,31928,2025-04-02
MVID,Изменение,230,2744,1537,-977,3534,2025-04-02
MVID,Количество лиц,149,155,1,3,308,2025-04-02
PIKK,Открытые позиции,28690,13366,182,15506,57744,2025-04-02
PIKK,Изменение,-2723,745,32,-3436,-5382,2025-04-02
PIKK,Количество лиц,473,257,1,11,742,2025-04-02
BELU,Открытые позиции,32426,26927,311,5810,65474,2025-04-02
BELU,Изменение,1965,3737,106,-1666,4142,2025-04-02
BELU,Количество лиц,200,112,2,4,318,2025-04-02
MTLR,Открытые позиции,10211,16262,6473,422,33368,2025-04-02
MTLR,Изменение,285,365,104,24,778,2025-04-02
MTLR,Количество лиц,374,300,4,10,688,2025-04-02
POSI,Открытые позиции,90448,88790,2148,3806,185192,2025-04-02
POSI,Изменение,-5035,-3186,1279,-570,-7512,2025-04-02
POSI,Количество лиц,727,324,5,10,1066,2025-04-02
ASTR,Открытые позиции,65330,8063,355,57622,131370,2025-04-02
ASTR,Изменение,-2592,-189,355,-2048,-4474,2025-04-02
ASTR,Количество лиц,381,84,2,7,474,2025-04-02
SOFL,Открытые позиции,23832,2775,297,21354,48258,2025-04-02
SOFL,Изменение,605,437,297,465,1804,2025-04-02
SOFL,Количество лиц,206,46,1,12,265,2025-04-02
