Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,466612,254243,20870,233239,974964,2025-07-12
IMOEXF,Изменение,46019,-6153,-9912,42260,72214,2025-07-12
IMOEXF,Количество лиц,8573,2429,22,38,11062,2025-07-12
SBER,Открытые позиции,104247,74745,201034,230536,610562,2025-07-12
SBER,Изменение,-4989,9763,68743,53991,127508,2025-07-12
SBER,Количество лиц,2279,1568,55,30,3932,2025-07-12
GAZP,Открытые позиции,252516,62648,475406,665274,1455844,2025-07-12
GAZP,Изменение,21465,9231,-12328,-94,18274,2025-07-12
GAZP,Количество лиц,3101,1014,33,33,4181,2025-07-12
SMLT,Открытые позиции,275736,65926,1004,210814,553480,2025-07-12
SMLT,Изменение,-6278,-7249,604,1575,-11348,2025-07-12
SMLT,Количество лиц,743,300,2,35,1080,2025-07-12
GMKN,Открытые позиции,477907,61047,102073,518933,1159960,2025-07-12
GMKN,Изменение,2456,4390,907,-1027,6726,2025-07-12
GMKN,Количество лиц,1788,458,13,25,2284,2025-07-12
YDEX,Открытые позиции,118027,25301,3127,95853,242308,2025-07-12
YDEX,Изменение,-18523,11191,1214,-28500,-34618,2025-07-12
YDEX,Количество лиц,880,439,9,20,1348,2025-07-12
MGNT,Открытые позиции,135473,10543,2859,127789,276664,2025-07-12
MGNT,Изменение,-279,390,-890,-1559,-2338,2025-07-12
MGNT,Количество лиц,1271,220,4,27,1522,2025-07-12
ABIO,Открытые позиции,1352,174,13,1191,2730,2025-07-12
ABIO,Изменение,46,-9,0,55,92,2025-07-12
ABIO,Количество лиц,59,14,1,7,81,2025-07-12
VTBR,Открытые позиции,384716,48111,202241,538846,1173914,2025-07-12
VTBR,Изменение,-114294,-54698,-176450,-236046,-581488,2025-07-12
VTBR,Количество лиц,3469,861,24,43,4397,2025-07-12
SGZH,Открытые позиции,38171,43983,6019,207,88380,2025-07-12
SGZH,Изменение,1018,-223,-1263,-22,-490,2025-07-12
SGZH,Количество лиц,316,237,5,3,561,2025-07-12
TRNFP,Открытые позиции,68774,92008,152121,128887,441790,2025-07-12
TRNFP,Изменение,3841,2018,474,2297,8630,2025-07-12
TRNFP,Количество лиц,365,245,10,5,625,2025-07-12
WUSH,Открытые позиции,53160,10558,0,42602,106320,2025-07-12
WUSH,Изменение,881,390,0,491,1762,2025-07-12
WUSH,Количество лиц,423,113,0,17,553,2025-07-12
VKCO,Открытые позиции,58333,40211,14130,32252,144926,2025-07-12
VKCO,Изменение,-6227,1627,6818,-1036,1182,2025-07-12
VKCO,Количество лиц,699,546,7,9,1261,2025-07-12
SIBN,Открытые позиции,9117,6158,1106,4065,20446,2025-07-12
SIBN,Изменение,-359,-785,-342,84,-1402,2025-07-12
SIBN,Количество лиц,252,102,2,24,380,2025-07-12
RNFT,Открытые позиции,30204,13785,377,16796,61162,2025-07-12
RNFT,Изменение,3383,-657,0,4040,6766,2025-07-12
RNFT,Количество лиц,270,101,1,19,391,2025-07-12
MVID,Открытые позиции,5093,4596,0,497,10186,2025-07-12
MVID,Изменение,59,-450,-299,210,-480,2025-07-12
MVID,Количество лиц,90,63,0,2,155,2025-07-12
PIKK,Открытые позиции,34774,19913,903,15764,71354,2025-07-12
PIKK,Изменение,-71,-2114,-758,1285,-1658,2025-07-12
PIKK,Количество лиц,494,511,5,25,1035,2025-07-12
BELU,Открытые позиции,98610,14019,0,84591,197220,2025-07-12
BELU,Изменение,2760,-8210,0,10970,5520,2025-07-12
BELU,Количество лиц,242,78,0,15,335,2025-07-12
MTLR,Открытые позиции,6719,13035,6594,278,26626,2025-07-12
MTLR,Изменение,-361,-477,-162,-46,-1046,2025-07-12
MTLR,Количество лиц,280,256,5,8,549,2025-07-12
POSI,Открытые позиции,60572,31171,4012,33413,129168,2025-07-12
POSI,Изменение,-4229,-3583,-600,-1246,-9658,2025-07-12
POSI,Количество лиц,444,224,3,20,691,2025-07-12
ASTR,Открытые позиции,56728,11077,0,45651,113456,2025-07-12
ASTR,Изменение,6864,195,-139,6530,13450,2025-07-12
ASTR,Количество лиц,316,107,0,16,439,2025-07-12
SOFL,Открытые позиции,16609,3736,0,12873,33218,2025-07-12
SOFL,Изменение,-190,-218,0,28,-380,2025-07-12
SOFL,Количество лиц,119,43,0,13,175,2025-07-12
ALRS,Открытые позиции,21649,4323,37529,54855,118356,2025-07-12
ALRS,Изменение,1282,679,-554,49,1456,2025-07-12
ALRS,Количество лиц,429,156,6,11,602,2025-07-12
NLMK,Открытые позиции,25482,1468,3156,27170,57276,2025-07-12
NLMK,Изменение,-81,159,-15,-255,-192,2025-07-12
NLMK,Количество лиц,503,117,6,11,637,2025-07-12
AFLT,Открытые позиции,21501,11699,584,10386,44170,2025-07-12
AFLT,Изменение,-324,-843,-239,280,-1126,2025-07-12
AFLT,Количество лиц,501,201,6,7,715,2025-07-12
BANE,Открытые позиции,5283,2400,153,3036,10872,2025-07-12
BANE,Изменение,1120,-262,-5,1377,2230,2025-07-12
BANE,Количество лиц,138,81,2,5,226,2025-07-12
RUAL,Открытые позиции,31703,3619,1850,29934,67106,2025-07-12
RUAL,Изменение,2655,286,-35,2334,5240,2025-07-12
RUAL,Количество лиц,490,106,3,21,620,2025-07-12
LEAS,Открытые позиции,36840,12926,203,24117,74086,2025-07-12
LEAS,Изменение,-2971,5312,154,-8129,-5634,2025-07-12
LEAS,Количество лиц,196,53,1,13,263,2025-07-12
AFKS,Открытые позиции,3771,4727,1460,504,10462,2025-07-12
AFKS,Изменение,-216,-367,-241,-90,-914,2025-07-12
AFKS,Количество лиц,259,180,5,11,455,2025-07-12
RTKM,Открытые позиции,10484,5753,3825,8556,28618,2025-07-12
RTKM,Изменение,580,-3760,-61,4279,1038,2025-07-12
RTKM,Количество лиц,304,103,2,15,424,2025-07-12
SFIN,Открытые позиции,20042,887,0,19155,40084,2025-07-12
SFIN,Изменение,1128,17,-7,1104,2242,2025-07-12
SFIN,Количество лиц,175,30,0,11,216,2025-07-12
MOEX,Открытые позиции,12366,7887,71841,76320,168414,2025-07-12
MOEX,Изменение,529,24,-7421,-6916,-13784,2025-07-12
MOEX,Количество лиц,497,238,9,19,763,2025-07-12
SBERP,Открытые позиции,8493,2414,9308,15387,35602,2025-07-12
SBERP,Изменение,318,494,190,14,1016,2025-07-12
SBERP,Количество лиц,333,128,10,6,477,2025-07-12
ROSN,Открытые позиции,7092,2175,8472,13389,31128,2025-07-12
ROSN,Изменение,313,433,-45,-165,536,2025-07-12
ROSN,Количество лиц,707,222,10,13,952,2025-07-12
FESH,Открытые позиции,5387,480,9,4916,10792,2025-07-12
FESH,Изменение,356,45,-57,254,598,2025-07-12
FESH,Количество лиц,94,42,1,18,155,2025-07-12
PHOR,Открытые позиции,9294,1673,236,7857,19060,2025-07-12
PHOR,Изменение,191,-243,-640,-206,-898,2025-07-12
PHOR,Количество лиц,269,77,4,4,354,2025-07-12
SVCB,Открытые позиции,74894,20554,0,54340,149788,2025-07-12
SVCB,Изменение,816,1661,0,-845,1632,2025-07-12
SVCB,Количество лиц,572,82,0,17,671,2025-07-12
CBOM,Открытые позиции,1866,9862,7997,1,19726,2025-07-12
CBOM,Изменение,-50,291,296,-45,492,2025-07-12
CBOM,Количество лиц,70,48,4,1,123,2025-07-12
LKOH,Открытые позиции,13369,4858,5643,14154,38024,2025-07-12
LKOH,Изменение,-585,1653,2098,-140,3026,2025-07-12
LKOH,Количество лиц,1021,357,12,20,1410,2025-07-12
KMAZ,Открытые позиции,13109,3575,0,9534,26218,2025-07-12
KMAZ,Изменение,-248,-31,0,-217,-496,2025-07-12
KMAZ,Количество лиц,109,54,0,15,178,2025-07-12
SNGS,Открытые позиции,7916,973,1768,8711,19368,2025-07-12
SNGS,Изменение,-193,424,30,-587,-326,2025-07-12
SNGS,Количество лиц,313,64,7,4,388,2025-07-12
HYDR,Открытые позиции,8695,4006,6197,10886,29784,2025-07-12
HYDR,Изменение,672,-41,-233,480,878,2025-07-12
HYDR,Количество лиц,218,174,1,18,411,2025-07-12
NVTK,Открытые позиции,4342,406,661,4597,10006,2025-07-12
NVTK,Изменение,218,-167,-189,196,58,2025-07-12
NVTK,Количество лиц,539,89,5,18,651,2025-07-12
FEES,Открытые позиции,4847,513,15,4349,9724,2025-07-12
FEES,Изменение,203,69,-53,81,300,2025-07-12
FEES,Количество лиц,170,48,2,8,228,2025-07-12
MAGN,Открытые позиции,1597,669,37,965,3268,2025-07-12
MAGN,Изменение,47,28,-8,11,78,2025-07-12
MAGN,Количество лиц,223,79,3,11,316,2025-07-12
BSPB,Открытые позиции,5058,7900,3055,213,16226,2025-07-12
BSPB,Изменение,-441,-480,-246,-207,-1374,2025-07-12
BSPB,Количество лиц,125,96,4,2,227,2025-07-12
TATN,Открытые позиции,1653,2401,3031,2283,9368,2025-07-12
TATN,Изменение,231,-42,-240,33,-18,2025-07-12
TATN,Количество лиц,142,110,9,6,267,2025-07-12
FLOT,Открытые позиции,4007,6444,2526,89,13066,2025-07-12
FLOT,Изменение,129,190,-90,-151,78,2025-07-12
FLOT,Количество лиц,147,135,8,2,292,2025-07-12
MTSS,Открытые позиции,2739,4748,17804,15795,41086,2025-07-12
MTSS,Изменение,20,-900,-1047,-127,-2054,2025-07-12
MTSS,Количество лиц,214,230,11,6,461,2025-07-12
TATNP,Открытые позиции,1235,283,126,1078,2722,2025-07-12
TATNP,Изменение,34,-23,-46,11,-24,2025-07-12
TATNP,Количество лиц,95,38,2,3,138,2025-07-12
CHMF,Открытые позиции,768,301,520,987,2576,2025-07-12
CHMF,Изменение,12,45,-19,-52,-14,2025-07-12
CHMF,Количество лиц,161,67,7,9,244,2025-07-12
RASP,Открытые позиции,2744,4082,1597,259,8682,2025-07-12
RASP,Изменение,-131,-113,2,-16,-258,2025-07-12
RASP,Количество лиц,109,42,4,4,159,2025-07-12
IRAO,Открытые позиции,2038,245,828,2621,5732,2025-07-12
IRAO,Изменение,230,-40,-25,245,410,2025-07-12
IRAO,Количество лиц,221,38,4,10,273,2025-07-12
SNGSP,Открытые позиции,2285,1850,14082,14517,32734,2025-07-12
SNGSP,Изменение,169,855,3257,2571,6852,2025-07-12
SNGSP,Количество лиц,206,132,15,5,358,2025-07-12
PLZL,Открытые позиции,425,611,533,347,1916,2025-07-12
PLZL,Изменение,38,-206,-23,221,30,2025-07-12
PLZL,Количество лиц,115,87,5,13,220,2025-07-12
SPBE,Открытые позиции,46290,12460,10,33840,92600,2025-07-12
SPBE,Изменение,1912,643,-516,753,2792,2025-07-12
SPBE,Количество лиц,498,120,1,22,641,2025-07-12
