Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,457649,220211,53507,290945,1022312,2025-02-21
IMOEXF,Изменение,11885,5282,9955,16558,43680,2025-02-21
IMOEXF,Количество лиц,5905,2640,24,22,8591,2025-02-21
SBER,Открытые позиции,166370,67228,231712,330854,796164,2025-02-21
SBER,Изменение,268,-165,-3296,-2863,-6056,2025-02-21
SBER,Количество лиц,5204,1815,71,45,7135,2025-02-21
GAZP,Открытые позиции,189640,85401,216064,320303,811408,2025-02-21
GAZP,Изменение,6482,-5931,12449,24862,37862,2025-02-21
GAZP,Количество лиц,3029,2027,41,81,5178,2025-02-21
SMLT,Открытые позиции,275993,154093,1385,123285,554756,2025-02-21
SMLT,Изменение,-5370,-1389,-194,-4175,-11128,2025-02-21
SMLT,Количество лиц,1029,607,3,33,1672,2025-02-21
GMKN,Открытые позиции,320063,99764,90865,311164,821856,2025-02-21
GMKN,Изменение,-3032,-1615,881,-536,-4302,2025-02-21
GMKN,Количество лиц,1501,558,13,47,2119,2025-02-21
YDEX,Открытые позиции,158742,41148,16362,133956,350208,2025-02-21
YDEX,Изменение,-6313,1661,773,-7201,-11080,2025-02-21
YDEX,Количество лиц,1471,379,11,31,1892,2025-02-21
MGNT,Открытые позиции,59709,67431,157830,150108,435078,2025-02-21
MGNT,Изменение,5124,680,-1407,3037,7434,2025-02-21
MGNT,Количество лиц,1057,399,9,39,1504,2025-02-21
ABIO,Открытые позиции,14579,5527,0,9052,29158,2025-02-21
ABIO,Изменение,-71,-647,0,576,-142,2025-02-21
ABIO,Количество лиц,76,43,0,12,131,2025-02-21
VTBR,Открытые позиции,194951,24188,58493,229256,506888,2025-02-21
VTBR,Изменение,8117,752,-3075,4290,10084,2025-02-21
VTBR,Количество лиц,2934,748,15,42,3739,2025-02-21
SGZH,Открытые позиции,144714,144532,713,895,290854,2025-02-21
SGZH,Изменение,-11144,-10807,-3429,-3766,-29146,2025-02-21
SGZH,Количество лиц,1015,853,4,8,1880,2025-02-21
TRNFP,Открытые позиции,134301,21213,2784,115872,274170,2025-02-21
TRNFP,Изменение,13971,-394,-646,13719,26650,2025-02-21
TRNFP,Количество лиц,808,180,3,19,1010,2025-02-21
WUSH,Открытые позиции,56536,19808,614,37342,114300,2025-02-21
WUSH,Изменение,-64,284,87,-261,46,2025-02-21
WUSH,Количество лиц,494,150,4,23,671,2025-02-21
VKCO,Открытые позиции,77817,16712,2145,63250,159924,2025-02-21
VKCO,Изменение,5890,-773,-1020,5643,9740,2025-02-21
VKCO,Количество лиц,991,307,4,34,1336,2025-02-21
BABA,Открытые позиции,17719,12112,238,5845,35914,2025-02-21
BABA,Изменение,-3722,4273,-262,-8257,-7968,2025-02-21
BABA,Количество лиц,359,352,2,3,716,2025-02-21
BIDU,Открытые позиции,35180,2129,0,33051,70360,2025-02-21
BIDU,Изменение,3990,118,0,3872,7980,2025-02-21
BIDU,Количество лиц,442,43,0,3,488,2025-02-21
SIBN,Открытые позиции,32332,5849,55,26538,64774,2025-02-21
SIBN,Изменение,1096,648,29,477,2250,2025-02-21
SIBN,Количество лиц,897,153,2,21,1073,2025-02-21
RNFT,Открытые позиции,37822,31740,35,6117,75714,2025-02-21
RNFT,Изменение,4915,1052,-2434,1429,4962,2025-02-21
RNFT,Количество лиц,347,291,2,14,654,2025-02-21
MVID,Открытые позиции,22369,24319,1980,30,48698,2025-02-21
MVID,Изменение,-166,-496,-620,-290,-1572,2025-02-21
MVID,Количество лиц,180,184,2,1,367,2025-02-21
PIKK,Открытые позиции,10033,48090,38262,205,96590,2025-02-21
PIKK,Изменение,207,-1000,-2770,-1563,-5126,2025-02-21
PIKK,Количество лиц,335,707,5,5,1052,2025-02-21
BELU,Открытые позиции,32836,10049,0,22787,65672,2025-02-21
BELU,Изменение,-243,-1079,0,836,-486,2025-02-21
BELU,Количество лиц,218,64,0,9,291,2025-02-21
MTLR,Открытые позиции,13043,38003,26982,2022,80050,2025-02-21
MTLR,Изменение,2001,4556,1980,-575,7962,2025-02-21
MTLR,Количество лиц,609,751,11,8,1379,2025-02-21
POSI,Открытые позиции,114286,95131,3647,22802,235866,2025-02-21
POSI,Изменение,2611,-1280,-1025,2866,3172,2025-02-21
POSI,Количество лиц,1271,439,6,24,1740,2025-02-21
ASTR,Открытые позиции,68683,14876,25,53832,137416,2025-02-21
ASTR,Изменение,1092,-1201,0,2293,2184,2025-02-21
ASTR,Количество лиц,485,106,1,11,603,2025-02-21
SOFL,Открытые позиции,24468,4076,24,20416,48984,2025-02-21
SOFL,Изменение,-199,-185,8,-6,-382,2025-02-21
SOFL,Количество лиц,222,58,2,11,293,2025-02-21
ALRS,Открытые позиции,24567,8326,79343,95584,207820,2025-02-21
ALRS,Изменение,-3175,186,8,-3353,-6334,2025-02-21
ALRS,Количество лиц,552,245,5,23,825,2025-02-21
NLMK,Открытые позиции,31814,4314,2227,29727,68082,2025-02-21
NLMK,Изменение,507,171,11,347,1036,2025-02-21
NLMK,Количество лиц,548,242,7,26,823,2025-02-21
AFLT,Открытые позиции,31442,27153,3763,8052,70410,2025-02-21
AFLT,Изменение,3616,2918,386,1084,8004,2025-02-21
AFLT,Количество лиц,752,484,8,19,1263,2025-02-21
BANE,Открытые позиции,5620,10262,4980,338,21200,2025-02-21
BANE,Изменение,519,-533,-800,252,-562,2025-02-21
BANE,Количество лиц,160,118,6,4,288,2025-02-21
RUAL,Открытые позиции,10570,6248,1004,5326,23148,2025-02-21
RUAL,Изменение,320,-295,-173,442,294,2025-02-21
RUAL,Количество лиц,295,190,4,19,508,2025-02-21
LEAS,Открытые позиции,29692,7904,801,22589,60986,2025-02-21
LEAS,Изменение,-2506,321,-78,-2905,-5168,2025-02-21
LEAS,Количество лиц,209,87,2,10,308,2025-02-21
AFKS,Открытые позиции,11608,13555,2770,823,28756,2025-02-21
AFKS,Изменение,224,306,141,59,730,2025-02-21
AFKS,Количество лиц,405,310,6,17,738,2025-02-21
RTKM,Открытые позиции,11258,7490,48451,52219,119418,2025-02-21
RTKM,Изменение,515,1497,24,-958,1078,2025-02-21
RTKM,Количество лиц,355,176,4,17,552,2025-02-21
SFIN,Открытые позиции,18601,5991,410,13020,38022,2025-02-21
SFIN,Изменение,-435,312,138,-609,-594,2025-02-21
SFIN,Количество лиц,252,66,1,8,327,2025-02-21
MOEX,Открытые позиции,13854,5250,535,9139,28778,2025-02-21
MOEX,Изменение,309,76,27,260,672,2025-02-21
MOEX,Количество лиц,852,227,4,25,1108,2025-02-21
SBERP,Открытые позиции,5716,1991,783,4508,12998,2025-02-21
SBERP,Изменение,26,19,-1,6,50,2025-02-21
SBERP,Количество лиц,369,128,4,18,519,2025-02-21
ROSN,Открытые позиции,4643,3100,8684,10227,26654,2025-02-21
ROSN,Изменение,-241,75,389,73,296,2025-02-21
ROSN,Количество лиц,595,313,14,28,950,2025-02-21
T,Открытые позиции,18520,4158,380,14742,37800,2025-02-21
T,Изменение,-1878,126,2,-2002,-3752,2025-02-21
T,Количество лиц,764,213,3,19,999,2025-02-21
FESH,Открытые позиции,7031,5247,0,1784,14062,2025-02-21
FESH,Изменение,-1144,177,0,-1321,-2288,2025-02-21
FESH,Количество лиц,168,115,0,11,294,2025-02-21
PHOR,Открытые позиции,43475,9618,918,34775,88786,2025-02-21
PHOR,Изменение,265,-1596,75,1936,680,2025-02-21
PHOR,Количество лиц,290,269,6,14,579,2025-02-21
SVCB,Открытые позиции,73303,8251,820,65872,148246,2025-02-21
SVCB,Изменение,-228,246,6,-468,-444,2025-02-21
SVCB,Количество лиц,737,116,2,17,872,2025-02-21
CBOM,Открытые позиции,985,5492,6319,1812,14608,2025-02-21
CBOM,Изменение,-31,-153,-13,109,-88,2025-02-21
CBOM,Количество лиц,64,160,1,11,236,2025-02-21
LKOH,Открытые позиции,5771,4782,4703,5692,20948,2025-02-21
LKOH,Изменение,186,-173,60,419,492,2025-02-21
LKOH,Количество лиц,681,353,14,27,1075,2025-02-21
KMAZ,Открытые позиции,10507,2270,0,8237,21014,2025-02-21
KMAZ,Изменение,665,50,-4,611,1322,2025-02-21
KMAZ,Количество лиц,139,57,0,13,209,2025-02-21
SNGS,Открытые позиции,10482,2512,2222,10192,25408,2025-02-21
SNGS,Изменение,-319,169,46,-442,-546,2025-02-21
SNGS,Количество лиц,367,132,7,26,532,2025-02-21
HYDR,Открытые позиции,10555,3841,175,6889,21460,2025-02-21
HYDR,Изменение,162,-97,3,262,330,2025-02-21
HYDR,Количество лиц,229,112,3,13,357,2025-02-21
NVTK,Открытые позиции,4237,2681,1142,2698,10758,2025-02-21
NVTK,Изменение,-155,48,194,-9,78,2025-02-21
NVTK,Количество лиц,486,254,9,16,765,2025-02-21
FEES,Открытые позиции,4400,692,494,4202,9788,2025-02-21
FEES,Изменение,370,-59,-67,362,606,2025-02-21
FEES,Количество лиц,218,54,4,8,284,2025-02-21
MAGN,Открытые позиции,2053,1591,96,558,4298,2025-02-21
MAGN,Изменение,-583,-21,-38,-600,-1242,2025-02-21
MAGN,Количество лиц,271,92,4,12,379,2025-02-21
BSPB,Открытые позиции,16215,7224,1,8992,32432,2025-02-21
BSPB,Изменение,-100,-125,0,25,-200,2025-02-21
BSPB,Количество лиц,323,180,1,14,518,2025-02-21
TATN,Открытые позиции,892,2942,2253,203,6290,2025-02-21
TATN,Изменение,95,-72,-65,102,60,2025-02-21
TATN,Количество лиц,133,129,7,9,278,2025-02-21
FLOT,Открытые позиции,6870,2541,609,4938,14958,2025-02-21
FLOT,Изменение,233,-79,57,369,580,2025-02-21
FLOT,Количество лиц,312,160,5,15,492,2025-02-21
MTSS,Открытые позиции,3539,4197,1197,539,9472,2025-02-21
MTSS,Изменение,133,-218,-168,183,-70,2025-02-21
MTSS,Количество лиц,230,215,6,10,461,2025-02-21
TATNP,Открытые позиции,1407,797,772,1382,4358,2025-02-21
TATNP,Изменение,71,-6,-84,-7,-26,2025-02-21
TATNP,Количество лиц,100,51,3,6,160,2025-02-21
CHMF,Открытые позиции,592,1760,1198,30,3580,2025-02-21
CHMF,Изменение,47,26,-8,13,78,2025-02-21
CHMF,Количество лиц,139,95,9,5,248,2025-02-21
RASP,Открытые позиции,14090,36629,23107,568,74394,2025-02-21
RASP,Изменение,4125,6928,2678,-125,13606,2025-02-21
RASP,Количество лиц,215,209,16,4,444,2025-02-21
IRAO,Открытые позиции,2593,796,818,2615,6822,2025-02-21
IRAO,Изменение,26,-11,1,38,54,2025-02-21
IRAO,Количество лиц,271,47,3,11,332,2025-02-21
SNGSP,Открытые позиции,2703,1125,97,1675,5600,2025-02-21
SNGSP,Изменение,-291,-410,-7,112,-596,2025-02-21
SNGSP,Количество лиц,317,71,4,14,406,2025-02-21
PLZL,Открытые позиции,975,1889,2519,1605,6988,2025-02-21
PLZL,Изменение,-84,-91,-31,-24,-230,2025-02-21
PLZL,Количество лиц,213,301,8,21,543,2025-02-21
SPBE,Открытые позиции,5403,3542,14,1875,10834,2025-02-21
SPBE,Изменение,151,-431,0,582,302,2025-02-21
SPBE,Количество лиц,152,94,1,7,254,2025-02-21
