Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,516563,296353,37627,257837,1108380,2025-06-21
IMOEXF,Изменение,9354,8818,-98,438,18512,2025-06-21
IMOEXF,Количество лиц,8387,2500,24,36,10947,2025-06-21
SBER,Открытые позиции,94383,30918,49003,112468,286772,2025-06-21
SBER,Изменение,-7996,6344,-142207,-156547,-300406,2025-06-21
SBER,Количество лиц,2369,1208,43,32,3652,2025-06-21
GAZP,Открытые позиции,166764,51381,392187,507570,1117902,2025-06-21
GAZP,Изменение,-17075,3727,-390407,-411209,-814964,2025-06-21
GAZP,Количество лиц,2194,963,17,66,3240,2025-06-21
SMLT,Открытые позиции,124078,28815,1,95264,248158,2025-06-21
SMLT,Изменение,-22420,-5281,-103954,-121093,-252748,2025-06-21
SMLT,Количество лиц,588,190,1,41,820,2025-06-21
GMKN,Открытые позиции,328313,54619,88491,362185,833608,2025-06-21
GMKN,Изменение,-50949,-5105,-193909,-239753,-489716,2025-06-21
GMKN,Количество лиц,1304,462,4,42,1812,2025-06-21
YDEX,Открытые позиции,82269,13567,1041,69743,166620,2025-06-21
YDEX,Изменение,-15794,-6180,-43035,-52649,-117658,2025-06-21
YDEX,Количество лиц,718,325,8,37,1088,2025-06-21
MGNT,Открытые позиции,80127,9820,2501,72808,165256,2025-06-21
MGNT,Изменение,-58323,3137,-61636,-123096,-239918,2025-06-21
MGNT,Количество лиц,948,177,5,17,1147,2025-06-21
ABIO,Открытые позиции,720,55,0,665,1440,2025-06-21
ABIO,Изменение,-1623,-283,-1724,-3064,-6694,2025-06-21
ABIO,Количество лиц,42,9,0,6,57,2025-06-21
VTBR,Открытые позиции,151139,35036,35187,151290,372652,2025-06-21
VTBR,Изменение,-29999,1419,-84920,-116338,-229838,2025-06-21
VTBR,Количество лиц,1812,558,6,15,2391,2025-06-21
SGZH,Открытые позиции,21028,23045,2190,173,46436,2025-06-21
SGZH,Изменение,-12655,-13292,-1198,-561,-27706,2025-06-21
SGZH,Количество лиц,166,118,4,4,292,2025-06-21
TRNFP,Открытые позиции,53552,29792,73206,96966,253516,2025-06-21
TRNFP,Изменение,-5989,-17309,-74746,-63426,-161470,2025-06-21
TRNFP,Количество лиц,429,148,2,2,581,2025-06-21
WUSH,Открытые позиции,31214,6427,0,24787,62428,2025-06-21
WUSH,Изменение,-13504,-542,-33195,-46157,-93398,2025-06-21
WUSH,Количество лиц,280,143,0,23,446,2025-06-21
VKCO,Открытые позиции,40207,9750,2487,32944,85388,2025-06-21
VKCO,Изменение,-7779,-3257,-27247,-31769,-70052,2025-06-21
VKCO,Количество лиц,441,162,1,25,629,2025-06-21
BABA,Открытые позиции,10264,3125,0,7139,20528,2025-06-21
BABA,Изменение,-12067,-10311,0,-1756,-24134,2025-06-21
BABA,Количество лиц,168,46,0,3,217,2025-06-21
BIDU,Открытые позиции,19262,1367,0,17895,38524,2025-06-21
BIDU,Изменение,-16268,-8084,0,-8184,-32536,2025-06-21
BIDU,Количество лиц,87,24,0,4,115,2025-06-21
SIBN,Открытые позиции,7358,1708,1071,6721,16858,2025-06-21
SIBN,Изменение,-2198,-47,-13566,-15717,-31528,2025-06-21
SIBN,Количество лиц,213,69,1,14,297,2025-06-21
RNFT,Открытые позиции,13365,16030,3732,1067,34194,2025-06-21
RNFT,Изменение,-17351,-2069,-3428,-18710,-41558,2025-06-21
RNFT,Количество лиц,159,163,4,6,332,2025-06-21
MVID,Открытые позиции,7527,10783,3315,59,21684,2025-06-21
MVID,Изменение,-2763,-2217,-4473,-5019,-14472,2025-06-21
MVID,Количество лиц,63,85,2,1,151,2025-06-21
PIKK,Открытые позиции,16753,10159,83,6677,33672,2025-06-21
PIKK,Изменение,-6981,-7854,-18449,-17576,-50860,2025-06-21
PIKK,Количество лиц,382,286,1,24,693,2025-06-21
BELU,Открытые позиции,22923,7422,0,15501,45846,2025-06-21
BELU,Изменение,-14209,-21846,-8717,-1080,-45852,2025-06-21
BELU,Количество лиц,150,48,0,17,215,2025-06-21
MTLR,Открытые позиции,5657,11995,6690,352,24694,2025-06-21
MTLR,Изменение,-2974,-3233,-4310,-4051,-14568,2025-06-21
MTLR,Количество лиц,257,244,7,6,514,2025-06-21
POSI,Открытые позиции,58903,15411,8,43500,117822,2025-06-21
POSI,Изменение,-12148,-369,-3872,-15651,-32040,2025-06-21
POSI,Количество лиц,420,138,1,25,584,2025-06-21
ASTR,Открытые позиции,34840,11597,245,23488,70170,2025-06-21
ASTR,Изменение,-16050,-1089,-26282,-41243,-84664,2025-06-21
ASTR,Количество лиц,180,61,1,16,258,2025-06-21
SOFL,Открытые позиции,14230,3707,0,10523,28460,2025-06-21
SOFL,Изменение,-8265,-47,-8343,-16561,-33216,2025-06-21
SOFL,Количество лиц,70,33,0,8,111,2025-06-21
ALRS,Открытые позиции,16655,3111,36614,50158,106538,2025-06-21
ALRS,Изменение,-3876,-623,-40736,-43989,-89224,2025-06-21
ALRS,Количество лиц,359,136,4,21,520,2025-06-21
NLMK,Открытые позиции,19799,2119,2931,20611,45460,2025-06-21
NLMK,Изменение,-2907,-3418,-4352,-3841,-14518,2025-06-21
NLMK,Количество лиц,388,95,5,25,513,2025-06-21
AFLT,Открытые позиции,15553,9673,41,5921,31188,2025-06-21
AFLT,Изменение,-3514,-1383,-2488,-4619,-12004,2025-06-21
AFLT,Количество лиц,407,130,1,11,549,2025-06-21
BANE,Открытые позиции,2563,1568,36,1031,5198,2025-06-21
BANE,Изменение,-1397,3,-1149,-2549,-5092,2025-06-21
BANE,Количество лиц,94,59,2,5,160,2025-06-21
RUAL,Открытые позиции,16873,2031,115,14957,33976,2025-06-21
RUAL,Изменение,-6747,-49,-16501,-23199,-46496,2025-06-21
RUAL,Количество лиц,285,66,1,17,369,2025-06-21
LEAS,Открытые позиции,18122,2802,1619,16939,39482,2025-06-21
LEAS,Изменение,-6710,-6576,-75,-209,-13570,2025-06-21
LEAS,Количество лиц,130,39,2,12,183,2025-06-21
