Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,406125,295402,43881,154604,900012,2025-05-20
IMOEXF,Изменение,-9781,151,2141,-7791,-15280,2025-05-20
IMOEXF,Количество лиц,6836,2571,29,40,9476,2025-05-20
SBER,Открытые позиции,121764,37933,118279,202110,480086,2025-05-20
SBER,Изменение,5848,-4781,2736,13365,17168,2025-05-20
SBER,Количество лиц,4066,1183,46,101,5396,2025-05-20
GAZP,Открытые позиции,190428,80129,323516,433815,1027888,2025-05-20
GAZP,Изменение,-2729,-4248,566,2085,-4326,2025-05-20
GAZP,Количество лиц,3183,1377,32,88,4680,2025-05-20
SMLT,Открытые позиции,192669,53649,26298,165318,437934,2025-05-20
SMLT,Изменение,335,-19459,-10012,9782,-19354,2025-05-20
SMLT,Количество лиц,916,309,8,23,1256,2025-05-20
GMKN,Открытые позиции,328448,61361,94207,361294,845310,2025-05-20
GMKN,Изменение,-8034,-1785,-825,-7074,-17718,2025-05-20
GMKN,Количество лиц,1671,414,9,46,2140,2025-05-20
YDEX,Открытые позиции,127460,25547,1491,103404,257902,2025-05-20
YDEX,Изменение,1662,-1966,-153,3475,3018,2025-05-20
YDEX,Количество лиц,1226,393,5,52,1676,2025-05-20
MGNT,Открытые позиции,107676,10822,7481,104335,230314,2025-05-20
MGNT,Изменение,5758,200,15,5573,11546,2025-05-20
MGNT,Количество лиц,1304,218,4,30,1556,2025-05-20
ABIO,Открытые позиции,3450,441,300,3309,7500,2025-05-20
ABIO,Изменение,-43,-28,1,-14,-84,2025-05-20
ABIO,Количество лиц,71,15,1,2,89,2025-05-20
VTBR,Открытые позиции,157029,30313,9816,136532,333690,2025-05-20
VTBR,Изменение,-1267,-348,2001,1082,1468,2025-05-20
VTBR,Количество лиц,2227,908,11,42,3188,2025-05-20
SGZH,Открытые позиции,56812,61285,4484,11,122592,2025-05-20
SGZH,Изменение,-306,3396,2548,-1154,4484,2025-05-20
SGZH,Количество лиц,510,246,5,1,762,2025-05-20
TRNFP,Открытые позиции,146727,30664,19032,135095,331518,2025-05-20
TRNFP,Изменение,-1723,-2356,0,633,-3446,2025-05-20
TRNFP,Количество лиц,866,160,2,30,1058,2025-05-20
