Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,442872,252824,20595,210643,926934,2025-07-10
IMOEXF,Изменение,13720,-34536,-6542,41714,14356,2025-07-10
IMOEXF,Количество лиц,8205,2180,19,39,10443,2025-07-10
SBER,Открытые позиции,103622,68803,141919,176738,491082,2025-07-10
SBER,Изменение,-16235,4616,18390,-2461,4310,2025-07-10
SBER,Количество лиц,2350,1564,49,28,3991,2025-07-10
GAZP,Открытые позиции,218970,55086,496800,660684,1431540,2025-07-10
GAZP,Изменение,-356,678,6342,5308,11972,2025-07-10
GAZP,Количество лиц,2897,1026,32,39,3994,2025-07-10
SMLT,Открытые позиции,273536,69306,4,204234,547080,2025-07-10
SMLT,Изменение,50029,468,0,49561,100058,2025-07-10
SMLT,Количество лиц,727,319,1,51,1098,2025-07-10
GMKN,Открытые позиции,456006,59660,105923,502269,1123858,2025-07-10
GMKN,Изменение,-9613,-2883,-20322,-27052,-59870,2025-07-10
GMKN,Количество лиц,1711,473,14,23,2221,2025-07-10
YDEX,Открытые позиции,129240,16902,1587,113925,261654,2025-07-10
YDEX,Изменение,-5620,1002,-71,-6693,-11382,2025-07-10
YDEX,Количество лиц,1032,293,10,52,1387,2025-07-10
MGNT,Открытые позиции,139353,9962,2421,131812,283548,2025-07-10
MGNT,Изменение,21742,2119,-2261,17362,38962,2025-07-10
MGNT,Количество лиц,1267,233,6,44,1550,2025-07-10
ABIO,Открытые позиции,1279,185,13,1107,2584,2025-07-10
ABIO,Изменение,-84,35,0,-119,-168,2025-07-10
ABIO,Количество лиц,57,16,1,7,81,2025-07-10
VTBR,Открытые позиции,404611,98163,324869,631317,1458960,2025-07-10
VTBR,Изменение,46513,32596,21288,35205,135602,2025-07-10
VTBR,Количество лиц,3221,1066,40,17,4344,2025-07-10
SGZH,Открытые позиции,36424,44957,8681,148,90210,2025-07-10
SGZH,Изменение,805,3256,2157,-294,5924,2025-07-10
SGZH,Количество лиц,319,237,4,4,564,2025-07-10
TRNFP,Открытые позиции,67645,78142,146664,136167,428618,2025-07-10
TRNFP,Изменение,-29198,4162,9104,-24256,-40188,2025-07-10
TRNFP,Количество лиц,362,250,11,3,626,2025-07-10
WUSH,Открытые позиции,47292,10945,28,36375,94640,2025-07-10
WUSH,Изменение,-548,2587,28,-3107,-1040,2025-07-10
WUSH,Количество лиц,403,129,1,15,548,2025-07-10
VKCO,Открытые позиции,55908,24894,2925,33939,117666,2025-07-10
VKCO,Изменение,-3060,3394,938,-5516,-4244,2025-07-10
VKCO,Количество лиц,606,315,4,16,941,2025-07-10
SIBN,Открытые позиции,9128,8187,1402,2343,21060,2025-07-10
SIBN,Изменение,137,2108,-5,-1976,264,2025-07-10
SIBN,Количество лиц,255,108,2,13,378,2025-07-10
ASTR,Открытые позиции,49056,12443,0,36613,98112,2025-07-10
ASTR,Изменение,969,312,-82,575,1774,2025-07-10
ASTR,Количество лиц,283,107,0,13,403,2025-07-10
ALRS,Открытые позиции,19556,4458,37428,52526,113968,2025-07-10
ALRS,Изменение,2190,449,12,1753,4404,2025-07-10
ALRS,Количество лиц,418,159,6,13,596,2025-07-10
NLMK,Открытые позиции,25204,2105,3141,26240,56690,2025-07-10
NLMK,Изменение,-727,397,-43,-1167,-1540,2025-07-10
NLMK,Количество лиц,478,127,5,15,625,2025-07-10
AFLT,Открытые позиции,20425,12309,435,8551,41720,2025-07-10
AFLT,Изменение,776,-155,-67,864,1418,2025-07-10
AFLT,Количество лиц,479,209,4,6,698,2025-07-10
BANE,Открытые позиции,3578,2012,341,1907,7838,2025-07-10
BANE,Изменение,-71,191,171,-91,200,2025-07-10
BANE,Количество лиц,117,71,3,5,196,2025-07-10
