Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,458234,196978,24246,285502,964960,2025-04-10
IMOEXF,Изменение,14548,4387,106,10267,29308,2025-04-10
IMOEXF,Количество лиц,7963,2017,20,42,10042,2025-04-10
SBER,Открытые позиции,108879,61120,59421,107180,336600,2025-04-10
SBER,Изменение,-2884,12533,22344,6927,38920,2025-04-10
SBER,Количество лиц,3254,1750,34,39,5077,2025-04-10
GAZP,Открытые позиции,217284,33223,190014,374075,814596,2025-04-10
GAZP,Изменение,8695,1782,12135,19048,41660,2025-04-10
GAZP,Количество лиц,3631,1093,21,63,4808,2025-04-10
SMLT,Открытые позиции,238461,49297,5526,194690,487974,2025-04-10
SMLT,Изменение,26863,7306,-8002,11555,37722,2025-04-10
SMLT,Количество лиц,883,323,6,28,1240,2025-04-10
GMKN,Открытые позиции,278067,71374,195511,402204,947156,2025-04-10
GMKN,Изменение,-11889,9960,1257,-20592,-21264,2025-04-10
GMKN,Количество лиц,1388,437,18,37,1880,2025-04-10
YDEX,Открытые позиции,110866,29067,9955,91754,241642,2025-04-10
YDEX,Изменение,-1640,3451,-3390,-8481,-10060,2025-04-10
YDEX,Количество лиц,1120,360,6,16,1502,2025-04-10
MGNT,Открытые позиции,82731,7619,7410,82522,180282,2025-04-10
MGNT,Изменение,1066,2934,58,-1810,2248,2025-04-10
MGNT,Количество лиц,1113,211,6,21,1351,2025-04-10
ABIO,Открытые позиции,12220,630,0,11590,24440,2025-04-10
ABIO,Изменение,-330,-23,0,-307,-660,2025-04-10
ABIO,Количество лиц,68,16,0,8,92,2025-04-10
VTBR,Открытые позиции,206076,23078,30432,213430,473016,2025-04-10
VTBR,Изменение,10310,4646,-6328,-664,7964,2025-04-10
VTBR,Количество лиц,2897,644,15,23,3579,2025-04-10
SGZH,Открытые позиции,54832,57626,3793,999,117250,2025-04-10
SGZH,Изменение,1025,541,149,633,2348,2025-04-10
SGZH,Количество лиц,525,265,4,5,799,2025-04-10
TRNFP,Открытые позиции,92229,25915,4191,70505,192840,2025-04-10
TRNFP,Изменение,4373,5069,1664,968,12074,2025-04-10
TRNFP,Количество лиц,706,143,4,18,871,2025-04-10
WUSH,Открытые позиции,52758,10974,8423,50207,122362,2025-04-10
WUSH,Изменение,-229,-42,-82,-269,-622,2025-04-10
WUSH,Количество лиц,655,129,8,10,802,2025-04-10
VKCO,Открытые позиции,60475,17367,1344,44452,123638,2025-04-10
VKCO,Изменение,-4707,1856,44,-6519,-9326,2025-04-10
VKCO,Количество лиц,742,280,3,17,1042,2025-04-10
BABA,Открытые позиции,32012,10204,260,22068,64544,2025-04-10
BABA,Изменение,388,3803,0,-3415,776,2025-04-10
BABA,Количество лиц,337,174,2,4,517,2025-04-10
BIDU,Открытые позиции,30461,2142,0,28319,60922,2025-04-10
BIDU,Изменение,2,97,0,-95,4,2025-04-10
BIDU,Количество лиц,247,36,0,4,287,2025-04-10
SIBN,Открытые позиции,21062,2050,744,19756,43612,2025-04-10
SIBN,Изменение,-1290,524,256,-1558,-2068,2025-04-10
SIBN,Количество лиц,576,89,3,17,685,2025-04-10
RNFT,Открытые позиции,43656,16224,90,27522,87492,2025-04-10
RNFT,Изменение,-2403,1336,0,-3739,-4806,2025-04-10
RNFT,Количество лиц,383,154,1,12,550,2025-04-10
MVID,Открытые позиции,11257,13762,3298,793,29110,2025-04-10
MVID,Изменение,-731,552,1111,-172,760,2025-04-10
MVID,Количество лиц,121,131,2,5,259,2025-04-10
PIKK,Открытые позиции,27594,8371,375,19598,55938,2025-04-10
PIKK,Изменение,2173,-128,163,2464,4672,2025-04-10
PIKK,Количество лиц,516,211,2,14,743,2025-04-10
BELU,Открытые позиции,39318,33366,855,6807,80346,2025-04-10
BELU,Изменение,-2232,746,525,-2453,-3414,2025-04-10
BELU,Количество лиц,266,82,4,4,356,2025-04-10
MTLR,Открытые позиции,12543,13717,4720,3546,34526,2025-04-10
MTLR,Изменение,1055,2309,1386,132,4882,2025-04-10
MTLR,Количество лиц,380,263,4,15,662,2025-04-10
POSI,Открытые позиции,77876,66358,10507,22025,176766,2025-04-10
POSI,Изменение,-2943,-1685,186,-1072,-5514,2025-04-10
POSI,Количество лиц,723,247,4,23,997,2025-04-10
ASTR,Открытые позиции,56637,13891,2539,45285,118352,2025-04-10
ASTR,Изменение,-4529,-622,350,-3557,-8358,2025-04-10
ASTR,Количество лиц,367,87,2,7,463,2025-04-10
SOFL,Открытые позиции,25935,1778,0,24157,51870,2025-04-10
SOFL,Изменение,577,-91,0,668,1154,2025-04-10
SOFL,Количество лиц,172,50,0,14,236,2025-04-10
ALRS,Открытые позиции,20841,5728,79616,94729,200914,2025-04-10
ALRS,Изменение,313,-446,-57,702,512,2025-04-10
ALRS,Количество лиц,483,192,8,27,710,2025-04-10
NLMK,Открытые позиции,17518,5625,3144,15037,41324,2025-04-10
