Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,399409,278487,27919,148841,854656,2025-05-27
IMOEXF,Изменение,-13286,-12842,-9559,-10003,-45690,2025-05-27
IMOEXF,Количество лиц,7448,2388,20,41,9897,2025-05-27
SBER,Открытые позиции,130720,54747,106302,182275,474044,2025-05-27
SBER,Изменение,15734,10444,-5408,-118,20652,2025-05-27
SBER,Количество лиц,3613,1832,47,84,5576,2025-05-27
GAZP,Открытые позиции,232767,61995,368106,538878,1201746,2025-05-27
GAZP,Изменение,15832,-4233,14077,34142,59818,2025-05-27
GAZP,Количество лиц,3838,1483,29,70,5420,2025-05-27
SMLT,Открытые позиции,208101,44188,19264,183177,454730,2025-05-27
SMLT,Изменение,10341,-6776,-1280,15837,18122,2025-05-27
SMLT,Количество лиц,951,326,7,36,1320,2025-05-27
GMKN,Открытые позиции,408831,90532,107163,425462,1031988,2025-05-27
GMKN,Изменение,3443,562,-1041,1840,4804,2025-05-27
GMKN,Количество лиц,1774,487,16,49,2326,2025-05-27
YDEX,Открытые позиции,120773,30458,3874,94189,249294,2025-05-27
YDEX,Изменение,-2268,9215,2597,-8886,658,2025-05-27
YDEX,Количество лиц,1207,461,9,25,1702,2025-05-27
MGNT,Открытые позиции,167854,22740,9712,154826,355132,2025-05-27
MGNT,Изменение,27553,-469,1682,29704,58470,2025-05-27
MGNT,Количество лиц,1483,351,8,35,1877,2025-05-27
ABIO,Открытые позиции,3396,369,350,3377,7492,2025-05-27
ABIO,Изменение,44,21,1,24,90,2025-05-27
ABIO,Количество лиц,74,9,1,2,86,2025-05-27
VTBR,Открытые позиции,164441,32236,8382,140587,345646,2025-05-27
VTBR,Изменение,-6036,788,2654,-4170,-6764,2025-05-27
VTBR,Количество лиц,2329,908,11,42,3290,2025-05-27
SGZH,Открытые позиции,54236,59538,5522,220,119516,2025-05-27
SGZH,Изменение,-779,-1164,-297,88,-2152,2025-05-27
SGZH,Количество лиц,491,232,4,2,729,2025-05-27
TRNFP,Открытые позиции,162233,51114,36338,147457,397142,2025-05-27
TRNFP,Изменение,-762,14837,9805,-5794,18086,2025-05-27
TRNFP,Количество лиц,807,183,2,29,1021,2025-05-27
WUSH,Открытые позиции,50699,5591,5394,50502,112186,2025-05-27
WUSH,Изменение,3822,-69,-2453,1438,2738,2025-05-27
WUSH,Количество лиц,636,113,5,13,767,2025-05-27
VKCO,Открытые позиции,65050,11782,3628,56896,137356,2025-05-27
VKCO,Изменение,629,-1198,-30,1797,1198,2025-05-27
VKCO,Количество лиц,735,200,8,25,968,2025-05-27
BABA,Открытые позиции,17289,5534,100,11855,34778,2025-05-27
BABA,Изменение,35,-47,0,82,70,2025-05-27
BABA,Количество лиц,341,108,1,4,454,2025-05-27
BIDU,Открытые позиции,30284,9521,0,20763,60568,2025-05-27
BIDU,Изменение,-154,-1737,0,1583,-308,2025-05-27
BIDU,Количество лиц,335,43,0,5,383,2025-05-27
SIBN,Открытые позиции,15094,2409,5014,17699,40216,2025-05-27
SIBN,Изменение,-1957,258,3564,1349,3214,2025-05-27
SIBN,Количество лиц,509,138,10,11,668,2025-05-27
RNFT,Открытые позиции,49063,31510,541,18094,99208,2025-05-27
RNFT,Изменение,-1074,318,-391,-1783,-2930,2025-05-27
RNFT,Количество лиц,316,153,1,11,481,2025-05-27
MVID,Открытые позиции,7177,10849,3697,25,21748,2025-05-27
MVID,Изменение,-1129,695,1809,-15,1360,2025-05-27
MVID,Количество лиц,140,105,3,1,249,2025-05-27
PIKK,Открытые позиции,36848,21496,4152,19504,82000,2025-05-27
PIKK,Изменение,-630,275,1209,304,1158,2025-05-27
PIKK,Количество лиц,598,466,9,21,1094,2025-05-27
BELU,Открытые позиции,56255,49018,772,8009,114054,2025-05-27
BELU,Изменение,-1633,-2933,516,1816,-2234,2025-05-27
BELU,Количество лиц,329,109,4,6,448,2025-05-27
MTLR,Открытые позиции,13565,19461,10580,4684,48290,2025-05-27
MTLR,Изменение,-109,-96,12,-1,-194,2025-05-27
MTLR,Количество лиц,434,394,8,9,845,2025-05-27
POSI,Открытые позиции,84583,24618,832,60797,170830,2025-05-27
POSI,Изменение,-4340,-4579,497,736,-7686,2025-05-27
POSI,Количество лиц,689,174,4,19,886,2025-05-27
ASTR,Открытые позиции,68890,8972,917,60835,139614,2025-05-27
ASTR,Изменение,-4709,-915,482,-3312,-8454,2025-05-27
ASTR,Количество лиц,419,92,2,9,522,2025-05-27
SOFL,Открытые позиции,29551,2529,0,27022,59102,2025-05-27
SOFL,Изменение,-206,-118,0,-88,-412,2025-05-27
SOFL,Количество лиц,176,54,0,13,243,2025-05-27
ALRS,Открытые позиции,29841,4190,81330,106981,222342,2025-05-27
ALRS,Изменение,1133,271,33,895,2332,2025-05-27
ALRS,Количество лиц,623,191,5,40,859,2025-05-27
NLMK,Открытые позиции,20818,5728,3134,18224,47904,2025-05-27
NLMK,Изменение,606,-30,44,680,1300,2025-05-27
NLMK,Количество лиц,509,182,5,27,723,2025-05-27
AFLT,Открытые позиции,21095,13199,77,7973,42344,2025-05-27
AFLT,Изменение,-888,-1097,39,248,-1698,2025-05-27
AFLT,Количество лиц,608,245,4,35,892,2025-05-27
BANE,Открытые позиции,6277,3762,612,3127,13778,2025-05-27
BANE,Изменение,807,-414,62,1283,1738,2025-05-27
BANE,Количество лиц,173,86,4,15,278,2025-05-27
RUAL,Открытые позиции,28605,3646,1709,26668,60628,2025-05-27
RUAL,Изменение,1768,-126,164,2058,3864,2025-05-27
RUAL,Количество лиц,486,116,9,18,629,2025-05-27
LEAS,Открытые позиции,35262,10495,2970,27737,76464,2025-05-27
LEAS,Изменение,-312,345,266,-391,-92,2025-05-27
LEAS,Количество лиц,270,67,2,5,344,2025-05-27
