Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,433588,273318,40119,200389,947414,2025-04-26
IMOEXF,Изменение,35862,27234,-22264,-13636,27196,2025-04-26
IMOEXF,Количество лиц,7399,3410,36,30,10875,2025-04-26
SBER,Открытые позиции,128938,44978,88916,172876,435708,2025-04-26
SBER,Изменение,25527,2258,955,24224,52964,2025-04-26
SBER,Количество лиц,4138,1266,46,92,5542,2025-04-26
GAZP,Открытые позиции,198206,49677,293170,441699,982752,2025-04-26
GAZP,Изменение,4514,18073,825,-12734,10678,2025-04-26
GAZP,Количество лиц,3192,1257,17,71,4537,2025-04-26
SMLT,Открытые позиции,179056,38579,3727,144204,365566,2025-04-26
SMLT,Изменение,6879,4629,2195,4445,18148,2025-04-26
SMLT,Количество лиц,905,354,6,17,1282,2025-04-26
GMKN,Открытые позиции,383211,34299,148855,497767,1064132,2025-04-26
GMKN,Изменение,2511,2123,-20826,-20438,-36630,2025-04-26
GMKN,Количество лиц,1789,291,9,69,2158,2025-04-26
YDEX,Открытые позиции,123484,33808,7737,97413,262442,2025-04-26
YDEX,Изменение,-2354,539,3185,292,1662,2025-04-26
YDEX,Количество лиц,1359,316,6,23,1704,2025-04-26
MGNT,Открытые позиции,87394,5580,2258,84072,179304,2025-04-26
MGNT,Изменение,2248,-200,-73,2375,4350,2025-04-26
MGNT,Количество лиц,1241,171,5,21,1438,2025-04-26
ABIO,Открытые позиции,3364,379,273,3258,7274,2025-04-26
ABIO,Изменение,149,10,-148,-9,2,2025-04-26
ABIO,Количество лиц,76,12,1,2,91,2025-04-26
VTBR,Открытые позиции,137933,36442,21530,123021,318926,2025-04-26
VTBR,Изменение,-801,1881,183,-2499,-1236,2025-04-26
VTBR,Количество лиц,2300,804,14,30,3148,2025-04-26
SGZH,Открытые позиции,69143,53934,6556,21765,151398,2025-04-26
SGZH,Изменение,3406,-2997,-3249,3154,314,2025-04-26
SGZH,Количество лиц,613,230,5,6,854,2025-04-26
TRNFP,Открытые позиции,122855,24737,4439,102557,254588,2025-04-26
TRNFP,Изменение,1381,-160,0,1541,2762,2025-04-26
TRNFP,Количество лиц,765,136,2,31,934,2025-04-26
WUSH,Открытые позиции,53285,10460,6587,49412,119744,2025-04-26
WUSH,Изменение,55,6176,4962,-1159,10034,2025-04-26
WUSH,Количество лиц,633,113,13,6,765,2025-04-26
VKCO,Открытые позиции,62014,19836,1347,43525,126722,2025-04-26
VKCO,Изменение,-4954,-859,1,-4094,-9906,2025-04-26
VKCO,Количество лиц,737,266,2,29,1034,2025-04-26
BABA,Открытые позиции,37354,5841,301,31814,75310,2025-04-26
BABA,Изменение,252,-69,0,321,504,2025-04-26
BABA,Количество лиц,369,121,3,3,496,2025-04-26
BIDU,Открытые позиции,30046,2797,1,27250,60094,2025-04-26
BIDU,Изменение,93,952,0,-859,186,2025-04-26
BIDU,Количество лиц,200,42,1,3,246,2025-04-26
SIBN,Открытые позиции,23617,3194,1186,21609,49606,2025-04-26
SIBN,Изменение,370,257,-387,-274,-34,2025-04-26
SIBN,Количество лиц,641,96,4,23,764,2025-04-26
RNFT,Открытые позиции,49136,22905,246,26477,98764,2025-04-26
RNFT,Изменение,608,33,187,762,1590,2025-04-26
RNFT,Количество лиц,371,159,2,21,553,2025-04-26
MVID,Открытые позиции,9478,8994,545,1029,20046,2025-04-26
MVID,Изменение,45,-163,-298,-90,-506,2025-04-26
MVID,Количество лиц,122,114,2,6,244,2025-04-26
PIKK,Открытые позиции,38477,20762,6016,23731,88986,2025-04-26
