Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,500665,195454,58909,364120,1119148,2025-03-13
IMOEXF,Изменение,13166,3088,-2220,7858,21892,2025-03-13
IMOEXF,Количество лиц,6990,2188,27,36,9241,2025-03-13
SBER,Открытые позиции,156454,73945,141028,223537,594964,2025-03-13
SBER,Изменение,-5874,-2306,15749,12181,19750,2025-03-13
SBER,Количество лиц,4685,1870,74,57,6686,2025-03-13
GAZP,Открытые позиции,218842,56396,201604,364050,840892,2025-03-13
GAZP,Изменение,9752,643,-2460,6649,14584,2025-03-13
GAZP,Количество лиц,2966,1627,49,56,4698,2025-03-13
SMLT,Открытые позиции,261022,154264,6357,113115,534758,2025-03-13
SMLT,Изменение,-2341,-4696,2352,4707,22,2025-03-13
SMLT,Количество лиц,978,567,8,34,1587,2025-03-13
GMKN,Открытые позиции,349381,96658,130311,383034,959384,2025-03-13
GMKN,Изменение,841,3275,2475,41,6632,2025-03-13
GMKN,Количество лиц,1508,646,15,43,2212,2025-03-13
YDEX,Открытые позиции,146691,33904,33022,145809,359426,2025-03-13
YDEX,Изменение,-10095,-404,2778,-6913,-14634,2025-03-13
YDEX,Количество лиц,1392,340,13,44,1789,2025-03-13
MGNT,Открытые позиции,71291,56388,148218,163121,439018,2025-03-13
MGNT,Изменение,-922,-4397,-128,3347,-2100,2025-03-13
MGNT,Количество лиц,1187,382,13,28,1610,2025-03-13
ABIO,Открытые позиции,14958,3110,0,11848,29916,2025-03-13
ABIO,Изменение,571,-136,-50,657,1042,2025-03-13
ABIO,Количество лиц,77,38,0,11,126,2025-03-13
VTBR,Открытые позиции,206464,18645,42141,229960,497210,2025-03-13
VTBR,Изменение,-5380,-320,2753,-2307,-5254,2025-03-13
VTBR,Количество лиц,2914,715,18,37,3684,2025-03-13
SGZH,Открытые позиции,88119,99256,24395,13258,225028,2025-03-13
SGZH,Изменение,115,-8355,-15,8455,200,2025-03-13
SGZH,Количество лиц,796,549,8,20,1373,2025-03-13
TRNFP,Открытые позиции,185039,20213,9312,174138,388702,2025-03-13
TRNFP,Изменение,-399,-2403,-485,1519,-1768,2025-03-13
TRNFP,Количество лиц,976,164,6,21,1167,2025-03-13
WUSH,Открытые позиции,87326,21368,931,66889,176514,2025-03-13
WUSH,Изменение,-9236,-2310,-128,-7054,-18728,2025-03-13
WUSH,Количество лиц,726,236,2,31,995,2025-03-13
VKCO,Открытые позиции,78299,14845,3668,67122,163934,2025-03-13
VKCO,Изменение,6588,4682,615,2521,14406,2025-03-13
VKCO,Количество лиц,878,259,7,17,1161,2025-03-13
BABA,Открытые позиции,9330,11724,6803,4409,32266,2025-03-13
BABA,Изменение,-4918,3673,6603,-1988,3370,2025-03-13
BABA,Количество лиц,441,270,4,3,718,2025-03-13
BIDU,Открытые позиции,35882,3881,1,32002,71766,2025-03-13
BIDU,Изменение,3457,-217,0,3674,6914,2025-03-13
BIDU,Количество лиц,303,57,1,4,365,2025-03-13
SIBN,Открытые позиции,46617,2873,218,43962,93670,2025-03-13
SIBN,Изменение,-259,-473,-39,175,-596,2025-03-13
SIBN,Количество лиц,912,118,1,25,1056,2025-03-13
RNFT,Открытые позиции,41563,18623,104,23044,83334,2025-03-13
RNFT,Изменение,527,-1661,-305,1883,444,2025-03-13
RNFT,Количество лиц,300,231,2,15,548,2025-03-13
MVID,Открытые позиции,18433,18970,2224,1687,41314,2025-03-13
MVID,Изменение,-1126,-149,711,-266,-830,2025-03-13
MVID,Количество лиц,158,159,5,7,329,2025-03-13
PIKK,Открытые позиции,15165,33920,19166,411,68662,2025-03-13
PIKK,Изменение,674,-2115,-3331,-542,-5314,2025-03-13
PIKK,Количество лиц,340,515,11,5,871,2025-03-13
BELU,Открытые позиции,28851,10039,48,18860,57798,2025-03-13
BELU,Изменение,-23,18,48,7,50,2025-03-13
BELU,Количество лиц,213,68,1,6,288,2025-03-13
MTLR,Открытые позиции,10757,22589,13988,2156,49490,2025-03-13
MTLR,Изменение,-205,406,581,-30,752,2025-03-13
MTLR,Количество лиц,466,439,13,2,920,2025-03-13
POSI,Открытые позиции,98473,76600,1520,23393,199986,2025-03-13
POSI,Изменение,-648,-1835,-86,1101,-1468,2025-03-13
POSI,Количество лиц,1166,226,4,19,1415,2025-03-13
ASTR,Открытые позиции,92572,12436,326,80462,185796,2025-03-13
ASTR,Изменение,-58,53,322,211,528,2025-03-13
ASTR,Количество лиц,636,102,2,16,756,2025-03-13
SOFL,Открытые позиции,24864,4541,227,20550,50182,2025-03-13
SOFL,Изменение,-4579,-67,37,-4475,-9084,2025-03-13
SOFL,Количество лиц,198,64,3,13,278,2025-03-13
ALRS,Открытые позиции,25176,15615,86000,95561,222352,2025-03-13
ALRS,Изменение,1126,-1834,2024,4984,6300,2025-03-13
ALRS,Количество лиц,565,267,16,35,883,2025-03-13
NLMK,Открытые позиции,20185,4942,3698,18941,47766,2025-03-13
NLMK,Изменение,-42,169,-27,-238,-138,2025-03-13
NLMK,Количество лиц,478,247,6,39,770,2025-03-13
AFLT,Открытые позиции,33146,18214,732,15664,67756,2025-03-13
AFLT,Изменение,-1138,-725,275,-138,-1726,2025-03-13
AFLT,Количество лиц,737,391,7,21,1156,2025-03-13
BANE,Открытые позиции,5345,8565,3922,702,18534,2025-03-13
BANE,Изменение,-214,-508,-207,87,-842,2025-03-13
BANE,Количество лиц,143,108,5,7,263,2025-03-13
RUAL,Открытые позиции,29749,7479,2156,24426,63810,2025-03-13
RUAL,Изменение,-2134,224,260,-2098,-3748,2025-03-13
RUAL,Количество лиц,508,208,6,20,742,2025-03-13
LEAS,Открытые позиции,24402,10029,310,14683,49424,2025-03-13
LEAS,Изменение,493,-398,-452,439,82,2025-03-13
LEAS,Количество лиц,202,88,1,10,301,2025-03-13
AFKS,Открытые позиции,8554,8717,2008,1845,21124,2025-03-13
AFKS,Изменение,-722,97,410,-409,-624,2025-03-13
AFKS,Количество лиц,329,312,7,9,657,2025-03-13
RTKM,Открытые позиции,14072,7334,51858,58596,131860,2025-03-13
