Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,461891,331157,32135,162869,988052,2025-06-27
IMOEXF,Изменение,26996,20043,184,7137,54360,2025-06-27
IMOEXF,Количество лиц,8175,2865,22,36,11098,2025-06-27
SBER,Открытые позиции,102160,30751,65843,137252,336006,2025-06-27
SBER,Изменение,1081,3191,6734,4624,15630,2025-06-27
SBER,Количество лиц,3028,845,64,19,3956,2025-06-27
GAZP,Открытые позиции,218681,28204,430801,621278,1298964,2025-06-27
GAZP,Изменение,12246,-3380,13532,29158,51556,2025-06-27
GAZP,Количество лиц,2732,732,33,99,3596,2025-06-27
SMLT,Открытые позиции,158853,42508,626,116971,318958,2025-06-27
SMLT,Изменение,1974,-214,622,2810,5192,2025-06-27
SMLT,Количество лиц,721,211,2,44,978,2025-06-27
GMKN,Открытые позиции,426709,38765,86592,474536,1026602,2025-06-27
GMKN,Изменение,17154,8208,-6071,2875,22166,2025-06-27
GMKN,Количество лиц,1660,359,7,70,2096,2025-06-27
YDEX,Открытые позиции,108057,15195,1169,94031,218452,2025-06-27
YDEX,Изменение,2429,1449,443,1423,5744,2025-06-27
YDEX,Количество лиц,975,184,6,44,1209,2025-06-27
MGNT,Открытые позиции,101314,5211,2526,98629,207680,2025-06-27
MGNT,Изменение,3634,-196,425,4255,8118,2025-06-27
MGNT,Количество лиц,1181,172,6,37,1396,2025-06-27
ABIO,Открытые позиции,1104,621,0,483,2208,2025-06-27
ABIO,Изменение,2,9,0,-7,4,2025-06-27
ABIO,Количество лиц,54,11,0,3,68,2025-06-27
VTBR,Открытые позиции,192171,45670,47802,194303,479946,2025-06-27
VTBR,Изменение,19122,955,-17624,543,2996,2025-06-27
VTBR,Количество лиц,2246,809,15,12,3082,2025-06-27
SGZH,Открытые позиции,32757,44165,11495,87,88504,2025-06-27
SGZH,Изменение,414,6103,5232,-457,11292,2025-06-27
SGZH,Количество лиц,242,256,6,1,505,2025-06-27
TRNFP,Открытые позиции,79566,69253,100564,110877,360260,2025-06-27
TRNFP,Изменение,20114,-374,538,21026,41304,2025-06-27
TRNFP,Количество лиц,433,201,4,5,643,2025-06-27
WUSH,Открытые позиции,39353,6437,0,32916,78706,2025-06-27
WUSH,Изменение,1115,-311,0,1426,2230,2025-06-27
WUSH,Количество лиц,340,107,0,29,476,2025-06-27
VKCO,Открытые позиции,50948,15789,5329,40488,112554,2025-06-27
VKCO,Изменение,2752,1513,229,1468,5962,2025-06-27
VKCO,Количество лиц,539,219,3,33,794,2025-06-27
BABA,Открытые позиции,15218,3231,0,11987,30436,2025-06-27
BABA,Изменение,419,-217,-14,622,810,2025-06-27
BABA,Количество лиц,200,50,0,4,254,2025-06-27
BIDU,Открытые позиции,19367,2169,19,17217,38772,2025-06-27
BIDU,Изменение,72,752,0,-680,144,2025-06-27
BIDU,Количество лиц,93,31,1,3,128,2025-06-27
SIBN,Открытые позиции,8592,4528,1155,5219,19494,2025-06-27
SIBN,Изменение,729,2202,-197,-1670,1064,2025-06-27
SIBN,Количество лиц,240,88,4,9,341,2025-06-27
RNFT,Открытые позиции,15575,16730,4318,3163,39786,2025-06-27
RNFT,Изменение,490,-1485,-1328,647,-1676,2025-06-27
RNFT,Количество лиц,228,134,3,11,376,2025-06-27
MVID,Открытые позиции,6655,9805,3393,243,20096,2025-06-27
MVID,Изменение,41,-80,-113,8,-144,2025-06-27
MVID,Количество лиц,66,86,1,3,156,2025-06-27
PIKK,Открытые позиции,24768,10518,110,14360,49756,2025-06-27
PIKK,Изменение,424,336,50,138,948,2025-06-27
PIKK,Количество лиц,471,347,2,34,854,2025-06-27
BELU,Открытые позиции,34495,10154,0,24341,68990,2025-06-27
BELU,Изменение,3006,1035,0,1971,6012,2025-06-27
