Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,488087,313761,26098,200424,1028370,2025-06-07
IMOEXF,Изменение,40378,-24181,-4410,60149,71936,2025-06-07
IMOEXF,Количество лиц,8080,2470,29,42,10621,2025-06-07
SBER,Открытые позиции,128544,41483,134131,221192,525350,2025-06-07
SBER,Изменение,-8268,2821,14758,3669,12980,2025-06-07
SBER,Количество лиц,4013,1276,71,32,5392,2025-06-07
GAZP,Открытые позиции,229315,62105,474151,641361,1406932,2025-06-07
GAZP,Изменение,5771,-3677,-1761,7687,8020,2025-06-07
GAZP,Количество лиц,3402,1333,27,59,4821,2025-06-07
SMLT,Открытые позиции,221772,101859,61463,181376,566470,2025-06-07
SMLT,Изменение,-39974,-807,30100,-9067,-19748,2025-06-07
SMLT,Количество лиц,1037,363,13,23,1436,2025-06-07
GMKN,Открытые позиции,378843,76014,132049,434878,1021784,2025-06-07
GMKN,Изменение,2282,6796,-1187,-5701,2190,2025-06-07
GMKN,Количество лиц,1685,575,14,21,2295,2025-06-07
YDEX,Открытые позиции,119459,29159,25459,115759,289836,2025-06-07
YDEX,Изменение,-8917,-214,775,-7928,-16284,2025-06-07
YDEX,Количество лиц,1178,432,22,12,1644,2025-06-07
MGNT,Открытые позиции,137076,9786,28438,155728,331028,2025-06-07
MGNT,Изменение,2114,-6570,4468,13152,13164,2025-06-07
MGNT,Количество лиц,1482,214,16,24,1736,2025-06-07
ABIO,Открытые позиции,2347,293,1373,3427,7440,2025-06-07
ABIO,Изменение,-324,-34,324,34,0,2025-06-07
ABIO,Количество лиц,73,8,4,3,88,2025-06-07
VTBR,Открытые позиции,199558,43384,10184,166358,419484,2025-06-07
VTBR,Изменение,-3959,12733,-5028,-21720,-17974,2025-06-07
VTBR,Количество лиц,2348,862,12,43,3265,2025-06-07
SGZH,Открытые позиции,55987,61690,6003,300,123980,2025-06-07
SGZH,Изменение,-361,404,72,-693,-578,2025-06-07
SGZH,Количество лиц,515,226,8,2,751,2025-06-07
TRNFP,Открытые позиции,119913,50982,65269,134200,370364,2025-06-07
TRNFP,Изменение,-13381,-3515,7691,-2175,-11380,2025-06-07
TRNFP,Количество лиц,687,164,6,8,865,2025-06-07
WUSH,Открытые позиции,52379,13093,17630,56916,140018,2025-06-07
WUSH,Изменение,-592,-9621,-8653,376,-18490,2025-06-07
WUSH,Количество лиц,592,251,13,11,867,2025-06-07
VKCO,Открытые позиции,50467,17043,17013,50437,134960,2025-06-07
VKCO,Изменение,29,-2928,-1953,1004,-3848,2025-06-07
VKCO,Количество лиц,666,266,12,11,955,2025-06-07
BABA,Открытые позиции,19587,18269,2121,3439,43416,2025-06-07
BABA,Изменение,-1685,-343,870,-472,-1630,2025-06-07
BABA,Количество лиц,379,96,1,4,480,2025-06-07
BIDU,Открытые позиции,29147,6773,20,22394,58334,2025-06-07
BIDU,Изменение,-825,-633,0,-192,-1650,2025-06-07
BIDU,Количество лиц,280,37,1,4,322,2025-06-07
SIBN,Открытые позиции,14567,2807,5969,17729,41072,2025-06-07
SIBN,Изменение,-88,240,335,7,494,2025-06-07
SIBN,Количество лиц,464,104,14,10,592,2025-06-07
RNFT,Открытые позиции,50962,21952,58,29068,102040,2025-06-07
RNFT,Изменение,-567,-308,43,-216,-1048,2025-06-07
RNFT,Количество лиц,324,121,1,21,467,2025-06-07
MVID,Открытые позиции,7327,9927,4046,1446,22746,2025-06-07
MVID,Изменение,-1258,219,1020,-457,-476,2025-06-07
MVID,Количество лиц,126,88,2,9,225,2025-06-07
PIKK,Открытые позиции,41700,34389,12132,19443,107664,2025-06-07
PIKK,Изменение,912,-1136,-1699,349,-1574,2025-06-07
PIKK,Количество лиц,634,579,8,15,1236,2025-06-07
BELU,Открытые позиции,41061,38860,4313,6514,90748,2025-06-07
BELU,Изменение,-5637,-4281,2671,1315,-5932,2025-06-07
BELU,Количество лиц,337,97,3,6,443,2025-06-07
MTLR,Открытые позиции,13130,23470,14992,4652,56244,2025-06-07
MTLR,Изменение,643,1350,580,-127,2446,2025-06-07
MTLR,Количество лиц,443,331,11,5,790,2025-06-07
POSI,Открытые позиции,84496,15466,749,69779,170490,2025-06-07
POSI,Изменение,-5610,-1027,119,-4464,-10982,2025-06-07
POSI,Количество лиц,685,158,6,16,865,2025-06-07
ASTR,Открытые позиции,62060,12075,1334,51319,126788,2025-06-07
ASTR,Изменение,-9001,322,643,-8680,-16716,2025-06-07
ASTR,Количество лиц,426,93,6,12,537,2025-06-07
SOFL,Открытые позиции,29691,2553,255,27393,59892,2025-06-07
SOFL,Изменение,-49,-30,22,3,-54,2025-06-07
SOFL,Количество лиц,191,49,2,12,254,2025-06-07
ALRS,Открытые позиции,26859,3833,81280,104306,216278,2025-06-07
ALRS,Изменение,868,2,-152,714,1432,2025-06-07
ALRS,Количество лиц,551,162,7,27,747,2025-06-07
NLMK,Открытые позиции,23950,5067,3165,22048,54230,2025-06-07
NLMK,Изменение,1371,-156,-107,1420,2528,2025-06-07
NLMK,Количество лиц,510,139,6,32,687,2025-06-07
AFLT,Открытые позиции,22144,13193,30,8981,44348,2025-06-07
AFLT,Изменение,-155,-223,-1,67,-312,2025-06-07
AFLT,Количество лиц,607,233,2,28,870,2025-06-07
BANE,Открытые позиции,4493,4680,784,597,10554,2025-06-07
BANE,Изменение,-299,-49,503,253,408,2025-06-07
BANE,Количество лиц,155,76,8,5,244,2025-06-07
RUAL,Открытые позиции,30636,4398,2056,28294,65384,2025-06-07
RUAL,Изменение,-592,1045,-504,-2141,-2192,2025-06-07
RUAL,Количество лиц,503,102,5,14,624,2025-06-07
LEAS,Открытые позиции,44324,26405,1196,19115,91040,2025-06-07
LEAS,Изменение,-8790,550,-1292,-10632,-20164,2025-06-07
LEAS,Количество лиц,265,91,3,6,365,2025-06-07
AFKS,Открытые позиции,6714,8984,3330,1060,20088,2025-06-07
AFKS,Изменение,-1889,-103,1823,37,-132,2025-06-07
AFKS,Количество лиц,371,246,6,19,642,2025-06-07
RTKM,Открытые позиции,23397,6298,5136,22235,57066,2025-06-07
RTKM,Изменение,2249,-1843,-679,3413,3140,2025-06-07
RTKM,Количество лиц,395,106,4,18,523,2025-06-07
SFIN,Открытые позиции,11613,15082,4194,725,31614,2025-06-07
SFIN,Изменение,-1341,533,1328,-546,-26,2025-06-07
SFIN,Количество лиц,180,80,7,4,271,2025-06-07
MOEX,Открытые позиции,15763,3452,7107,19418,45740,2025-06-07
MOEX,Изменение,-888,-524,502,138,-772,2025-06-07
MOEX,Количество лиц,796,139,14,13,962,2025-06-07
SBERP,Открытые позиции,8990,1687,4611,11914,27202,2025-06-07
SBERP,Изменение,-1345,-360,349,-636,-1992,2025-06-07
SBERP,Количество лиц,453,131,8,17,609,2025-06-07
ROSN,Открытые позиции,15177,2382,8163,20958,46680,2025-06-07
ROSN,Изменение,-569,269,32,-806,-1074,2025-06-07
ROSN,Количество лиц,901,252,9,36,1198,2025-06-07
FESH,Открытые позиции,4899,822,6,4083,9810,2025-06-07
FESH,Изменение,-241,-89,-11,-163,-504,2025-06-07
FESH,Количество лиц,83,50,1,12,146,2025-06-07
PHOR,Открытые позиции,4870,4116,6408,7162,22556,2025-06-07
PHOR,Изменение,-310,-137,112,-61,-396,2025-06-07
PHOR,Количество лиц,259,101,10,6,376,2025-06-07
SVCB,Открытые позиции,63296,4634,59,58721,126710,2025-06-07
SVCB,Изменение,-2609,-7516,-16,4891,-5250,2025-06-07
SVCB,Количество лиц,460,82,1,14,557,2025-06-07
CBOM,Открытые позиции,2361,19817,17742,286,40206,2025-06-07
CBOM,Изменение,-322,-1861,-2228,-689,-5100,2025-06-07
CBOM,Количество лиц,122,70,12,4,208,2025-06-07
LKOH,Открытые позиции,11444,13708,62334,60070,147556,2025-06-07
LKOH,Изменение,-553,-1053,-1770,-1270,-4646,2025-06-07
LKOH,Количество лиц,969,437,9,33,1448,2025-06-07
KMAZ,Открытые позиции,9871,5035,1330,6166,22402,2025-06-07
KMAZ,Изменение,891,863,410,438,2602,2025-06-07
KMAZ,Количество лиц,169,57,5,9,240,2025-06-07
SNGS,Открытые позиции,10510,982,2303,11831,25626,2025-06-07
SNGS,Изменение,-55,-211,-43,113,-196,2025-06-07
SNGS,Количество лиц,455,76,10,14,555,2025-06-07
HYDR,Открытые позиции,9653,2072,270,7851,19846,2025-06-07
HYDR,Изменение,558,197,89,450,1294,2025-06-07
HYDR,Количество лиц,215,57,5,13,290,2025-06-07
NVTK,Открытые позиции,5136,597,563,5102,11398,2025-06-07
NVTK,Изменение,44,-47,-17,74,54,2025-06-07
NVTK,Количество лиц,606,122,6,21,755,2025-06-07
FEES,Открытые позиции,5677,831,111,4957,11576,2025-06-07
FEES,Изменение,-144,2,20,-126,-248,2025-06-07
FEES,Количество лиц,178,50,1,8,237,2025-06-07
MAGN,Открытые позиции,3188,651,135,2672,6646,2025-06-07
MAGN,Изменение,134,-165,-73,226,122,2025-06-07
MAGN,Количество лиц,314,85,2,17,418,2025-06-07
BSPB,Открытые позиции,9512,9491,2724,2745,24472,2025-06-07
