Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,424935,205825,25110,244220,900090,2025-04-11
IMOEXF,Изменение,-33299,8847,864,-41282,-64870,2025-04-11
IMOEXF,Количество лиц,7757,1850,26,31,9664,2025-04-11
SBER,Открытые позиции,97706,47454,64923,115175,325258,2025-04-11
SBER,Изменение,-11173,-13666,5502,7995,-11342,2025-04-11
SBER,Количество лиц,3263,1497,37,39,4836,2025-04-11
GAZP,Открытые позиции,220124,28771,207756,399109,855760,2025-04-11
GAZP,Изменение,2840,-4452,17742,25034,41164,2025-04-11
GAZP,Количество лиц,3546,1019,21,82,4668,2025-04-11
SMLT,Открытые позиции,240051,42650,6833,204234,493768,2025-04-11
SMLT,Изменение,1590,-6647,1307,9544,5794,2025-04-11
SMLT,Количество лиц,884,315,6,38,1243,2025-04-11
GMKN,Открытые позиции,335710,44097,183307,474920,1038034,2025-04-11
GMKN,Изменение,57643,-27277,-12204,72716,90878,2025-04-11
GMKN,Количество лиц,1561,294,12,56,1923,2025-04-11
YDEX,Открытые позиции,126983,12616,9725,124092,273416,2025-04-11
YDEX,Изменение,16117,-16451,-230,32338,31774,2025-04-11
YDEX,Количество лиц,1268,192,4,37,1501,2025-04-11
MGNT,Открытые позиции,81322,5445,7104,82981,176852,2025-04-11
MGNT,Изменение,-1409,-2174,-306,459,-3430,2025-04-11
MGNT,Количество лиц,1125,185,6,21,1337,2025-04-11
ABIO,Открытые позиции,9558,681,0,8877,19116,2025-04-11
ABIO,Изменение,-2662,51,0,-2713,-5324,2025-04-11
ABIO,Количество лиц,68,15,0,6,89,2025-04-11
VTBR,Открытые позиции,196371,20323,26026,202074,444794,2025-04-11
VTBR,Изменение,-9705,-2755,-4406,-11356,-28222,2025-04-11
VTBR,Количество лиц,2767,578,12,34,3391,2025-04-11
SGZH,Открытые позиции,54868,56737,2820,951,115376,2025-04-11
SGZH,Изменение,36,-889,-973,-48,-1874,2025-04-11
SGZH,Количество лиц,566,239,6,3,814,2025-04-11
TRNFP,Открытые позиции,89392,23655,3561,69298,185906,2025-04-11
TRNFP,Изменение,-2837,-2260,-630,-1207,-6934,2025-04-11
TRNFP,Количество лиц,719,131,2,21,873,2025-04-11
WUSH,Открытые позиции,53232,11177,7537,49592,121538,2025-04-11
WUSH,Изменение,474,203,-886,-615,-824,2025-04-11
WUSH,Количество лиц,619,131,7,8,765,2025-04-11
VKCO,Открытые позиции,62737,16609,1334,47462,128142,2025-04-11
VKCO,Изменение,2262,-758,-10,3010,4504,2025-04-11
VKCO,Количество лиц,729,243,2,29,1003,2025-04-11
BABA,Открытые позиции,31451,8622,260,23089,63422,2025-04-11
BABA,Изменение,-561,-1582,0,1021,-1122,2025-04-11
BABA,Количество лиц,321,150,2,4,477,2025-04-11
BIDU,Открытые позиции,30082,2406,1,27677,60166,2025-04-11
BIDU,Изменение,-379,264,1,-642,-756,2025-04-11
BIDU,Количество лиц,231,38,1,3,273,2025-04-11
SIBN,Открытые позиции,22320,1892,732,21160,46104,2025-04-11
SIBN,Изменение,1258,-158,-12,1404,2492,2025-04-11
SIBN,Количество лиц,593,72,3,25,693,2025-04-11
RNFT,Открытые позиции,48619,21175,144,27588,97526,2025-04-11
RNFT,Изменение,4963,4951,54,66,10034,2025-04-11
RNFT,Количество лиц,407,155,2,21,585,2025-04-11
MVID,Открытые позиции,10820,12393,2711,1138,27062,2025-04-11
MVID,Изменение,-437,-1369,-587,345,-2048,2025-04-11
MVID,Количество лиц,121,121,1,4,247,2025-04-11
PIKK,Открытые позиции,32413,11512,691,21592,66208,2025-04-11
PIKK,Изменение,4819,3141,316,1994,10270,2025-04-11
PIKK,Количество лиц,580,224,2,14,820,2025-04-11
BELU,Открытые позиции,40877,33690,1176,8363,84106,2025-04-11
BELU,Изменение,1559,324,321,1556,3760,2025-04-11
BELU,Количество лиц,272,79,3,4,358,2025-04-11
MTLR,Открытые позиции,12153,11651,3782,4284,31870,2025-04-11
MTLR,Изменение,-390,-2066,-938,738,-2656,2025-04-11
MTLR,Количество лиц,400,248,2,13,663,2025-04-11
POSI,Открытые позиции,78069,61663,10667,27073,177472,2025-04-11
POSI,Изменение,193,-4695,160,5048,706,2025-04-11
POSI,Количество лиц,697,226,3,26,952,2025-04-11
ASTR,Открытые позиции,57772,14037,1419,45154,118382,2025-04-11
ASTR,Изменение,1135,146,-1120,-131,30,2025-04-11
ASTR,Количество лиц,379,84,2,6,471,2025-04-11
SOFL,Открытые позиции,26306,1787,166,24685,52944,2025-04-11
SOFL,Изменение,371,9,166,528,1074,2025-04-11
SOFL,Количество лиц,170,44,1,13,228,2025-04-11
ALRS,Открытые позиции,22467,4127,80214,98554,205362,2025-04-11
ALRS,Изменение,1626,-1601,598,3825,4448,2025-04-11
ALRS,Количество лиц,487,180,5,40,712,2025-04-11
NLMK,Открытые позиции,18616,5222,3533,16927,44298,2025-04-11
NLMK,Изменение,1098,-403,389,1890,2974,2025-04-11
NLMK,Количество лиц,503,118,4,15,640,2025-04-11
AFLT,Открытые позиции,28292,13775,52,14569,56688,2025-04-11
AFLT,Изменение,2153,-2583,-20,4716,4266,2025-04-11
AFLT,Количество лиц,600,253,2,40,895,2025-04-11
BANE,Открытые позиции,4624,5124,3582,3082,16412,2025-04-11
BANE,Изменение,361,-3597,-1009,2949,-1296,2025-04-11
BANE,Количество лиц,134,74,2,8,218,2025-04-11
RUAL,Открытые позиции,20597,3674,2156,19079,45506,2025-04-11
RUAL,Изменение,-1737,-559,747,-431,-1980,2025-04-11
RUAL,Количество лиц,406,101,5,21,533,2025-04-11
LEAS,Открытые позиции,26609,12442,345,14512,53908,2025-04-11
LEAS,Изменение,1555,1561,337,331,3784,2025-04-11
LEAS,Количество лиц,192,68,2,8,270,2025-04-11
AFKS,Открытые позиции,8649,7135,2330,3844,21958,2025-04-11
AFKS,Изменение,-229,-207,271,249,84,2025-04-11
AFKS,Количество лиц,370,235,5,13,623,2025-04-11
RTKM,Открытые позиции,10976,2991,4997,12982,31946,2025-04-11
RTKM,Изменение,119,234,192,77,622,2025-04-11
RTKM,Количество лиц,295,90,4,11,400,2025-04-11
SFIN,Открытые позиции,15533,11062,250,4721,31566,2025-04-11
SFIN,Изменение,490,479,-376,-365,228,2025-04-11
SFIN,Количество лиц,198,55,1,7,261,2025-04-11
MOEX,Открытые позиции,18397,5706,4556,17247,45906,2025-04-11
MOEX,Изменение,39,-463,13,515,104,2025-04-11
MOEX,Количество лиц,991,181,10,12,1194,2025-04-11
SBERP,Открытые позиции,6285,1379,3738,8644,20046,2025-04-11
SBERP,Изменение,811,-909,325,2045,2272,2025-04-11
SBERP,Количество лиц,447,116,6,14,583,2025-04-11
ROSN,Открытые позиции,9036,1815,10450,17671,38972,2025-04-11
ROSN,Изменение,-144,-346,-3612,-3410,-7512,2025-04-11
ROSN,Количество лиц,966,193,13,11,1183,2025-04-11
FESH,Открытые позиции,5646,415,0,5231,11292,2025-04-11
FESH,Изменение,-74,37,-50,-161,-248,2025-04-11
FESH,Количество лиц,104,41,0,11,156,2025-04-11
PHOR,Открытые позиции,22384,3134,319,19569,45406,2025-04-11
PHOR,Изменение,-128,-195,179,246,102,2025-04-11
PHOR,Количество лиц,308,107,3,16,434,2025-04-11
SVCB,Открытые позиции,46196,9697,2272,38771,96936,2025-04-11
SVCB,Изменение,1946,3997,-127,-2178,3638,2025-04-11
SVCB,Количество лиц,349,64,3,10,426,2025-04-11
CBOM,Открытые позиции,875,2562,2604,917,6958,2025-04-11
CBOM,Изменение,80,80,-98,-98,-36,2025-04-11
CBOM,Количество лиц,61,57,1,8,127,2025-04-11
LKOH,Открытые позиции,12054,4305,33385,41134,90878,2025-04-11
LKOH,Изменение,-22,-87,295,360,546,2025-04-11
LKOH,Количество лиц,1206,296,16,13,1531,2025-04-11
KMAZ,Открытые позиции,10880,3593,15,7302,21790,2025-04-11
KMAZ,Изменение,721,-729,-62,1388,1318,2025-04-11
KMAZ,Количество лиц,153,55,1,11,220,2025-04-11
SNGS,Открытые позиции,9561,1232,2015,10344,23152,2025-04-11
SNGS,Изменение,-101,-233,355,487,508,2025-04-11
SNGS,Количество лиц,454,68,8,25,555,2025-04-11
HYDR,Открытые позиции,8836,1584,138,7390,17948,2025-04-11
HYDR,Изменение,2535,535,0,2000,5070,2025-04-11
HYDR,Количество лиц,211,50,1,18,280,2025-04-11
NVTK,Открытые позиции,4050,716,1597,4931,11294,2025-04-11
NVTK,Изменение,-9,12,9,-12,0,2025-04-11
NVTK,Количество лиц,592,150,9,22,773,2025-04-11
FEES,Открытые позиции,4959,825,116,4250,10150,2025-04-11
FEES,Изменение,375,-154,0,529,750,2025-04-11
FEES,Количество лиц,148,49,1,9,207,2025-04-11
MAGN,Открытые позиции,3492,660,730,3562,8444,2025-04-11
MAGN,Изменение,-63,-18,74,29,22,2025-04-11
MAGN,Количество лиц,328,57,6,7,398,2025-04-11
BSPB,Открытые позиции,7945,6413,1652,3184,19194,2025-04-11
BSPB,Изменение,-574,231,527,-278,-94,2025-04-11
BSPB,Количество лиц,235,143,8,4,390,2025-04-11
TATN,Открытые позиции,2315,997,741,2059,6112,2025-04-11
TATN,Изменение,203,-138,-45,296,316,2025-04-11
TATN,Количество лиц,304,76,10,8,398,2025-04-11
FLOT,Открытые позиции,6008,1626,15,4397,12046,2025-04-11
FLOT,Изменение,-229,-233,4,8,-450,2025-04-11
FLOT,Количество лиц,238,80,2,17,337,2025-04-11
MTSS,Открытые позиции,2531,1147,1674,3058,8410,2025-04-11
MTSS,Изменение,-210,-94,474,358,528,2025-04-11
MTSS,Количество лиц,228,101,4,25,358,2025-04-11
TATNP,Открытые позиции,2100,384,10,1726,4220,2025-04-11
TATNP,Изменение,116,101,-558,-543,-884,2025-04-11
TATNP,Количество лиц,147,42,1,6,196,2025-04-11
RASP,Открытые позиции,7463,6970,400,893,15726,2025-04-11
RASP,Изменение,76,741,2,-663,156,2025-04-11
RASP,Количество лиц,102,57,1,11,171,2025-04-11
SNGSP,Открытые позиции,4319,691,210,3838,9058,2025-04-11
SNGSP,Изменение,-581,-41,166,-374,-830,2025-04-11
SNGSP,Количество лиц,365,88,7,21,481,2025-04-11
