Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,447709,337942,30508,140275,956434,2025-06-06
IMOEXF,Изменение,2866,1291,-15875,-14300,-26018,2025-06-06
IMOEXF,Количество лиц,7925,2616,31,33,10605,2025-06-06
SBER,Открытые позиции,136812,38662,119373,217523,512370,2025-06-06
SBER,Изменение,1711,1389,-341,-19,2740,2025-06-06
SBER,Количество лиц,4311,1271,70,49,5701,2025-06-06
GAZP,Открытые позиции,223544,65782,475912,633674,1398912,2025-06-06
GAZP,Изменение,-3154,4513,970,-6697,-4368,2025-06-06
GAZP,Количество лиц,3421,1432,29,79,4961,2025-06-06
SMLT,Открытые позиции,261746,102666,31363,190443,586218,2025-06-06
SMLT,Изменение,-6674,7824,14381,-117,15414,2025-06-06
SMLT,Количество лиц,1053,398,14,30,1495,2025-06-06
GMKN,Открытые позиции,376561,69218,133236,440579,1019594,2025-06-06
GMKN,Изменение,-22641,29242,33680,-18203,22078,2025-06-06
GMKN,Количество лиц,1705,504,14,26,2249,2025-06-06
YDEX,Открытые позиции,128376,29373,24684,123687,306120,2025-06-06
YDEX,Изменение,-2025,9264,15313,4024,26576,2025-06-06
YDEX,Количество лиц,1248,433,14,27,1722,2025-06-06
MGNT,Открытые позиции,134962,16356,23970,142576,317864,2025-06-06
MGNT,Изменение,-2093,-596,-362,-1859,-4910,2025-06-06
MGNT,Количество лиц,1549,191,18,18,1776,2025-06-06
ABIO,Открытые позиции,2671,327,1049,3393,7440,2025-06-06
ABIO,Изменение,44,0,-44,0,0,2025-06-06
ABIO,Количество лиц,78,10,3,3,94,2025-06-06
VTBR,Открытые позиции,203517,30651,15212,188078,437458,2025-06-06
VTBR,Изменение,491,890,508,109,1998,2025-06-06
VTBR,Количество лиц,2540,652,9,70,3271,2025-06-06
SGZH,Открытые позиции,56348,61286,5931,993,124558,2025-06-06
SGZH,Изменение,834,-612,-950,496,-232,2025-06-06
SGZH,Количество лиц,480,251,4,5,740,2025-06-06
TRNFP,Открытые позиции,133294,54497,57578,136375,381744,2025-06-06
TRNFP,Изменение,-5641,-103,4991,-547,-1300,2025-06-06
TRNFP,Количество лиц,726,173,6,13,918,2025-06-06
WUSH,Открытые позиции,52971,22714,26283,56540,158508,2025-06-06
WUSH,Изменение,-2056,15190,16460,-786,28808,2025-06-06
WUSH,Количество лиц,627,289,13,8,937,2025-06-06
VKCO,Открытые позиции,50438,19971,18966,49433,138808,2025-06-06
VKCO,Изменение,-1619,2932,7960,3409,12682,2025-06-06
VKCO,Количество лиц,717,265,13,6,1001,2025-06-06
BABA,Открытые позиции,21272,18612,1251,3911,45046,2025-06-06
BABA,Изменение,-167,1236,425,-978,516,2025-06-06
BABA,Количество лиц,387,107,2,2,498,2025-06-06
BIDU,Открытые позиции,29972,7406,20,22586,59984,2025-06-06
BIDU,Изменение,351,777,0,-426,702,2025-06-06
BIDU,Количество лиц,283,39,1,3,326,2025-06-06
SIBN,Открытые позиции,14655,2567,5634,17722,40578,2025-06-06
SIBN,Изменение,96,-40,-238,-102,-284,2025-06-06
SIBN,Количество лиц,478,101,13,9,601,2025-06-06
RNFT,Открытые позиции,51529,22260,15,29284,103088,2025-06-06
RNFT,Изменение,2716,-628,15,3359,5462,2025-06-06
RNFT,Количество лиц,328,130,1,21,480,2025-06-06
MVID,Открытые позиции,8585,9708,3026,1903,23222,2025-06-06
MVID,Изменение,180,393,-215,-428,-70,2025-06-06
MVID,Количество лиц,136,98,2,7,243,2025-06-06
PIKK,Открытые позиции,40788,35525,13831,19094,109238,2025-06-06
PIKK,Изменение,-4073,-1723,504,-1846,-7138,2025-06-06
PIKK,Количество лиц,656,681,13,16,1366,2025-06-06
BELU,Открытые позиции,46698,43141,1642,5199,96680,2025-06-06
BELU,Изменение,-5158,1429,-123,-6710,-10562,2025-06-06
