Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
SBER,Открытые позиции,104370,69192,72228,107406,353196,2025-03-28
SBER,Изменение,1602,7571,124,-5845,3452,2025-03-28
SBER,Количество лиц,3294,1942,30,51,5317,2025-03-28
SMLT,Открытые позиции,237317,68334,0,168983,474634,2025-03-28
SMLT,Изменение,-969,-151,-62,-880,-2062,2025-03-28
SMLT,Количество лиц,823,373,0,17,1213,2025-03-28
GMKN,Открытые позиции,354336,56764,123945,421517,956562,2025-03-28
GMKN,Изменение,24695,19554,10171,15312,69732,2025-03-28
GMKN,Количество лиц,1338,374,13,33,1758,2025-03-28
YDEX,Открытые позиции,110336,16243,28210,122303,277092,2025-03-28
YDEX,Изменение,-2693,1319,2000,-2012,-1386,2025-03-28
YDEX,Количество лиц,1023,194,5,17,1239,2025-03-28
MGNT,Открытые позиции,75537,5437,41707,111807,234488,2025-03-28
MGNT,Изменение,6839,-865,-32536,-24832,-51394,2025-03-28
MGNT,Количество лиц,1119,184,6,16,1325,2025-03-28
ABIO,Открытые позиции,2217,512,0,1705,4434,2025-03-28
ABIO,Изменение,467,0,0,467,934,2025-03-28
ABIO,Количество лиц,56,18,0,7,81,2025-03-28
VTBR,Открытые позиции,177749,14318,12424,175855,380346,2025-03-28
VTBR,Изменение,5211,20,2727,7918,15876,2025-03-28
VTBR,Количество лиц,2404,490,6,46,2946,2025-03-28
SGZH,Открытые позиции,62999,63201,913,711,127824,2025-03-28
SGZH,Изменение,-3754,-2952,40,-762,-7428,2025-03-28
SGZH,Количество лиц,561,319,3,5,888,2025-03-28
TRNFP,Открытые позиции,108269,24014,494,84749,217526,2025-03-28
TRNFP,Изменение,7274,-1446,0,8720,14548,2025-03-28
TRNFP,Количество лиц,625,226,2,34,887,2025-03-28
WUSH,Открытые позиции,60255,8613,0,51642,120510,2025-03-28
WUSH,Изменение,-645,-493,0,-152,-1290,2025-03-28
WUSH,Количество лиц,583,160,0,17,760,2025-03-28
VKCO,Открытые позиции,69835,47377,4675,27133,149020,2025-03-28
VKCO,Изменение,-1943,-81,1555,-307,-776,2025-03-28
VKCO,Количество лиц,829,487,6,15,1337,2025-03-28
BABA,Открытые позиции,14208,2492,260,11976,28936,2025-03-28
BABA,Изменение,-3389,188,0,-3577,-6778,2025-03-28
BABA,Количество лиц,385,143,2,5,535,2025-03-28
BIDU,Открытые позиции,32063,3254,1,28810,64128,2025-03-28
BIDU,Изменение,-476,852,1,-1327,-950,2025-03-28
BIDU,Количество лиц,226,41,1,4,272,2025-03-28
SIBN,Открытые позиции,21234,1690,3,19547,42474,2025-03-28
SIBN,Изменение,471,158,3,316,948,2025-03-28
SIBN,Количество лиц,597,80,1,16,694,2025-03-28
RNFT,Открытые позиции,41840,21730,0,20110,83680,2025-03-28
RNFT,Изменение,98,-4440,0,4538,196,2025-03-28
RNFT,Количество лиц,265,211,0,24,500,2025-03-28
MVID,Открытые позиции,17188,16242,637,1583,35650,2025-03-28
MVID,Изменение,-300,-375,-475,-400,-1550,2025-03-28
MVID,Количество лиц,172,183,2,3,360,2025-03-28
PIKK,Открытые позиции,28438,15635,383,13186,57642,2025-03-28
PIKK,Изменение,3795,1418,-49,2328,7492,2025-03-28
PIKK,Количество лиц,492,329,3,10,834,2025-03-28
BELU,Открытые позиции,25934,20879,200,5255,52268,2025-03-28
BELU,Изменение,1897,349,200,1748,4194,2025-03-28
BELU,Количество лиц,200,84,1,6,291,2025-03-28
MTLR,Открытые позиции,8978,17031,8545,492,35046,2025-03-28
MTLR,Изменение,550,479,-64,7,972,2025-03-28
MTLR,Количество лиц,377,331,5,7,720,2025-03-28
POSI,Открытые позиции,82236,71620,1009,11625,166490,2025-03-28
POSI,Изменение,21758,24128,19,-2351,43554,2025-03-28
POSI,Количество лиц,679,287,4,5,975,2025-03-28
ASTR,Открытые позиции,73510,8533,0,64977,147020,2025-03-28
ASTR,Изменение,4040,-1488,-110,5418,7860,2025-03-28
ASTR,Количество лиц,378,99,0,12,489,2025-03-28
SOFL,Открытые позиции,20438,3448,0,16990,40876,2025-03-28
SOFL,Изменение,-164,378,0,-542,-328,2025-03-28
SOFL,Количество лиц,193,54,0,11,258,2025-03-28
ALRS,Открытые позиции,16599,6712,79227,89114,191652,2025-03-28
ALRS,Изменение,-355,-388,-50,-17,-810,2025-03-28
ALRS,Количество лиц,423,193,2,26,644,2025-03-28
NLMK,Открытые позиции,19267,6144,2743,15866,44020,2025-03-28
NLMK,Изменение,-210,321,192,-339,-36,2025-03-28
NLMK,Количество лиц,459,198,6,9,672,2025-03-28
AFLT,Открытые позиции,32755,12014,842,21583,67194,2025-03-28
AFLT,Изменение,5502,-24,182,5708,11368,2025-03-28
AFLT,Количество лиц,532,265,3,35,835,2025-03-28
RUAL,Открытые позиции,21927,3945,234,18216,44322,2025-03-28
RUAL,Изменение,2978,138,-88,2752,5780,2025-03-28
RUAL,Количество лиц,425,127,1,18,571,2025-03-28
LEAS,Открытые позиции,24005,8993,0,15012,48010,2025-03-28
LEAS,Изменение,-35,1227,-978,-2240,-2026,2025-03-28
LEAS,Количество лиц,190,68,0,10,268,2025-03-28
AFKS,Открытые позиции,8170,3666,0,4504,16340,2025-03-28
AFKS,Изменение,570,89,0,481,1140,2025-03-28
AFKS,Количество лиц,322,211,0,10,543,2025-03-28
RTKM,Открытые позиции,9971,4099,8709,14581,37360,2025-03-28
RTKM,Изменение,198,810,-8896,-9508,-17396,2025-03-28
RTKM,Количество лиц,298,110,4,4,416,2025-03-28
SFIN,Открытые позиции,19430,6759,0,12671,38860,2025-03-28
SFIN,Изменение,1902,-1047,0,2949,3804,2025-03-28
SFIN,Количество лиц,213,55,0,12,280,2025-03-28
MOEX,Открытые позиции,19364,5341,1232,15255,41192,2025-03-28
MOEX,Изменение,901,198,270,973,2342,2025-03-28
MOEX,Количество лиц,997,176,3,12,1188,2025-03-28
SBERP,Открытые позиции,4251,2119,789,2921,10080,2025-03-28
SBERP,Изменение,1,-177,-71,107,-140,2025-03-28
SBERP,Количество лиц,259,124,4,13,400,2025-03-28
ROSN,Открытые позиции,6997,1642,9718,15073,33430,2025-03-28
ROSN,Изменение,243,234,204,213,894,2025-03-28
ROSN,Количество лиц,678,198,6,35,917,2025-03-28
FESH,Открытые позиции,2893,2030,0,863,5786,2025-03-28
FESH,Изменение,1090,-52,-279,863,1622,2025-03-28
FESH,Количество лиц,95,47,0,9,151,2025-03-28
PHOR,Открытые позиции,8510,3864,682,5328,18384,2025-03-28
PHOR,Изменение,-3779,-312,-271,-3738,-8100,2025-03-28
PHOR,Количество лиц,302,114,2,14,432,2025-03-28
SVCB,Открытые позиции,50064,8817,2373,43620,104874,2025-03-28
SVCB,Изменение,-6947,5542,2308,-10181,-9278,2025-03-28
SVCB,Количество лиц,334,85,3,7,429,2025-03-28
CBOM,Открытые позиции,544,3802,3333,75,7754,2025-03-28
CBOM,Изменение,152,-53,-179,26,-54,2025-03-28
CBOM,Количество лиц,51,91,4,3,149,2025-03-28
LKOH,Открытые позиции,8694,5928,9510,12276,36408,2025-03-28
LKOH,Изменение,529,1461,-23,-955,1012,2025-03-28
LKOH,Количество лиц,1066,322,8,17,1413,2025-03-28
KMAZ,Открытые позиции,7500,1998,57,5559,15114,2025-03-28
KMAZ,Изменение,-386,409,-143,-938,-1058,2025-03-28
KMAZ,Количество лиц,136,55,1,6,198,2025-03-28
