Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,430502,280858,22391,172035,905786,2025-07-08
IMOEXF,Изменение,-7070,-19722,-7389,5263,-28918,2025-07-08
IMOEXF,Количество лиц,7578,2518,24,32,10152,2025-07-08
SBER,Открытые позиции,113311,79586,142079,175804,510780,2025-07-08
SBER,Изменение,-20254,29260,44620,-4894,48732,2025-07-08
SBER,Количество лиц,2725,1425,55,31,4236,2025-07-08
GAZP,Открытые позиции,211118,76090,501612,636640,1425460,2025-07-08
GAZP,Изменение,-2375,22831,30311,5105,55872,2025-07-08
GAZP,Количество лиц,2851,980,34,37,3902,2025-07-08
SMLT,Открытые позиции,213563,64165,4,149402,427134,2025-07-08
SMLT,Изменение,-1491,1405,-545,-3441,-4072,2025-07-08
SMLT,Количество лиц,728,338,1,46,1113,2025-07-08
GMKN,Открытые позиции,440893,67827,130595,503661,1142976,2025-07-08
GMKN,Изменение,-20876,-7511,13790,425,-14172,2025-07-08
GMKN,Количество лиц,1625,513,14,35,2187,2025-07-08
YDEX,Открытые позиции,119574,29107,2177,92644,243502,2025-07-08
YDEX,Изменение,2860,-1291,-238,3913,5244,2025-07-08
YDEX,Количество лиц,875,452,7,35,1369,2025-07-08
MGNT,Открытые позиции,113772,7659,4915,111028,237374,2025-07-08
MGNT,Изменение,-7133,1101,1307,-6927,-11652,2025-07-08
MGNT,Количество лиц,1297,188,6,19,1510,2025-07-08
ABIO,Открытые позиции,1470,144,13,1339,2966,2025-07-08
ABIO,Изменение,23,27,0,-4,46,2025-07-08
ABIO,Количество лиц,57,14,1,7,79,2025-07-08
VTBR,Открытые позиции,312680,66379,240392,486693,1106144,2025-07-08
VTBR,Изменение,34098,10821,25981,49258,120158,2025-07-08
VTBR,Количество лиц,2710,1042,31,22,3805,2025-07-08
SGZH,Открытые позиции,36078,43274,7306,110,86768,2025-07-08
SGZH,Изменение,389,-599,-1059,-71,-1340,2025-07-08
SGZH,Количество лиц,296,257,7,3,563,2025-07-08
