Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
GMKN,Открытые позиции,345869,81984,171220,435105,1034178,2025-04-24
GMKN,Изменение,18349,44967,1831,-24787,40360,2025-04-24
GMKN,Количество лиц,1628,438,14,57,2137,2025-04-24
YDEX,Открытые позиции,114491,45189,12014,81316,253010,2025-04-24
YDEX,Изменение,-16456,9351,6434,-19373,-20044,2025-04-24
YDEX,Количество лиц,1259,451,15,12,1737,2025-04-24
MGNT,Открытые позиции,84628,5886,2458,81200,174172,2025-04-24
MGNT,Изменение,-855,367,107,-1115,-1496,2025-04-24
MGNT,Количество лиц,1242,174,7,18,1441,2025-04-24
ABIO,Открытые позиции,3199,364,421,3256,7240,2025-04-24
ABIO,Изменение,-442,9,271,-180,-342,2025-04-24
ABIO,Количество лиц,71,10,2,2,85,2025-04-24
VTBR,Открытые позиции,142513,40056,27815,130272,340656,2025-04-24
VTBR,Изменение,-12207,3841,4629,-11419,-15156,2025-04-24
VTBR,Количество лиц,2189,902,19,34,3144,2025-04-24
SGZH,Открытые позиции,63107,64900,3486,1693,133186,2025-04-24
SGZH,Изменение,1859,4900,1965,-1076,7648,2025-04-24
SGZH,Количество лиц,582,237,3,5,827,2025-04-24
TRNFP,Открытые позиции,118624,24527,4439,98536,246126,2025-04-24
TRNFP,Изменение,-3633,-1306,0,-2327,-7266,2025-04-24
TRNFP,Количество лиц,772,136,2,43,953,2025-04-24
WUSH,Открытые позиции,50285,4038,3421,49668,107412,2025-04-24
WUSH,Изменение,-3601,-294,1077,-2230,-5048,2025-04-24
WUSH,Количество лиц,635,119,10,6,770,2025-04-24
VKCO,Открытые позиции,65691,20582,1339,46448,134060,2025-04-24
VKCO,Изменение,896,3887,-171,-3162,1450,2025-04-24
VKCO,Количество лиц,748,244,2,31,1025,2025-04-24
BABA,Открытые позиции,36673,5298,301,31676,73948,2025-04-24
BABA,Изменение,-1132,2206,0,-3338,-2264,2025-04-24
BABA,Количество лиц,370,130,3,3,506,2025-04-24
BIDU,Открытые позиции,29753,1900,1,27854,59508,2025-04-24
BIDU,Изменение,-513,-55,0,-458,-1026,2025-04-24
BIDU,Количество лиц,192,44,1,3,240,2025-04-24
SIBN,Открытые позиции,22703,3645,1646,20704,48698,2025-04-24
SIBN,Изменение,152,1652,785,-715,1874,2025-04-24
SIBN,Количество лиц,603,111,6,22,742,2025-04-24
RNFT,Открытые позиции,51376,22298,60,29138,102872,2025-04-24
RNFT,Изменение,3921,1727,60,2254,7962,2025-04-24
RNFT,Количество лиц,356,163,1,23,543,2025-04-24
MVID,Открытые позиции,9671,10530,1196,337,21734,2025-04-24
MVID,Изменение,-591,27,188,-430,-806,2025-04-24
MVID,Количество лиц,126,115,2,5,248,2025-04-24
PIKK,Открытые позиции,51855,10722,766,41899,105242,2025-04-24
PIKK,Изменение,-1634,-968,155,-511,-2958,2025-04-24
PIKK,Количество лиц,661,236,3,47,947,2025-04-24
BELU,Открытые позиции,38594,32316,544,6822,78276,2025-04-24
BELU,Изменение,-2311,-1782,322,-207,-3978,2025-04-24
BELU,Количество лиц,305,69,3,6,383,2025-04-24
MTLR,Открытые позиции,11726,17911,9783,3598,43018,2025-04-24
MTLR,Изменение,-593,363,927,-29,668,2025-04-24
MTLR,Количество лиц,437,292,9,3,741,2025-04-24
POSI,Открытые позиции,85596,34972,46,50670,171284,2025-04-24
POSI,Изменение,1920,-16260,-2090,16090,-340,2025-04-24
POSI,Количество лиц,679,192,2,35,908,2025-04-24
ASTR,Открытые позиции,78454,20594,627,58487,158162,2025-04-24
ASTR,Изменение,-1259,1279,627,-1911,-1264,2025-04-24
ASTR,Количество лиц,452,106,1,17,576,2025-04-24
SOFL,Открытые позиции,26565,2272,59,24352,53248,2025-04-24
SOFL,Изменение,-769,21,59,-731,-1420,2025-04-24
SOFL,Количество лиц,186,49,1,11,247,2025-04-24
ALRS,Открытые позиции,20825,3140,81060,98745,203770,2025-04-24
ALRS,Изменение,1235,222,-16,997,2438,2025-04-24
ALRS,Количество лиц,572,163,6,63,804,2025-04-24
NLMK,Открытые позиции,17999,5405,4491,17085,44980,2025-04-24
NLMK,Изменение,-531,259,282,-508,-498,2025-04-24
NLMK,Количество лиц,470,129,8,20,627,2025-04-24
AFLT,Открытые позиции,25613,14236,794,12171,52814,2025-04-24
AFLT,Изменение,-886,-2662,741,2517,-290,2025-04-24
AFLT,Количество лиц,682,262,7,32,983,2025-04-24
BANE,Открытые позиции,5680,4208,721,2193,12802,2025-04-24
BANE,Изменение,228,-254,-411,71,-366,2025-04-24
BANE,Количество лиц,167,67,2,11,247,2025-04-24
RUAL,Открытые позиции,24618,3884,2007,22741,53250,2025-04-24
RUAL,Изменение,1350,-169,97,1616,2894,2025-04-24
RUAL,Количество лиц,449,86,4,22,561,2025-04-24
LEAS,Открытые позиции,42264,44480,3667,1451,91862,2025-04-24
LEAS,Изменение,6211,18444,3417,-8816,19256,2025-04-24
LEAS,Количество лиц,255,85,2,3,345,2025-04-24
AFKS,Открытые позиции,5515,4974,2185,2726,15400,2025-04-24
AFKS,Изменение,-522,68,331,-259,-382,2025-04-24
AFKS,Количество лиц,370,198,9,11,588,2025-04-24
RTKM,Открытые позиции,16719,11173,5496,11042,44430,2025-04-24
RTKM,Изменение,-2107,-563,314,-1230,-3586,2025-04-24
RTKM,Количество лиц,354,119,4,13,490,2025-04-24
SFIN,Открытые позиции,13883,7734,500,6649,28766,2025-04-24
SFIN,Изменение,-172,-91,0,-81,-344,2025-04-24
SFIN,Количество лиц,195,57,1,8,261,2025-04-24
MOEX,Открытые позиции,18087,4420,4835,18502,45844,2025-04-24
MOEX,Изменение,-712,58,-36,-806,-1496,2025-04-24
MOEX,Количество лиц,987,189,8,11,1195,2025-04-24
