Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,434803,306903,27664,155564,924934,2025-07-03
IMOEXF,Изменение,-4782,-18688,-11421,2485,-32406,2025-07-03
IMOEXF,Количество лиц,8081,2857,28,36,11002,2025-07-03
SBER,Открытые позиции,135597,44942,83967,174622,439128,2025-07-03
SBER,Изменение,1038,164,338,1212,2752,2025-07-03
SBER,Количество лиц,3424,859,58,23,4364,2025-07-03
GAZP,Открытые позиции,206303,55871,452143,602575,1316892,2025-07-03
GAZP,Изменение,-11055,9102,546,-19611,-21018,2025-07-03
GAZP,Количество лиц,2695,990,30,43,3758,2025-07-03
SMLT,Открытые позиции,171533,55752,2092,117873,347250,2025-07-03
SMLT,Изменение,-6059,4656,2051,-8664,-8016,2025-07-03
SMLT,Количество лиц,773,333,3,41,1150,2025-07-03
GMKN,Открытые позиции,402187,83330,126986,445843,1058346,2025-07-03
GMKN,Изменение,-34722,35170,37959,-31933,6474,2025-07-03
GMKN,Количество лиц,1515,605,14,54,2188,2025-07-03
YDEX,Открытые позиции,109561,26447,2141,85255,223404,2025-07-03
YDEX,Изменение,-11670,13454,973,-24151,-21394,2025-07-03
YDEX,Количество лиц,879,437,8,22,1346,2025-07-03
MGNT,Открытые позиции,113369,8597,2296,107068,231330,2025-07-03
MGNT,Изменение,2327,-9168,-704,10791,3246,2025-07-03
MGNT,Количество лиц,1246,202,4,35,1487,2025-07-03
ABIO,Открытые позиции,863,118,13,758,1752,2025-07-03
ABIO,Изменение,7,1,0,6,14,2025-07-03
ABIO,Количество лиц,43,12,1,5,61,2025-07-03
VTBR,Открытые позиции,232743,62985,169267,339025,804020,2025-07-03
VTBR,Изменение,8529,6722,52454,54261,121966,2025-07-03
VTBR,Количество лиц,2208,1080,24,17,3329,2025-07-03
SGZH,Открытые позиции,35169,45593,10668,244,91674,2025-07-03
SGZH,Изменение,-719,-405,458,144,-522,2025-07-03
SGZH,Количество лиц,299,270,5,4,578,2025-07-03
TRNFP,Открытые позиции,116906,78893,105479,143492,444770,2025-07-03
TRNFP,Изменение,2193,2337,5563,5419,15512,2025-07-03
TRNFP,Количество лиц,435,237,6,5,683,2025-07-03
WUSH,Открытые позиции,45373,5458,111,40026,90968,2025-07-03
WUSH,Изменение,1091,-558,-143,1506,1896,2025-07-03
WUSH,Количество лиц,366,112,2,31,511,2025-07-03
VKCO,Открытые позиции,62372,16797,1537,47112,127818,2025-07-03
VKCO,Изменение,4692,1596,858,3954,11100,2025-07-03
VKCO,Количество лиц,685,231,1,37,954,2025-07-03
BABA,Открытые позиции,18294,3470,0,14824,36588,2025-07-03
BABA,Изменение,1268,-375,0,1643,2536,2025-07-03
BABA,Количество лиц,257,52,0,3,312,2025-07-03
BIDU,Открытые позиции,21685,3437,0,18248,43370,2025-07-03
BIDU,Изменение,-105,-8,0,-97,-210,2025-07-03
BIDU,Количество лиц,117,31,0,5,153,2025-07-03
SIBN,Открытые позиции,8871,5402,1549,5018,20840,2025-07-03
SIBN,Изменение,-86,-74,-53,-65,-278,2025-07-03
SIBN,Количество лиц,262,80,6,4,352,2025-07-03
RNFT,Открытые позиции,19277,14425,1044,5896,40642,2025-07-03
RNFT,Изменение,-201,-655,-582,-128,-1566,2025-07-03
RNFT,Количество лиц,249,108,4,10,371,2025-07-03
MVID,Открытые позиции,5480,8420,3361,421,17682,2025-07-03
MVID,Изменение,-260,-165,334,239,148,2025-07-03
MVID,Количество лиц,80,79,1,2,162,2025-07-03
PIKK,Открытые позиции,26872,16952,275,10195,54294,2025-07-03
PIKK,Изменение,-2682,1057,25,-3714,-5314,2025-07-03
PIKK,Количество лиц,498,502,4,25,1029,2025-07-03
BELU,Открытые позиции,46001,10863,458,35596,92918,2025-07-03
BELU,Изменение,1818,410,458,1866,4552,2025-07-03
BELU,Количество лиц,225,68,2,17,312,2025-07-03
MTLR,Открытые позиции,6977,14384,7771,364,29496,2025-07-03
MTLR,Изменение,-104,489,675,82,1142,2025-07-03
MTLR,Количество лиц,327,333,2,9,671,2025-07-03
POSI,Открытые позиции,64456,37820,1405,28041,131722,2025-07-03
POSI,Изменение,-8605,1956,-278,-10839,-17766,2025-07-03
POSI,Количество лиц,523,297,4,18,842,2025-07-03
ASTR,Открытые позиции,47746,11982,0,35764,95492,2025-07-03
ASTR,Изменение,1015,1089,0,-74,2030,2025-07-03
ASTR,Количество лиц,263,101,0,19,383,2025-07-03
SOFL,Открытые позиции,16807,4281,0,12526,33614,2025-07-03
SOFL,Изменение,653,-150,0,803,1306,2025-07-03
SOFL,Количество лиц,114,32,0,11,157,2025-07-03
ALRS,Открытые позиции,16485,5316,38120,49289,109210,2025-07-03
ALRS,Изменение,-563,800,461,-902,-204,2025-07-03
ALRS,Количество лиц,391,178,6,14,589,2025-07-03
NLMK,Открытые позиции,25681,2062,2958,26577,57278,2025-07-03
NLMK,Изменение,-267,-345,61,139,-412,2025-07-03
NLMK,Количество лиц,475,129,6,31,641,2025-07-03
AFLT,Открытые позиции,17434,12658,1964,6740,38796,2025-07-03
AFLT,Изменение,194,-560,-773,-19,-1158,2025-07-03
AFLT,Количество лиц,452,195,7,9,663,2025-07-03
BANE,Открытые позиции,3132,1800,112,1444,6488,2025-07-03
BANE,Изменение,-12,3,67,52,110,2025-07-03
BANE,Количество лиц,121,59,3,4,187,2025-07-03
RUAL,Открытые позиции,23295,2625,1049,21719,48688,2025-07-03
RUAL,Изменение,668,-224,-257,635,822,2025-07-03
RUAL,Количество лиц,437,80,4,22,543,2025-07-03
LEAS,Открытые позиции,26523,2609,94,24008,53234,2025-07-03
LEAS,Изменение,-918,-514,55,-349,-1726,2025-07-03
LEAS,Количество лиц,169,53,1,17,240,2025-07-03
AFKS,Открытые позиции,4169,4581,1627,1215,11592,2025-07-03
AFKS,Изменение,-318,54,36,-336,-564,2025-07-03
AFKS,Количество лиц,270,148,5,14,437,2025-07-03
RTKM,Открытые позиции,9984,4461,3821,9344,27610,2025-07-03
RTKM,Изменение,33,141,-57,-165,-48,2025-07-03
RTKM,Количество лиц,324,92,1,11,428,2025-07-03
SFIN,Открытые позиции,14735,741,13,14007,29496,2025-07-03
SFIN,Изменение,2319,48,13,2284,4664,2025-07-03
SFIN,Количество лиц,154,26,1,18,199,2025-07-03
MOEX,Открытые позиции,8314,5952,26275,28637,69178,2025-07-03
