Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,478494,193148,65447,350793,1087882,2025-03-06
IMOEXF,Изменение,6223,-8929,-4840,10312,2766,2025-03-06
IMOEXF,Количество лиц,6477,2205,31,23,8736,2025-03-06
SBER,Открытые позиции,165718,70917,184663,279464,700762,2025-03-06
SBER,Изменение,-7615,-997,-3942,-10560,-23114,2025-03-06
SBER,Количество лиц,5011,2073,63,79,7226,2025-03-06
GAZP,Открытые позиции,221376,60428,196451,357399,835654,2025-03-06
GAZP,Изменение,-8782,-1048,15902,8168,14240,2025-03-06
GAZP,Количество лиц,3151,1732,49,75,5007,2025-03-06
SMLT,Открытые позиции,262219,158789,5077,108507,534592,2025-03-06
SMLT,Изменение,-2304,924,-603,-3831,-5814,2025-03-06
SMLT,Количество лиц,1037,581,9,14,1641,2025-03-06
GMKN,Открытые позиции,348129,95894,174079,426314,1044416,2025-03-06
GMKN,Изменение,128,-942,40727,41797,81710,2025-03-06
GMKN,Количество лиц,1475,685,16,42,2218,2025-03-06
YDEX,Открытые позиции,147882,31230,30566,147218,356896,2025-03-06
YDEX,Изменение,-1482,1037,2149,-370,1334,2025-03-06
YDEX,Количество лиц,1476,337,10,44,1867,2025-03-06
ABIO,Открытые позиции,14576,5138,138,9576,29428,2025-03-06
ABIO,Изменение,182,401,68,-151,500,2025-03-06
ABIO,Количество лиц,90,41,1,7,139,2025-03-06
VTBR,Открытые позиции,226001,20298,27402,233105,506806,2025-03-06
VTBR,Изменение,-6077,-457,-14358,-19978,-40870,2025-03-06
VTBR,Количество лиц,3039,669,11,49,3768,2025-03-06
SGZH,Открытые позиции,101062,116383,19274,3953,240672,2025-03-06
SGZH,Изменение,6798,-1525,-7135,1188,-674,2025-03-06
SGZH,Количество лиц,839,596,10,9,1454,2025-03-06
TRNFP,Открытые позиции,169832,28657,5443,146618,350550,2025-03-06
TRNFP,Изменение,12045,811,-140,11094,23810,2025-03-06
TRNFP,Количество лиц,888,220,5,21,1134,2025-03-06
WUSH,Открытые позиции,83280,23154,391,60517,167342,2025-03-06
WUSH,Изменение,7179,1056,-55,6068,14248,2025-03-06
WUSH,Количество лиц,737,234,2,28,1001,2025-03-06
VKCO,Открытые позиции,78793,17675,3940,65058,165466,2025-03-06
VKCO,Изменение,-1274,906,-22,-2202,-2592,2025-03-06
VKCO,Количество лиц,975,274,5,27,1281,2025-03-06
BABA,Открытые позиции,22317,9561,210,12966,45054,2025-03-06
BABA,Изменение,-1224,2455,0,-3679,-2448,2025-03-06
BABA,Количество лиц,418,288,1,4,711,2025-03-06
BIDU,Открытые позиции,36889,3486,0,33403,73778,2025-03-06
BIDU,Изменение,-3196,-77,0,-3119,-6392,2025-03-06
BIDU,Количество лиц,374,53,0,3,430,2025-03-06
SIBN,Открытые позиции,39454,4760,97,34791,79102,2025-03-06
SIBN,Изменение,522,468,83,137,1210,2025-03-06
SIBN,Количество лиц,812,126,2,22,962,2025-03-06
RNFT,Открытые позиции,39196,22470,69,16795,78530,2025-03-06
RNFT,Изменение,468,474,69,63,1074,2025-03-06
RNFT,Количество лиц,313,222,2,18,555,2025-03-06
MVID,Открытые позиции,21920,21415,772,1277,45384,2025-03-06
MVID,Изменение,-192,-1561,-818,551,-2020,2025-03-06
MVID,Количество лиц,176,162,2,6,346,2025-03-06
PIKK,Открытые позиции,12933,37069,24264,128,74394,2025-03-06
PIKK,Изменение,-2261,-324,586,-1351,-3350,2025-03-06
PIKK,Количество лиц,334,487,9,2,832,2025-03-06
BELU,Открытые позиции,29132,10744,0,18388,58264,2025-03-06
BELU,Изменение,183,-155,0,338,366,2025-03-06
BELU,Количество лиц,208,63,0,7,278,2025-03-06
MTLR,Открытые позиции,10660,22216,13717,2161,48754,2025-03-06
MTLR,Изменение,-8,-983,-1020,-45,-2056,2025-03-06
MTLR,Количество лиц,535,436,12,3,986,2025-03-06
POSI,Открытые позиции,99365,81385,3945,21925,206620,2025-03-06
POSI,Изменение,-191,900,36,-1055,-310,2025-03-06
POSI,Количество лиц,1210,271,4,17,1502,2025-03-06
ASTR,Открытые позиции,85556,12830,0,72726,171112,2025-03-06
ASTR,Изменение,-14727,-1376,0,-13351,-29454,2025-03-06
ASTR,Количество лиц,580,117,0,14,711,2025-03-06
SOFL,Открытые позиции,32504,6813,200,25891,65408,2025-03-06
SOFL,Изменение,40,-159,-11,188,58,2025-03-06
SOFL,Количество лиц,238,69,1,12,320,2025-03-06
ALRS,Открытые позиции,21834,13313,80824,89345,205316,2025-03-06
ALRS,Изменение,-177,-122,-160,-215,-674,2025-03-06
ALRS,Количество лиц,580,272,6,24,882,2025-03-06
NLMK,Открытые позиции,32776,4703,2348,30421,70248,2025-03-06
NLMK,Изменение,-67,-478,202,613,270,2025-03-06
NLMK,Количество лиц,512,245,5,30,792,2025-03-06
AFLT,Открытые позиции,34465,18657,1418,17226,71766,2025-03-06
AFLT,Изменение,-1011,-389,417,-205,-1188,2025-03-06
AFLT,Количество лиц,818,410,7,20,1255,2025-03-06
BANE,Открытые позиции,5712,10519,5314,507,22052,2025-03-06
BANE,Изменение,-120,-670,-562,-12,-1364,2025-03-06
BANE,Количество лиц,152,119,8,3,282,2025-03-06
RUAL,Открытые позиции,37856,6403,2335,33788,80382,2025-03-06
RUAL,Изменение,1795,344,467,1918,4524,2025-03-06
RUAL,Количество лиц,619,184,4,21,828,2025-03-06
LEAS,Открытые позиции,30730,11973,2585,21342,66630,2025-03-06
LEAS,Изменение,-2810,-960,2585,735,-450,2025-03-06
LEAS,Количество лиц,223,108,1,12,344,2025-03-06
AFKS,Открытые позиции,9328,9373,2298,2253,23252,2025-03-06
AFKS,Изменение,-38,591,245,-384,414,2025-03-06
AFKS,Количество лиц,378,295,10,9,692,2025-03-06
RTKM,Открытые позиции,11646,4387,48159,55418,119610,2025-03-06
RTKM,Изменение,-656,-479,-135,-312,-1582,2025-03-06
RTKM,Количество лиц,326,134,3,20,483,2025-03-06
SFIN,Открытые позиции,21650,4796,21,16875,43342,2025-03-06
SFIN,Изменение,-1620,-287,21,-1312,-3198,2025-03-06
SFIN,Количество лиц,241,64,1,13,319,2025-03-06
MOEX,Открытые позиции,18784,4290,340,14834,38248,2025-03-06
MOEX,Изменение,219,101,139,257,716,2025-03-06
MOEX,Количество лиц,931,191,3,30,1155,2025-03-06
SBERP,Открытые позиции,5833,2041,1525,5317,14716,2025-03-06
SBERP,Изменение,-137,-79,250,192,226,2025-03-06
SBERP,Количество лиц,371,119,4,23,517,2025-03-06
ROSN,Открытые позиции,6707,2282,9219,13644,31852,2025-03-06
ROSN,Изменение,283,69,-287,-73,-8,2025-03-06
ROSN,Количество лиц,700,289,12,30,1031,2025-03-06
T,Открытые позиции,19245,2672,434,17007,39358,2025-03-06
T,Изменение,117,-236,0,353,234,2025-03-06
T,Количество лиц,744,160,2,20,926,2025-03-06
FESH,Открытые позиции,6915,4252,0,2663,13830,2025-03-06
FESH,Изменение,491,-183,0,674,982,2025-03-06
FESH,Количество лиц,148,107,0,14,269,2025-03-06
PHOR,Открытые позиции,44369,4971,919,40317,90576,2025-03-06
PHOR,Изменение,-74,587,157,-504,166,2025-03-06
PHOR,Количество лиц,297,164,2,27,490,2025-03-06
SVCB,Открытые позиции,93879,10923,45,83001,187848,2025-03-06
SVCB,Изменение,6064,2381,-15,3668,12098,2025-03-06
SVCB,Количество лиц,614,141,1,19,775,2025-03-06
CBOM,Открытые позиции,736,5468,6160,1428,13792,2025-03-06
CBOM,Изменение,62,-369,-196,235,-268,2025-03-06
CBOM,Количество лиц,67,168,1,13,249,2025-03-06
LKOH,Открытые позиции,6463,3519,2481,5425,17888,2025-03-06
LKOH,Изменение,-69,277,-124,-470,-386,2025-03-06
LKOH,Количество лиц,717,317,16,15,1065,2025-03-06
KMAZ,Открытые позиции,12046,2119,0,9927,24092,2025-03-06
KMAZ,Изменение,1070,162,0,908,2140,2025-03-06
KMAZ,Количество лиц,215,52,0,16,283,2025-03-06
SNGS,Открытые позиции,12062,2130,506,10438,25136,2025-03-06
SNGS,Изменение,-746,99,210,-635,-1072,2025-03-06
SNGS,Количество лиц,382,105,7,31,525,2025-03-06
HYDR,Открытые позиции,9886,1401,259,8744,20290,2025-03-06
HYDR,Изменение,-76,-391,-45,270,-242,2025-03-06
HYDR,Количество лиц,234,85,2,14,335,2025-03-06
NVTK,Открытые позиции,4335,2725,1936,3546,12542,2025-03-06
NVTK,Изменение,-216,169,156,-229,-120,2025-03-06
NVTK,Количество лиц,630,248,10,14,902,2025-03-06
FEES,Открытые позиции,4233,879,901,4255,10268,2025-03-06
FEES,Изменение,133,-14,-25,122,216,2025-03-06
FEES,Количество лиц,208,54,3,10,275,2025-03-06
MAGN,Открытые позиции,2536,1821,478,1193,6028,2025-03-06
MAGN,Изменение,-308,238,137,-409,-342,2025-03-06
MAGN,Количество лиц,348,89,4,8,449,2025-03-06
BSPB,Открытые позиции,20900,7299,0,13601,41800,2025-03-06
BSPB,Изменение,829,237,0,592,1658,2025-03-06
BSPB,Количество лиц,348,158,0,16,522,2025-03-06
TATN,Открытые позиции,876,2462,2493,907,6738,2025-03-06
TATN,Изменение,-109,-4,129,24,40,2025-03-06
TATN,Количество лиц,151,125,6,17,299,2025-03-06
FLOT,Открытые позиции,8554,3975,610,5189,18328,2025-03-06
FLOT,Изменение,1232,-96,-120,1208,2224,2025-03-06
FLOT,Количество лиц,347,130,3,18,498,2025-03-06
MTSS,Открытые позиции,2779,4191,1661,249,8880,2025-03-06
MTSS,Изменение,117,704,47,-540,328,2025-03-06
MTSS,Количество лиц,221,192,5,6,424,2025-03-06
