Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,416078,205944,32777,242911,897710,2025-02-14
IMOEXF,Изменение,8718,-34687,-1434,41971,14568,2025-02-14
IMOEXF,Количество лиц,5025,2691,20,22,7758,2025-02-14
SBRF,Открытые позиции,158635,73655,231698,316678,780666,2025-02-14
SBRF,Изменение,-32110,-14121,39568,21579,14916,2025-02-14
SBRF,Количество лиц,4224,2059,71,39,6393,2025-02-14
GAZR,Открытые позиции,132170,96473,196759,232456,657858,2025-02-14
GAZR,Изменение,-10055,15688,-1011,-26754,-22132,2025-02-14
GAZR,Количество лиц,2858,2165,38,91,5152,2025-02-14
SMLT,Открытые позиции,268152,157497,3259,113914,542822,2025-02-14
SMLT,Изменение,1078,-16816,-169,17725,1818,2025-02-14
SMLT,Количество лиц,1018,711,1,42,1772,2025-02-14
GMKN,Открытые позиции,347174,67362,67975,347787,830298,2025-02-14
GMKN,Изменение,-13381,-12032,-21700,-23049,-70162,2025-02-14
GMKN,Количество лиц,1078,516,10,47,1651,2025-02-14
YDEX,Открытые позиции,196476,32066,15769,180179,424490,2025-02-14
YDEX,Изменение,-2957,-6182,394,3619,-5126,2025-02-14
YDEX,Количество лиц,1288,388,7,41,1724,2025-02-14
MGNT,Открытые позиции,53873,70477,158850,142246,425446,2025-02-14
MGNT,Изменение,-11925,-4237,-2633,-10321,-29116,2025-02-14
MGNT,Количество лиц,1063,421,8,42,1534,2025-02-14
ISKJ,Открытые позиции,14045,5377,0,8668,28090,2025-02-14
ISKJ,Изменение,-6184,193,0,-6377,-12368,2025-02-14
ISKJ,Количество лиц,77,33,0,10,120,2025-02-14
VTBR,Открытые позиции,111453,16797,72884,167540,368674,2025-02-14
VTBR,Изменение,2594,-2892,-5347,139,-5506,2025-02-14
VTBR,Количество лиц,1466,584,12,33,2095,2025-02-14
SGZH,Открытые позиции,138991,87416,0,51575,277982,2025-02-14
SGZH,Изменение,2522,-16814,0,19336,5044,2025-02-14
SGZH,Количество лиц,729,352,0,26,1107,2025-02-14
TRNF,Открытые позиции,103101,19935,2780,85946,211762,2025-02-14
TRNF,Изменение,-1452,-4380,-461,2467,-3826,2025-02-14
TRNF,Количество лиц,733,200,4,23,960,2025-02-14
WUSH,Открытые позиции,48352,19636,1258,29974,99220,2025-02-14
WUSH,Изменение,-3003,-509,100,-2394,-5806,2025-02-14
WUSH,Количество лиц,425,160,3,16,604,2025-02-14
VKCO,Открытые позиции,88171,16034,3657,75794,183656,2025-02-14
VKCO,Изменение,10371,-2761,-1277,11855,18188,2025-02-14
VKCO,Количество лиц,931,302,4,24,1261,2025-02-14
ALIBABA,Открытые позиции,5725,5176,500,1049,12450,2025-02-14
ALIBABA,Изменение,-230,-611,-667,-286,-1794,2025-02-14
ALIBABA,Количество лиц,344,221,1,3,569,2025-02-14
BAIDU,Открытые позиции,16471,1303,0,15168,32942,2025-02-14
BAIDU,Изменение,-860,-43,0,-817,-1720,2025-02-14
BAIDU,Количество лиц,225,48,0,3,276,2025-02-14
SIBN,Открытые позиции,19032,5121,1,13912,38066,2025-02-14
SIBN,Изменение,1088,415,0,673,2176,2025-02-14
SIBN,Количество лиц,445,142,1,23,611,2025-02-14
SBERF,Открытые позиции,25993,10989,404,15408,52794,2025-02-14
SBERF,Изменение,-1302,-5369,-427,3640,-3458,2025-02-14
SBERF,Количество лиц,930,333,5,19,1287,2025-02-14
RNFT,Открытые позиции,40378,40723,5135,4790,91026,2025-02-14
RNFT,Изменение,14969,-8165,-20962,2172,-11986,2025-02-14
RNFT,Количество лиц,293,339,4,5,641,2025-02-14
GAZPF,Открытые позиции,38696,16050,5817,28463,89026,2025-02-14
GAZPF,Изменение,-968,-12011,-4839,6204,-11614,2025-02-14
GAZPF,Количество лиц,702,382,9,9,1102,2025-02-14
MVID,Открытые позиции,22328,26574,4250,4,53156,2025-02-14
MVID,Изменение,-2542,126,2624,-44,164,2025-02-14
MVID,Количество лиц,167,193,3,1,364,2025-02-14
PIKK,Открытые позиции,7533,79629,75453,3357,165972,2025-02-14
PIKK,Изменение,-1400,-6243,-3653,1190,-10106,2025-02-14
PIKK,Количество лиц,290,997,8,15,1310,2025-02-14
BELUGA,Открытые позиции,39980,10344,0,29636,79960,2025-02-14
BELUGA,Изменение,1551,-5206,0,6757,3102,2025-02-14
BELUGA,Количество лиц,205,61,0,7,273,2025-02-14
MTLR,Открытые позиции,8270,20908,15473,2835,47486,2025-02-14
MTLR,Изменение,-872,-1404,-589,-57,-2922,2025-02-14
MTLR,Количество лиц,458,437,5,11,911,2025-02-14
POSI,Открытые позиции,120139,93486,5404,32057,251086,2025-02-14
POSI,Изменение,-19168,19187,2106,-36249,-34124,2025-02-14
POSI,Количество лиц,1387,477,6,17,1887,2025-02-14
ASTR,Открытые позиции,61465,16744,0,44721,122930,2025-02-14
ASTR,Изменение,-1285,-7006,-179,5542,-2928,2025-02-14
ASTR,Количество лиц,470,88,0,12,570,2025-02-14
SOFL,Открытые позиции,19078,2829,154,16403,38464,2025-02-14
SOFL,Изменение,-1781,121,154,-1748,-3254,2025-02-14
SOFL,Количество лиц,195,51,1,8,255,2025-02-14
ALRS,Открытые позиции,22774,7686,79472,94560,204492,2025-02-14
ALRS,Изменение,-6036,-619,307,-5110,-11458,2025-02-14
ALRS,Количество лиц,595,236,6,32,869,2025-02-14
NLMK,Открытые позиции,32055,4042,2123,30136,68356,2025-02-14
NLMK,Изменение,-3537,-460,108,-2969,-6858,2025-02-14
NLMK,Количество лиц,497,229,6,11,743,2025-02-14
AFLT,Открытые позиции,21282,15903,2086,7465,46736,2025-02-14
AFLT,Изменение,-2716,-5248,-131,2401,-5694,2025-02-14
AFLT,Количество лиц,573,358,6,21,958,2025-02-14
BANE,Открытые позиции,5107,14104,9478,481,29170,2025-02-14
BANE,Изменение,-159,-877,-668,50,-1654,2025-02-14
BANE,Количество лиц,147,134,4,4,289,2025-02-14
RUAL,Открытые позиции,12200,5030,114,7284,24628,2025-02-14
RUAL,Изменение,1303,-1425,-393,2335,1820,2025-02-14
RUAL,Количество лиц,289,135,3,18,445,2025-02-14
LEAS,Открытые позиции,30186,11028,891,20049,62154,2025-02-14
LEAS,Изменение,-6586,616,751,-6451,-11670,2025-02-14
LEAS,Количество лиц,212,103,2,10,327,2025-02-14
AFKS,Открытые позиции,8553,9880,3248,1921,23602,2025-02-14
AFKS,Изменение,-1359,1052,1538,-873,358,2025-02-14
AFKS,Количество лиц,363,332,4,18,717,2025-02-14
RTKM,Открытые позиции,7666,5756,48458,50368,112248,2025-02-14
RTKM,Изменение,-1151,859,129,-1881,-2044,2025-02-14
RTKM,Количество лиц,305,138,4,17,464,2025-02-14
SFIN,Открытые позиции,13832,4920,136,9048,27936,2025-02-14
SFIN,Изменение,-7060,-654,135,-6271,-13850,2025-02-14
SFIN,Количество лиц,199,60,1,10,270,2025-02-14
MOEX,Открытые позиции,11331,4363,492,7460,23646,2025-02-14
MOEX,Изменение,-5539,-1853,94,-3592,-10890,2025-02-14
MOEX,Количество лиц,519,260,8,19,806,2025-02-14
SBPR,Открытые позиции,5304,1985,57,3376,10722,2025-02-14
SBPR,Изменение,-18,-551,18,551,0,2025-02-14
SBPR,Количество лиц,329,137,3,17,486,2025-02-14
ROSN,Открытые позиции,6108,2990,9958,13076,32132,2025-02-14
ROSN,Изменение,-1219,-165,265,-789,-1908,2025-02-14
ROSN,Количество лиц,623,340,10,39,1012,2025-02-14
TCSI,Открытые позиции,18956,4440,430,14946,38772,2025-02-14
TCSI,Изменение,492,-1221,13,1726,1010,2025-02-14
TCSI,Количество лиц,694,237,4,26,961,2025-02-14
FESH,Открытые позиции,8463,6519,0,1944,16926,2025-02-14
FESH,Изменение,248,-585,-232,601,32,2025-02-14
FESH,Количество лиц,162,97,0,9,268,2025-02-14
PHOR,Открытые позиции,44096,7047,857,37906,89906,2025-02-14
PHOR,Изменение,1164,-3448,217,4829,2762,2025-02-14
PHOR,Количество лиц,285,240,4,18,547,2025-02-14
SVCB,Открытые позиции,46290,9668,740,37362,94060,2025-02-14
SVCB,Изменение,5988,-4410,-777,9621,10422,2025-02-14
SVCB,Количество лиц,290,102,2,16,410,2025-02-14
CBOM,Открытые позиции,984,6555,6585,1014,15138,2025-02-14
CBOM,Изменение,-354,-1515,-829,332,-2366,2025-02-14
CBOM,Количество лиц,55,155,2,7,219,2025-02-14
LKOH,Открытые позиции,5207,3894,4633,5946,19680,2025-02-14
LKOH,Изменение,-670,30,-355,-1055,-2050,2025-02-14
LKOH,Количество лиц,650,349,18,25,1042,2025-02-14
KMAZ,Открытые позиции,8549,2550,121,6120,17340,2025-02-14
KMAZ,Изменение,-1715,-3634,121,2040,-3188,2025-02-14
KMAZ,Количество лиц,127,61,1,10,199,2025-02-14
SNGR,Открытые позиции,11248,2046,2133,11335,26762,2025-02-14
SNGR,Изменение,-487,-796,46,355,-882,2025-02-14
SNGR,Количество лиц,373,127,7,33,540,2025-02-14
HYDR,Открытые позиции,9939,3967,96,6068,20070,2025-02-14
HYDR,Изменение,-608,-5459,-466,4385,-2148,2025-02-14
HYDR,Количество лиц,222,126,1,16,365,2025-02-14
NOTK,Открытые позиции,4043,3080,1042,2005,10170,2025-02-14
NOTK,Изменение,-60,-1007,-276,671,-672,2025-02-14
NOTK,Количество лиц,430,297,5,21,753,2025-02-14
T,Открытые позиции,22966,12509,1385,11842,48702,2025-02-14
T,Изменение,4342,249,891,4984,10466,2025-02-14
T,Количество лиц,293,76,1,7,377,2025-02-14
FEES,Открытые позиции,4103,715,444,3832,9094,2025-02-14
FEES,Изменение,-2938,-23,-1,-2916,-5878,2025-02-14
FEES,Количество лиц,201,68,3,5,277,2025-02-14
MAGN,Открытые позиции,2120,1775,1348,1693,6936,2025-02-14
MAGN,Изменение,-541,-148,83,-310,-916,2025-02-14
MAGN,Количество лиц,272,99,7,8,386,2025-02-14
BSPB,Открытые позиции,12568,6637,142,6073,25420,2025-02-14
BSPB,Изменение,1027,-883,-247,1663,1560,2025-02-14
BSPB,Количество лиц,290,168,2,11,471,2025-02-14
TATN,Открытые позиции,937,2339,1666,264,5206,2025-02-14
TATN,Изменение,42,-457,-429,70,-774,2025-02-14
TATN,Количество лиц,164,128,7,9,308,2025-02-14
FLOT,Открытые позиции,6402,2762,1038,4678,14880,2025-02-14
FLOT,Изменение,459,-1374,-112,1721,694,2025-02-14
FLOT,Количество лиц,267,125,5,12,409,2025-02-14
MTSI,Открытые позиции,3200,4392,1701,509,9802,2025-02-14
MTSI,Изменение,-415,-472,-19,38,-868,2025-02-14
MTSI,Количество лиц,236,232,5,10,483,2025-02-14
TATP,Открытые позиции,1655,1134,675,1196,4660,2025-02-14
TATP,Изменение,-793,-168,411,-214,-764,2025-02-14
TATP,Количество лиц,106,56,4,5,171,2025-02-14
CHMF,Открытые позиции,519,1587,1075,7,3188,2025-02-14
CHMF,Изменение,-133,-135,-14,-12,-294,2025-02-14
CHMF,Количество лиц,158,108,11,4,281,2025-02-14
RASP,Открытые позиции,4055,4499,1325,881,10760,2025-02-14
RASP,Изменение,-32,-156,502,626,940,2025-02-14
RASP,Количество лиц,110,85,3,3,201,2025-02-14
IRAO,Открытые позиции,2463,683,811,2591,6548,2025-02-14
IRAO,Изменение,-345,35,17,-363,-656,2025-02-14
IRAO,Количество лиц,244,52,5,14,315,2025-02-14
SNGP,Открытые позиции,2622,1684,145,1083,5534,2025-02-14
SNGP,Изменение,431,-98,8,537,878,2025-02-14
SNGP,Количество лиц,309,85,8,13,415,2025-02-14
PLZL,Открытые позиции,626,2274,2992,1344,7236,2025-02-14
PLZL,Изменение,-258,-600,-10,332,-536,2025-02-14
PLZL,Количество лиц,171,348,9,17,545,2025-02-14
SPBE,Открытые позиции,2956,1843,201,1314,6314,2025-02-14
SPBE,Изменение,841,164,181,858,2044,2025-02-14
SPBE,Количество лиц,91,24,1,5,121,2025-02-14
