Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
ABIO,Открытые позиции,14394,4737,70,9727,28928,2025-03-05
ABIO,Изменение,12,48,-5,-41,14,2025-03-05
ABIO,Количество лиц,89,36,1,7,133,2025-03-05
VTBR,Открытые позиции,232078,20755,41760,253083,547676,2025-03-05
VTBR,Изменение,-7854,-1361,-902,-7395,-17512,2025-03-05
VTBR,Количество лиц,2924,734,9,50,3717,2025-03-05
SGZH,Открытые позиции,94264,117908,26409,2765,241346,2025-03-05
SGZH,Изменение,-15075,4055,15877,-3253,1604,2025-03-05
SGZH,Количество лиц,809,604,17,5,1435,2025-03-05
TRNFP,Открытые позиции,157787,27846,5583,135524,326740,2025-03-05
TRNFP,Изменение,8468,-1084,-373,9179,16190,2025-03-05
TRNFP,Количество лиц,816,238,4,21,1079,2025-03-05
WUSH,Открытые позиции,76101,22098,446,54449,153094,2025-03-05
WUSH,Изменение,4019,-1214,-42,5191,7954,2025-03-05
WUSH,Количество лиц,706,200,2,26,934,2025-03-05
VKCO,Открытые позиции,80067,16769,3962,67260,168058,2025-03-05
VKCO,Изменение,5356,1945,-385,3026,9942,2025-03-05
VKCO,Количество лиц,953,280,5,28,1266,2025-03-05
BABA,Открытые позиции,23541,7106,210,16645,47502,2025-03-05
BABA,Изменение,712,-107,0,819,1424,2025-03-05
BABA,Количество лиц,436,278,1,4,719,2025-03-05
BIDU,Открытые позиции,40085,3563,0,36522,80170,2025-03-05
BIDU,Изменение,718,1054,0,-336,1436,2025-03-05
BIDU,Количество лиц,391,66,0,4,461,2025-03-05
SIBN,Открытые позиции,38932,4292,14,34654,77892,2025-03-05
SIBN,Изменение,1313,894,14,433,2654,2025-03-05
SIBN,Количество лиц,786,126,1,19,932,2025-03-05
RNFT,Открытые позиции,38728,21996,0,16732,77456,2025-03-05
RNFT,Изменение,-2932,-1594,-14,-1352,-5892,2025-03-05
RNFT,Количество лиц,311,210,0,16,537,2025-03-05
MVID,Открытые позиции,22112,22976,1590,726,47404,2025-03-05
MVID,Изменение,757,597,-46,114,1422,2025-03-05
MVID,Количество лиц,175,161,4,6,346,2025-03-05
PIKK,Открытые позиции,15194,37393,23678,1479,77744,2025-03-05
PIKK,Изменение,-1451,-1815,-1294,-930,-5490,2025-03-05
PIKK,Количество лиц,361,492,5,8,866,2025-03-05
BELU,Открытые позиции,28949,10899,0,18050,57898,2025-03-05
BELU,Изменение,11,-877,-92,796,-162,2025-03-05
BELU,Количество лиц,210,63,0,6,279,2025-03-05
MTLR,Открытые позиции,10668,23199,14737,2206,50810,2025-03-05
MTLR,Изменение,749,49,-901,-201,-304,2025-03-05
MTLR,Количество лиц,527,458,10,6,1001,2025-03-05
