Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,490370,219131,64258,335497,1109256,2025-02-26
IMOEXF,Изменение,3182,4125,2069,1126,10502,2025-02-26
IMOEXF,Количество лиц,5968,2619,25,20,8632,2025-02-26
SBER,Открытые позиции,166889,67453,232801,332237,799380,2025-02-26
SBER,Изменение,8947,-2440,-9720,1667,-1546,2025-02-26
SBER,Количество лиц,5225,1931,76,42,7274,2025-02-26
GAZP,Открытые позиции,215423,78173,206472,343722,843790,2025-02-26
GAZP,Изменение,-3033,-2361,-173,-845,-6412,2025-02-26
GAZP,Количество лиц,3038,1948,46,70,5102,2025-02-26
SMLT,Открытые позиции,318520,164152,270,154638,637580,2025-02-26
SMLT,Изменение,33330,6568,270,27032,67200,2025-02-26
SMLT,Количество лиц,1108,703,1,44,1856,2025-02-26
GMKN,Открытые позиции,326644,97731,102810,331723,858908,2025-02-26
GMKN,Изменение,20473,4704,6536,22305,54018,2025-02-26
GMKN,Количество лиц,1560,563,14,50,2187,2025-02-26
YDEX,Открытые позиции,163947,34866,17103,146184,362100,2025-02-26
YDEX,Изменение,2971,4765,2969,1175,11880,2025-02-26
YDEX,Количество лиц,1547,354,7,36,1944,2025-02-26
MGNT,Открытые позиции,63057,65230,145490,143317,417094,2025-02-26
MGNT,Изменение,3921,-686,-7886,-3279,-7930,2025-02-26
MGNT,Количество лиц,1068,368,6,41,1483,2025-02-26
ABIO,Открытые позиции,14078,5199,0,8879,28156,2025-02-26
ABIO,Изменение,-218,176,0,-394,-436,2025-02-26
ABIO,Количество лиц,79,42,0,13,134,2025-02-26
VTBR,Открытые позиции,228186,25881,43469,245774,543310,2025-02-26
VTBR,Изменение,17835,644,-7236,9955,21198,2025-02-26
VTBR,Количество лиц,3087,776,15,47,3925,2025-02-26
SGZH,Открытые позиции,131153,146868,16452,737,295210,2025-02-26
SGZH,Изменение,-16305,8780,16451,-8634,292,2025-02-26
SGZH,Количество лиц,910,803,12,7,1732,2025-02-26
TRNFP,Открытые позиции,149468,27460,2433,124441,303802,2025-02-26
TRNFP,Изменение,18632,117,-684,17831,35896,2025-02-26
TRNFP,Количество лиц,860,219,4,18,1101,2025-02-26
WUSH,Открытые позиции,58544,26502,519,32561,118126,2025-02-26
WUSH,Изменение,3364,-3261,2,6627,6732,2025-02-26
WUSH,Количество лиц,594,224,3,27,848,2025-02-26
VKCO,Открытые позиции,80899,15899,2998,67998,167794,2025-02-26
VKCO,Изменение,4569,-159,132,4860,9402,2025-02-26
VKCO,Количество лиц,1075,309,5,29,1418,2025-02-26
BABA,Открытые позиции,25186,7545,233,17874,50838,2025-02-26
BABA,Изменение,-2727,-543,0,-2184,-5454,2025-02-26
BABA,Количество лиц,509,264,1,5,779,2025-02-26
BIDU,Открытые позиции,37971,3274,0,34697,75942,2025-02-26
BIDU,Изменение,2121,17,0,2104,4242,2025-02-26
BIDU,Количество лиц,456,48,0,4,508,2025-02-26
SIBN,Открытые позиции,32550,6123,13,26440,65126,2025-02-26
SIBN,Изменение,-1113,573,13,-1673,-2200,2025-02-26
SIBN,Количество лиц,862,140,1,21,1024,2025-02-26
RNFT,Открытые позиции,49375,29188,105,20292,98960,2025-02-26
RNFT,Изменение,6879,-2450,45,9374,13848,2025-02-26
RNFT,Количество лиц,369,270,1,24,664,2025-02-26
MVID,Открытые позиции,23187,22867,120,440,46614,2025-02-26
MVID,Изменение,534,-325,-610,249,-152,2025-02-26
MVID,Количество лиц,183,177,1,7,368,2025-02-26
PIKK,Открытые позиции,9942,45989,36400,353,92684,2025-02-26
PIKK,Изменение,-294,-1710,-1229,187,-3046,2025-02-26
PIKK,Количество лиц,359,633,5,8,1005,2025-02-26
BELU,Открытые позиции,37538,11428,0,26110,75076,2025-02-26
BELU,Изменение,224,-179,0,403,448,2025-02-26
BELU,Количество лиц,223,64,0,10,297,2025-02-26
MTLR,Открытые позиции,13514,23012,11593,2095,50214,2025-02-26
