Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,487384,204700,66038,348722,1106844,2025-02-28
IMOEXF,Изменение,-13812,562,9201,-5173,-9222,2025-02-28
IMOEXF,Количество лиц,6277,2379,27,29,8712,2025-02-28
SBER,Открытые позиции,155060,73115,247168,329113,804456,2025-02-28
SBER,Изменение,9344,-9530,-22292,-3418,-25896,2025-02-28
SBER,Количество лиц,4665,2426,66,54,7211,2025-02-28
GAZP,Открытые позиции,232224,74108,176516,334632,817480,2025-02-28
GAZP,Изменение,19624,-1443,-12634,8433,13980,2025-02-28
GAZP,Количество лиц,2945,2070,47,59,5121,2025-02-28
SMLT,Открытые позиции,278531,163640,525,115416,558112,2025-02-28
SMLT,Изменение,-28477,-10433,525,-17519,-55904,2025-02-28
SMLT,Количество лиц,1077,664,3,22,1766,2025-02-28
GMKN,Открытые позиции,366846,96942,107463,377367,948618,2025-02-28
GMKN,Изменение,-11518,7493,2097,-16914,-18842,2025-02-28
GMKN,Количество лиц,1459,693,13,46,2211,2025-02-28
YDEX,Открытые позиции,154021,28287,19693,145427,347428,2025-02-28
YDEX,Изменение,-3728,-1565,1656,-507,-4144,2025-02-28
YDEX,Количество лиц,1502,340,9,45,1896,2025-02-28
MGNT,Открытые позиции,56578,65641,145870,136807,404896,2025-02-28
MGNT,Изменение,1668,-692,565,2925,4466,2025-02-28
MGNT,Количество лиц,983,388,8,34,1413,2025-02-28
ABIO,Открытые позиции,14421,3752,23,10692,28888,2025-02-28
ABIO,Изменение,1155,68,-63,1024,2184,2025-02-28
ABIO,Количество лиц,85,38,1,10,134,2025-02-28
VTBR,Открытые позиции,232314,23167,50795,259942,566218,2025-02-28
VTBR,Изменение,14024,365,8016,21675,44080,2025-02-28
VTBR,Количество лиц,2885,963,11,58,3917,2025-02-28
SGZH,Открытые позиции,108548,117420,10493,1621,238082,2025-02-28
SGZH,Изменение,527,-26879,-26250,1156,-51446,2025-02-28
SGZH,Количество лиц,863,677,15,8,1563,2025-02-28
TRNFP,Открытые позиции,143390,29694,3813,117509,294406,2025-02-28
TRNFP,Изменение,3834,-2582,563,6979,8794,2025-02-28
TRNFP,Количество лиц,770,239,4,17,1030,2025-02-28
WUSH,Открытые позиции,65068,21464,446,44050,131028,2025-02-28
WUSH,Изменение,5455,-410,97,5962,11104,2025-02-28
WUSH,Количество лиц,588,194,2,31,815,2025-02-28
VKCO,Открытые позиции,74584,13944,3810,64450,156788,2025-02-28
VKCO,Изменение,1459,-410,-166,1703,2586,2025-02-28
VKCO,Количество лиц,962,301,4,29,1296,2025-02-28
BABA,Открытые позиции,20495,8580,210,12125,41410,2025-02-28
BABA,Изменение,460,-2954,-23,3391,874,2025-02-28
BABA,Количество лиц,462,308,1,4,775,2025-02-28
BIDU,Открытые позиции,39954,3288,0,36666,79908,2025-02-28
BIDU,Изменение,2491,253,0,2238,4982,2025-02-28
BIDU,Количество лиц,427,52,0,4,483,2025-02-28
SIBN,Открытые позиции,37017,4994,13,32036,74060,2025-02-28
SIBN,Изменение,470,-1399,13,1882,966,2025-02-28
SIBN,Количество лиц,790,137,1,20,948,2025-02-28
RNFT,Открытые позиции,47172,26774,338,20736,95020,2025-02-28
RNFT,Изменение,418,160,235,493,1306,2025-02-28
RNFT,Количество лиц,319,247,2,20,588,2025-02-28
MVID,Открытые позиции,21365,21973,1079,471,44888,2025-02-28
MVID,Изменение,-2661,-2271,86,-304,-5150,2025-02-28
MVID,Количество лиц,185,183,4,3,375,2025-02-28
PIKK,Открытые позиции,14998,43354,28426,70,86848,2025-02-28
PIKK,Изменение,3975,-1789,-6002,-238,-4054,2025-02-28
PIKK,Количество лиц,356,599,5,2,962,2025-02-28
BELU,Открытые позиции,36143,11780,0,24363,72286,2025-02-28
BELU,Изменение,820,358,0,462,1640,2025-02-28
BELU,Количество лиц,213,63,0,7,283,2025-02-28
MTLR,Открытые позиции,11904,24303,14672,2273,53152,2025-02-28
MTLR,Изменение,-1901,491,2364,-28,926,2025-02-28
MTLR,Количество лиц,516,505,14,9,1044,2025-02-28
POSI,Открытые позиции,105458,84417,5800,26841,222516,2025-02-28
POSI,Изменение,5040,-623,-2468,3195,5144,2025-02-28
POSI,Количество лиц,1251,294,4,13,1562,2025-02-28
ASTR,Открытые позиции,98299,15966,108,82441,196814,2025-02-28
ASTR,Изменение,7696,152,-62,7482,15268,2025-02-28
ASTR,Количество лиц,549,107,1,17,674,2025-02-28
SOFL,Открытые позиции,31334,7113,234,24455,63136,2025-02-28
SOFL,Изменение,-337,508,104,-741,-466,2025-02-28
SOFL,Количество лиц,248,61,2,14,325,2025-02-28
ALRS,Открытые позиции,22372,9236,80923,94059,206590,2025-02-28
ALRS,Изменение,-142,1278,712,-708,1140,2025-02-28
ALRS,Количество лиц,539,279,7,14,839,2025-02-28
NLMK,Открытые позиции,32951,5105,2137,29983,70176,2025-02-28
NLMK,Изменение,203,-25,34,262,474,2025-02-28
NLMK,Количество лиц,515,276,6,27,824,2025-02-28
AFLT,Открытые позиции,23863,15978,3771,11656,55268,2025-02-28
AFLT,Изменение,-2331,-3790,-550,909,-5762,2025-02-28
AFLT,Количество лиц,654,381,7,24,1066,2025-02-28
BANE,Открытые позиции,5997,11316,6467,1148,24928,2025-02-28
BANE,Изменение,137,-698,-319,516,-364,2025-02-28
BANE,Количество лиц,167,120,9,5,301,2025-02-28
RUAL,Открытые позиции,37780,8597,835,30018,77230,2025-02-28
RUAL,Изменение,4875,79,60,4856,9870,2025-02-28
RUAL,Количество лиц,569,184,4,23,780,2025-02-28
LEAS,Открытые позиции,28828,10470,2020,20378,61696,2025-02-28
LEAS,Изменение,-3812,967,-24,-4803,-7672,2025-02-28
LEAS,Количество лиц,212,93,3,12,320,2025-02-28
AFKS,Открытые позиции,11209,9053,1750,3906,25918,2025-02-28
AFKS,Изменение,-1065,995,279,-1781,-1572,2025-02-28
AFKS,Количество лиц,360,293,7,13,673,2025-02-28
RTKM,Открытые позиции,11585,5140,48350,54795,119870,2025-02-28
RTKM,Изменение,2031,-1073,-3,3101,4056,2025-02-28
RTKM,Количество лиц,319,160,4,23,506,2025-02-28
SFIN,Открытые позиции,23670,6148,71,17593,47482,2025-02-28
SFIN,Изменение,-1530,-242,-339,-1627,-3738,2025-02-28
SFIN,Количество лиц,258,72,2,15,347,2025-02-28
MOEX,Открытые позиции,15316,3384,440,12372,31512,2025-02-28
MOEX,Изменение,1360,-96,54,1510,2828,2025-02-28
MOEX,Количество лиц,791,216,5,35,1047,2025-02-28
SBERP,Открытые позиции,5658,2677,1213,4194,13742,2025-02-28
SBERP,Изменение,331,-184,118,633,898,2025-02-28
SBERP,Количество лиц,317,162,3,19,501,2025-02-28
ROSN,Открытые позиции,5348,3018,9452,11782,29600,2025-02-28
ROSN,Изменение,-265,-23,541,299,552,2025-02-28
ROSN,Количество лиц,623,310,12,28,973,2025-02-28
T,Открытые позиции,19670,2970,372,17072,40084,2025-02-28
T,Изменение,424,-290,-35,679,778,2025-02-28
T,Количество лиц,736,193,3,21,953,2025-02-28
FESH,Открытые позиции,7079,4210,0,2869,14158,2025-02-28
FESH,Изменение,-7,6,0,-13,-14,2025-02-28
FESH,Количество лиц,141,108,0,13,262,2025-02-28
PHOR,Открытые позиции,43750,5583,683,38850,88866,2025-02-28
PHOR,Изменение,11,-1111,-61,1061,-100,2025-02-28
PHOR,Количество лиц,285,204,2,25,516,2025-02-28
SVCB,Открытые позиции,85433,7469,281,78245,171428,2025-02-28
SVCB,Изменение,-3223,-708,-739,-3254,-7924,2025-02-28
SVCB,Количество лиц,704,103,2,17,826,2025-02-28
CBOM,Открытые позиции,709,5978,6507,1238,14432,2025-02-28
CBOM,Изменение,-62,366,30,-398,-64,2025-02-28
CBOM,Количество лиц,51,194,2,13,260,2025-02-28
LKOH,Открытые позиции,4988,4318,5287,5957,20550,2025-02-28
LKOH,Изменение,-461,-486,287,312,-348,2025-02-28
LKOH,Количество лиц,598,355,16,18,987,2025-02-28
KMAZ,Открытые позиции,10905,2926,5,7984,21820,2025-02-28
KMAZ,Изменение,-453,780,-25,-1258,-956,2025-02-28
KMAZ,Количество лиц,214,70,1,10,295,2025-02-28
SNGS,Открытые позиции,11694,2054,752,10392,24892,2025-02-28
SNGS,Изменение,60,-371,65,496,250,2025-02-28
SNGS,Количество лиц,371,108,7,29,515,2025-02-28
HYDR,Открытые позиции,9627,2398,323,7552,19900,2025-02-28
HYDR,Изменение,-508,-243,60,-205,-896,2025-02-28
HYDR,Количество лиц,232,108,2,19,361,2025-02-28
NVTK,Открытые позиции,4709,2592,1812,3929,13042,2025-02-28
NVTK,Изменение,104,30,61,135,330,2025-02-28
NVTK,Количество лиц,663,259,10,12,944,2025-02-28
FEES,Открытые позиции,4957,735,355,4577,10624,2025-02-28
FEES,Изменение,-174,-36,94,-44,-160,2025-02-28
FEES,Количество лиц,196,61,3,8,268,2025-02-28
MAGN,Открытые позиции,2797,1703,334,1428,6262,2025-02-28
MAGN,Изменение,208,-108,-38,278,340,2025-02-28
MAGN,Количество лиц,338,99,3,15,455,2025-02-28
BSPB,Открытые позиции,17206,6615,158,10749,34728,2025-02-28
BSPB,Изменение,-922,-89,157,-676,-1530,2025-02-28
BSPB,Количество лиц,341,163,3,13,520,2025-02-28
TATN,Открытые позиции,1012,2773,2661,900,7346,2025-02-28
TATN,Изменение,99,-212,-62,249,74,2025-02-28
TATN,Количество лиц,156,138,6,15,315,2025-02-28
FLOT,Открытые позиции,6219,3086,553,3686,13544,2025-02-28
FLOT,Изменение,-9,-29,1,21,-16,2025-02-28
FLOT,Количество лиц,301,139,3,14,457,2025-02-28
MTSS,Открытые позиции,2844,4044,1604,404,8896,2025-02-28
MTSS,Изменение,-170,195,449,84,558,2025-02-28
MTSS,Количество лиц,199,217,6,7,429,2025-02-28
TATNP,Открытые позиции,2841,1369,1540,3012,8762,2025-02-28
TATNP,Изменение,621,632,300,289,1842,2025-02-28
TATNP,Количество лиц,133,47,4,6,190,2025-02-28
CHMF,Открытые позиции,768,1595,839,12,3214,2025-02-28
CHMF,Изменение,-8,7,10,-5,4,2025-02-28
CHMF,Количество лиц,134,89,8,6,237,2025-02-28
RASP,Открытые позиции,7582,7421,907,1068,16978,2025-02-28
RASP,Изменение,1779,374,-1191,214,1176,2025-02-28
RASP,Количество лиц,157,156,3,9,325,2025-02-28
IRAO,Открытые позиции,3703,925,866,3644,9138,2025-02-28
IRAO,Изменение,75,124,31,-18,212,2025-02-28
IRAO,Количество лиц,348,50,3,14,415,2025-02-28
SNGSP,Открытые позиции,3384,521,108,2971,6984,2025-02-28
SNGSP,Изменение,167,-27,6,200,346,2025-02-28
SNGSP,Количество лиц,335,73,4,25,437,2025-02-28
PLZL,Открытые позиции,950,2014,2498,1434,6896,2025-02-28
PLZL,Изменение,8,-26,39,73,94,2025-02-28
PLZL,Количество лиц,177,322,5,17,521,2025-02-28
SPBE,Открытые позиции,12665,9572,10,3103,25350,2025-02-28
SPBE,Изменение,6686,4389,-559,1738,12254,2025-02-28
SPBE,Количество лиц,271,185,1,7,464,2025-02-28
