Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,473104,202744,63636,333996,1073480,2025-03-07
IMOEXF,Изменение,-5390,9596,-1811,-16797,-14402,2025-03-07
IMOEXF,Количество лиц,6489,2253,27,28,8797,2025-03-07
SBER,Открытые позиции,161510,71808,163615,253317,650250,2025-03-07
SBER,Изменение,-4208,891,-21048,-26147,-50512,2025-03-07
SBER,Количество лиц,4811,2040,66,58,6975,2025-03-07
GAZP,Открытые позиции,199971,62520,204392,341843,808726,2025-03-07
GAZP,Изменение,-21405,2092,7941,-15556,-26928,2025-03-07
GAZP,Количество лиц,3035,1701,54,51,4841,2025-03-07
SMLT,Открытые позиции,295602,161728,1796,135670,594796,2025-03-07
SMLT,Изменение,33383,2939,-3281,27163,60204,2025-03-07
SMLT,Количество лиц,1051,581,4,42,1678,2025-03-07
GMKN,Открытые позиции,354203,98316,156511,412398,1021428,2025-03-07
GMKN,Изменение,6074,2422,-17568,-13916,-22988,2025-03-07
GMKN,Количество лиц,1562,636,15,33,2246,2025-03-07
YDEX,Открытые позиции,144317,31186,28593,141724,345820,2025-03-07
YDEX,Изменение,-3565,-44,-1973,-5494,-11076,2025-03-07
YDEX,Количество лиц,1427,315,9,36,1787,2025-03-07
MGNT,Открытые позиции,65645,61841,145144,148948,421578,2025-03-07
MGNT,Изменение,-2985,-7,2194,-784,-1582,2025-03-07
MGNT,Количество лиц,1204,336,10,29,1579,2025-03-07
ABIO,Открытые позиции,14688,4515,77,10250,29530,2025-03-07
ABIO,Изменение,112,-623,-61,674,102,2025-03-07
ABIO,Количество лиц,87,56,1,12,156,2025-03-07
VTBR,Открытые позиции,218209,20590,30925,228544,498268,2025-03-07
VTBR,Изменение,-7792,292,3523,-4561,-8538,2025-03-07
VTBR,Количество лиц,2951,708,15,47,3721,2025-03-07
SGZH,Открытые позиции,94919,122224,31342,4037,252522,2025-03-07
SGZH,Изменение,-6143,5841,12068,84,11850,2025-03-07
SGZH,Количество лиц,836,637,17,7,1497,2025-03-07
TRNFP,Открытые позиции,173163,27613,5241,150791,356808,2025-03-07
TRNFP,Изменение,3331,-1044,-202,4173,6258,2025-03-07
TRNFP,Количество лиц,866,225,4,19,1114,2025-03-07
WUSH,Открытые позиции,89897,25492,407,64812,180608,2025-03-07
WUSH,Изменение,6617,2338,16,4295,13266,2025-03-07
WUSH,Количество лиц,771,248,2,26,1047,2025-03-07
VKCO,Открытые позиции,76428,15024,3953,65357,160762,2025-03-07
