Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,457461,211628,41827,287660,998576,2025-02-19
IMOEXF,Изменение,32764,-4181,-16479,20466,32570,2025-02-19
IMOEXF,Количество лиц,5507,2791,22,21,8341,2025-02-19
SBER,Открытые позиции,159441,73025,243973,330389,806828,2025-02-19
SBER,Изменение,-20822,-626,25321,5125,8998,2025-02-19
SBER,Количество лиц,4871,2162,75,37,7145,2025-02-19
GAZP,Открытые позиции,179377,100775,204574,283176,767902,2025-02-19
GAZP,Изменение,24113,1702,-3369,19042,41488,2025-02-19
GAZP,Количество лиц,2913,2327,38,97,5375,2025-02-19
SMLT,Открытые позиции,284193,153698,3259,133754,574904,2025-02-19
SMLT,Изменение,-4067,-4248,0,181,-8134,2025-02-19
SMLT,Количество лиц,1044,632,1,36,1713,2025-02-19
GMKN,Открытые позиции,305591,93513,90390,302468,791962,2025-02-19
GMKN,Изменение,-47243,-14591,-9077,-41729,-112640,2025-02-19
GMKN,Количество лиц,1516,575,12,41,2144,2025-02-19
YDEX,Открытые позиции,183994,40762,15547,158779,399082,2025-02-19
YDEX,Изменение,1821,-1700,129,3650,3900,2025-02-19
YDEX,Количество лиц,1335,383,7,42,1767,2025-02-19
MGNT,Открытые позиции,54087,67028,159214,146273,426602,2025-02-19
MGNT,Изменение,-1419,-39,41,-1339,-2756,2025-02-19
MGNT,Количество лиц,1012,411,9,41,1473,2025-02-19
ABIO,Открытые позиции,11467,6658,26,4835,22986,2025-02-19
ABIO,Изменение,-3702,1565,26,-5241,-7352,2025-02-19
ABIO,Количество лиц,78,47,1,11,137,2025-02-19
VTBR,Открытые позиции,176667,26966,58492,208193,470318,2025-02-19
VTBR,Изменение,3939,-6841,-3429,7351,1020,2025-02-19
VTBR,Количество лиц,2738,808,18,48,3612,2025-02-19
SGZH,Открытые позиции,120401,129858,9701,244,260204,2025-02-19
SGZH,Изменение,-5058,11112,8569,-7601,7022,2025-02-19
SGZH,Количество лиц,864,717,7,2,1590,2025-02-19
TRNFP,Открытые позиции,116587,21182,3159,98564,239492,2025-02-19
TRNFP,Изменение,-11089,759,571,-11277,-21036,2025-02-19
TRNFP,Количество лиц,747,208,3,14,972,2025-02-19
WUSH,Открытые позиции,58354,19621,547,39280,117802,2025-02-19
WUSH,Изменение,4762,-74,-196,4640,9132,2025-02-19
WUSH,Количество лиц,495,148,3,22,668,2025-02-19
VKCO,Открытые позиции,73339,14753,3706,62292,154090,2025-02-19
VKCO,Изменение,-10586,515,153,-10948,-20866,2025-02-19
VKCO,Количество лиц,959,309,5,25,1298,2025-02-19
BABA,Открытые позиции,20044,9180,500,11364,41088,2025-02-19
BABA,Изменение,14095,1873,-1235,10987,25720,2025-02-19
BABA,Количество лиц,412,284,1,3,700,2025-02-19
BIDU,Открытые позиции,22923,1711,0,21212,45846,2025-02-19
BIDU,Изменение,3749,-641,0,4390,7498,2025-02-19
BIDU,Количество лиц,322,47,0,3,372,2025-02-19
SIBN,Открытые позиции,31081,5182,22,25921,62206,2025-02-19
SIBN,Изменение,-161,254,7,-408,-308,2025-02-19
SIBN,Количество лиц,893,153,2,19,1067,2025-02-19
RNFT,Открытые позиции,33050,36220,3297,127,72694,2025-02-19
RNFT,Изменение,-3082,-3593,-1565,-1054,-9294,2025-02-19
RNFT,Количество лиц,300,342,4,2,648,2025-02-19
MVID,Открытые позиции,22336,23433,1290,193,47252,2025-02-19
MVID,Изменение,1927,-415,-2291,51,-728,2025-02-19
MVID,Количество лиц,187,187,1,3,378,2025-02-19
PIKK,Открытые позиции,8432,65493,57534,473,131932,2025-02-19
PIKK,Изменение,936,-3004,-4947,-1007,-8022,2025-02-19
PIKK,Количество лиц,288,944,6,10,1248,2025-02-19
BELU,Открытые позиции,32038,10362,523,22199,65122,2025-02-19
BELU,Изменение,-7743,-52,523,-7168,-14440,2025-02-19
BELU,Количество лиц,209,68,1,6,284,2025-02-19
MTLR,Открытые позиции,8476,21607,15845,2714,48642,2025-02-19
MTLR,Изменение,-333,785,1084,-34,1502,2025-02-19
MTLR,Количество лиц,513,445,9,9,976,2025-02-19
POSI,Открытые позиции,112659,93201,3642,23100,232602,2025-02-19
POSI,Изменение,-3032,-4872,-283,1557,-6630,2025-02-19
POSI,Количество лиц,1281,469,6,20,1776,2025-02-19
ASTR,Открытые позиции,68609,18072,100,50637,137418,2025-02-19
ASTR,Изменение,-145,5392,100,-5437,-90,2025-02-19
ASTR,Количество лиц,481,104,1,12,598,2025-02-19
SOFL,Открытые позиции,25101,5289,20,19832,50242,2025-02-19
SOFL,Изменение,2049,2040,20,29,4138,2025-02-19
SOFL,Количество лиц,223,55,1,12,291,2025-02-19
ALRS,Открытые позиции,24716,7574,79520,96662,208472,2025-02-19
ALRS,Изменение,116,-26,159,301,550,2025-02-19
ALRS,Количество лиц,547,249,6,31,833,2025-02-19
NLMK,Открытые позиции,31183,4146,2222,29259,66810,2025-02-19
NLMK,Изменение,-2002,-33,-8,-1977,-4020,2025-02-19
NLMK,Количество лиц,503,226,7,21,757,2025-02-19
AFLT,Открытые позиции,27685,21664,2941,8962,61252,2025-02-19
AFLT,Изменение,-4,-123,244,363,480,2025-02-19
AFLT,Количество лиц,659,431,6,20,1116,2025-02-19
