Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,424697,215809,58306,267194,966006,2025-02-18
IMOEXF,Изменение,-9917,9667,12983,-6601,6132,2025-02-18
IMOEXF,Количество лиц,5357,2769,32,16,8174,2025-02-18
SBER,Открытые позиции,180263,73651,218652,325264,797830,2025-02-18
SBER,Изменение,23609,-6011,-21223,8397,4772,2025-02-18
SBER,Количество лиц,5301,2086,68,64,7519,2025-02-18
GAZP,Открытые позиции,155264,99073,207943,264134,726414,2025-02-18
GAZP,Изменение,1955,6014,21866,17807,47642,2025-02-18
GAZP,Количество лиц,3000,2289,47,105,5441,2025-02-18
SMLT,Открытые позиции,288260,157946,3259,133573,583038,2025-02-18
SMLT,Изменение,11175,-4473,0,15648,22350,2025-02-18
SMLT,Количество лиц,1076,643,1,39,1759,2025-02-18
GMKN,Открытые позиции,352834,108104,99467,344197,904602,2025-02-18
GMKN,Изменение,-28961,33839,29485,-33315,1048,2025-02-18
GMKN,Количество лиц,1703,604,15,50,2372,2025-02-18
YDEX,Открытые позиции,182173,42462,15418,155129,395182,2025-02-18
YDEX,Изменение,10379,2720,-47,7612,20664,2025-02-18
YDEX,Количество лиц,1328,393,6,46,1773,2025-02-18
MGNT,Открытые позиции,55506,67067,159173,147612,429358,2025-02-18
MGNT,Изменение,1677,-587,31,2295,3416,2025-02-18
MGNT,Количество лиц,1051,406,8,41,1506,2025-02-18
ABIO,Открытые позиции,15169,5093,0,10076,30338,2025-02-18
ABIO,Изменение,342,51,0,291,684,2025-02-18
ABIO,Количество лиц,83,31,0,10,124,2025-02-18
VTBR,Открытые позиции,172728,33807,61921,200842,469298,2025-02-18
VTBR,Изменение,31232,16719,9262,23775,80988,2025-02-18
VTBR,Количество лиц,2759,904,14,51,3728,2025-02-18
SGZH,Открытые позиции,125459,118746,1132,7845,253182,2025-02-18
SGZH,Изменение,-6257,38773,952,-44078,-10610,2025-02-18
SGZH,Количество лиц,828,659,3,5,1495,2025-02-18
TRNFP,Открытые позиции,127676,20423,2588,109841,260528,2025-02-18
TRNFP,Изменение,10966,1749,299,9516,22530,2025-02-18
TRNFP,Количество лиц,805,186,3,20,1014,2025-02-18
WUSH,Открытые позиции,53592,19695,743,34640,108670,2025-02-18
WUSH,Изменение,1084,-399,-331,1152,1506,2025-02-18
WUSH,Количество лиц,480,146,2,18,646,2025-02-18
VKCO,Открытые позиции,83925,14238,3553,73240,174956,2025-02-18
VKCO,Изменение,-2074,-588,-442,-1928,-5032,2025-02-18
VKCO,Количество лиц,1014,278,4,26,1322,2025-02-18
BABA,Открытые позиции,5949,7307,1735,377,15368,2025-02-18
BABA,Изменение,1112,2054,647,-295,3518,2025-02-18
BABA,Количество лиц,371,272,2,2,647,2025-02-18
BIDU,Открытые позиции,19174,2352,0,16822,38348,2025-02-18
BIDU,Изменение,951,994,0,-43,1902,2025-02-18
BIDU,Количество лиц,294,47,0,2,343,2025-02-18
SIBN,Открытые позиции,31242,4928,15,26329,62514,2025-02-18
SIBN,Изменение,10055,253,14,9816,20138,2025-02-18
SIBN,Количество лиц,913,138,2,25,1078,2025-02-18
RNFT,Открытые позиции,36132,39813,4862,1181,81988,2025-02-18
RNFT,Изменение,4427,79,-3230,1118,2394,2025-02-18
RNFT,Количество лиц,308,318,2,9,637,2025-02-18
MVID,Открытые позиции,20409,23848,3581,142,47980,2025-02-18
MVID,Изменение,737,-739,-1551,-75,-1628,2025-02-18
MVID,Количество лиц,184,185,2,3,374,2025-02-18
PIKK,Открытые позиции,7496,68497,62481,1480,139954,2025-02-18
PIKK,Изменение,345,-3333,-3608,70,-6526,2025-02-18
PIKK,Количество лиц,312,985,6,14,1317,2025-02-18
BELU,Открытые позиции,39781,10414,0,29367,79562,2025-02-18
BELU,Изменение,2422,381,0,2041,4844,2025-02-18
BELU,Количество лиц,220,66,0,7,293,2025-02-18
MTLR,Открытые позиции,8809,20822,14761,2748,47140,2025-02-18
MTLR,Изменение,190,-537,-845,-118,-1310,2025-02-18
MTLR,Количество лиц,531,422,6,10,969,2025-02-18
POSI,Открытые позиции,115691,98073,3925,21543,239232,2025-02-18
POSI,Изменение,4840,13999,2224,-6935,14128,2025-02-18
POSI,Количество лиц,1321,536,6,11,1874,2025-02-18
ASTR,Открытые позиции,68754,12680,0,56074,137508,2025-02-18
ASTR,Изменение,726,847,0,-121,1452,2025-02-18
ASTR,Количество лиц,473,93,0,12,578,2025-02-18
SOFL,Открытые позиции,23052,3249,0,19803,46104,2025-02-18
SOFL,Изменение,3482,559,0,2923,6964,2025-02-18
SOFL,Количество лиц,220,48,0,11,279,2025-02-18
ALRS,Открытые позиции,24600,7600,79361,96361,207922,2025-02-18
ALRS,Изменение,1901,-1470,14,3385,3830,2025-02-18
ALRS,Количество лиц,579,253,6,31,869,2025-02-18
