Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,623345,214438,38071,446978,1322832,2025-03-19
IMOEXF,Изменение,46368,-8150,-5556,48962,81624,2025-03-19
IMOEXF,Количество лиц,7650,1974,26,33,9683,2025-03-19
SBER,Открытые позиции,174123,84882,232431,321672,813108,2025-03-19
SBER,Изменение,3339,281,60596,63654,127870,2025-03-19
SBER,Количество лиц,4482,1730,62,74,6348,2025-03-19
GAZP,Открытые позиции,259899,50428,298519,507990,1116836,2025-03-19
GAZP,Изменение,3117,-2097,106748,111962,219730,2025-03-19
GAZP,Количество лиц,3155,1304,55,54,4568,2025-03-19
SMLT,Открытые позиции,250443,121248,6216,135411,513318,2025-03-19
SMLT,Изменение,24480,-8144,-4248,28376,40464,2025-03-19
SMLT,Количество лиц,906,472,9,22,1409,2025-03-19
GMKN,Открытые позиции,397355,77546,97676,417485,990062,2025-03-19
GMKN,Изменение,-25814,-18318,-7593,-15089,-66814,2025-03-19
GMKN,Количество лиц,1536,461,18,28,2043,2025-03-19
YDEX,Открытые позиции,136474,30969,51693,157198,376334,2025-03-19
YDEX,Изменение,-10631,-1287,22230,12886,23198,2025-03-19
YDEX,Количество лиц,1293,305,15,26,1639,2025-03-19
MGNT,Открытые позиции,68005,43791,172769,196983,481548,2025-03-19
MGNT,Изменение,-3392,-2868,-4332,-4856,-15448,2025-03-19
MGNT,Количество лиц,1082,278,20,33,1413,2025-03-19
ABIO,Открытые позиции,13379,2637,0,10742,26758,2025-03-19
ABIO,Изменение,-401,-314,0,-87,-802,2025-03-19
ABIO,Количество лиц,62,36,0,9,107,2025-03-19
VTBR,Открытые позиции,218958,17472,72768,274254,583452,2025-03-19
VTBR,Изменение,5563,-758,22900,29221,56926,2025-03-19
VTBR,Количество лиц,2883,510,25,52,3470,2025-03-19
SGZH,Открытые позиции,82890,89243,19867,13514,205514,2025-03-19
SGZH,Изменение,-36,-4378,-133,4209,-338,2025-03-19
SGZH,Количество лиц,745,473,9,20,1247,2025-03-19
TRNFP,Открытые позиции,166901,16479,7961,158383,349724,2025-03-19
TRNFP,Изменение,-7185,322,557,-6950,-13256,2025-03-19
TRNFP,Количество лиц,895,136,4,19,1054,2025-03-19
WUSH,Открытые позиции,83649,16265,700,68084,168698,2025-03-19
WUSH,Изменение,-1652,-2209,-266,291,-3836,2025-03-19
WUSH,Количество лиц,700,197,1,23,921,2025-03-19
VKCO,Открытые позиции,69619,7747,5261,67133,149760,2025-03-19
VKCO,Изменение,-2258,-1359,-863,-1762,-6242,2025-03-19
VKCO,Количество лиц,801,199,5,24,1029,2025-03-19
BABA,Открытые позиции,11635,20478,14529,5686,52328,2025-03-19
BABA,Изменение,459,-3927,-3645,741,-6372,2025-03-19
BABA,Количество лиц,368,251,5,4,628,2025-03-19
BIDU,Открытые позиции,36486,4272,1,32215,72974,2025-03-19
BIDU,Изменение,1152,-1695,0,2847,2304,2025-03-19
BIDU,Количество лиц,223,90,1,4,318,2025-03-19
SIBN,Открытые позиции,41013,3815,952,38150,83930,2025-03-19
SIBN,Изменение,-4247,635,716,-4166,-7062,2025-03-19
SIBN,Количество лиц,797,110,5,21,933,2025-03-19
RNFT,Открытые позиции,40926,17111,1298,25113,84448,2025-03-19
RNFT,Изменение,1783,-2201,-306,3678,2954,2025-03-19
RNFT,Количество лиц,284,194,1,25,504,2025-03-19
MVID,Открытые позиции,21784,28477,7924,1231,59416,2025-03-19
MVID,Изменение,-419,-1658,-2484,-1245,-5806,2025-03-19
MVID,Количество лиц,207,239,6,6,458,2025-03-19
PIKK,Открытые позиции,13788,33450,21925,2263,71426,2025-03-19
PIKK,Изменение,619,185,-435,-1,368,2025-03-19
PIKK,Количество лиц,330,365,10,7,712,2025-03-19
BELU,Открытые позиции,27826,12395,89,15520,55830,2025-03-19
BELU,Изменение,408,1233,-60,-885,696,2025-03-19
BELU,Количество лиц,201,68,1,6,276,2025-03-19
MTLR,Открытые позиции,8288,20094,12700,894,41976,2025-03-19
MTLR,Изменение,-375,-1256,-829,52,-2408,2025-03-19
MTLR,Количество лиц,413,406,8,5,832,2025-03-19
POSI,Открытые позиции,91890,67843,367,24414,184514,2025-03-19
POSI,Изменение,-720,-2303,-911,672,-3262,2025-03-19
POSI,Количество лиц,1054,160,3,15,1232,2025-03-19
ASTR,Открытые позиции,91072,9637,14573,96008,211290,2025-03-19
ASTR,Изменение,-1812,-793,11446,10427,19268,2025-03-19
ASTR,Количество лиц,603,85,5,11,704,2025-03-19
SOFL,Открытые позиции,24767,3461,13,21319,49560,2025-03-19
SOFL,Изменение,798,-59,-90,767,1416,2025-03-19
SOFL,Количество лиц,181,48,1,14,244,2025-03-19
ALRS,Открытые позиции,20997,16896,105362,109463,252718,2025-03-19
ALRS,Изменение,-1590,939,3318,789,3456,2025-03-19
ALRS,Количество лиц,538,234,22,36,830,2025-03-19
NLMK,Открытые позиции,20606,4628,3390,19368,47992,2025-03-19
NLMK,Изменение,-472,-65,159,-248,-626,2025-03-19
NLMK,Количество лиц,487,214,7,23,731,2025-03-19
AFLT,Открытые позиции,33743,18820,3237,18160,73960,2025-03-19
AFLT,Изменение,-664,-533,690,559,52,2025-03-19
AFLT,Количество лиц,711,331,9,34,1085,2025-03-19
BANE,Открытые позиции,4234,7082,3472,624,15412,2025-03-19
BANE,Изменение,-221,-91,37,-93,-368,2025-03-19
BANE,Количество лиц,132,84,3,7,226,2025-03-19
RUAL,Открытые позиции,30576,6872,1466,25170,64084,2025-03-19
RUAL,Изменение,-1832,-71,-224,-1985,-4112,2025-03-19
RUAL,Количество лиц,507,171,6,22,706,2025-03-19
LEAS,Открытые позиции,26655,8555,123,18223,53556,2025-03-19
LEAS,Изменение,1981,-289,-1335,935,1292,2025-03-19
LEAS,Количество лиц,200,75,2,7,284,2025-03-19
AFKS,Открытые позиции,7373,4939,1195,3629,17136,2025-03-19
AFKS,Изменение,-461,-250,630,419,338,2025-03-19
AFKS,Количество лиц,293,271,10,23,597,2025-03-19
RTKM,Открытые позиции,11931,5364,59300,65867,142462,2025-03-19
RTKM,Изменение,-512,-153,-1275,-1634,-3574,2025-03-19
RTKM,Количество лиц,322,108,13,17,460,2025-03-19
SFIN,Открытые позиции,19878,10631,59,9306,39874,2025-03-19
SFIN,Изменение,-2303,-2200,-143,-246,-4892,2025-03-19
SFIN,Количество лиц,234,71,1,13,319,2025-03-19
MOEX,Открытые позиции,21888,4022,441,18307,44658,2025-03-19
