Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
IMOEXF,Открытые позиции,601559,236006,36337,401890,1275792,2025-03-22
IMOEXF,Изменение,-3949,20175,-3314,-27438,-14526,2025-03-22
IMOEXF,Количество лиц,7666,1980,25,32,9703,2025-03-22
SBER,Открытые позиции,107883,59055,79787,128615,375340,2025-03-22
SBER,Изменение,-33413,-7518,-176627,-202522,-420080,2025-03-22
SBER,Количество лиц,3545,1374,40,34,4993,2025-03-22
GAZP,Открытые позиции,233568,52265,120717,302020,708570,2025-03-22
GAZP,Изменение,-16087,2180,-213195,-231462,-458564,2025-03-22
GAZP,Количество лиц,2367,1091,26,40,3524,2025-03-22
SMLT,Открытые позиции,182505,47229,0,135276,365010,2025-03-22
SMLT,Изменение,-1758,-69246,-69800,-2312,-143116,2025-03-22
SMLT,Количество лиц,730,293,0,23,1046,2025-03-22
GMKN,Открытые позиции,301854,54451,74843,322246,753394,2025-03-22
GMKN,Изменение,-16479,-5132,-69497,-80844,-171952,2025-03-22
GMKN,Количество лиц,1092,337,9,35,1473,2025-03-22
YDEX,Открытые позиции,104656,15031,22686,112311,254684,2025-03-22
YDEX,Изменение,-20408,-2349,-43491,-61550,-127798,2025-03-22
YDEX,Количество лиц,919,155,5,22,1101,2025-03-22
MGNT,Открытые позиции,41998,5881,99244,135361,282484,2025-03-22
MGNT,Изменение,-11176,-32155,-100236,-79257,-222824,2025-03-22
MGNT,Количество лиц,824,151,5,17,997,2025-03-22
VTBR,Открытые позиции,153610,11343,7192,149459,321604,2025-03-22
VTBR,Изменение,-20043,-1206,-130789,-149626,-301664,2025-03-22
VTBR,Количество лиц,2179,396,5,32,2612,2025-03-22
SGZH,Открытые позиции,59112,59685,581,8,119386,2025-03-22
SGZH,Изменение,-12085,-16818,-9593,-4860,-43356,2025-03-22
SGZH,Количество лиц,524,327,3,1,855,2025-03-22
TRNFP,Открытые позиции,106063,13188,229,93104,212584,2025-03-22
TRNFP,Изменение,-21887,-507,-29268,-50648,-102310,2025-03-22
TRNFP,Количество лиц,643,116,1,23,783,2025-03-22
WUSH,Открытые позиции,54539,8713,34,45860,109146,2025-03-22
WUSH,Изменение,-9392,-6819,-4365,-6938,-27514,2025-03-22
WUSH,Количество лиц,499,134,1,18,652,2025-03-22
VKCO,Открытые позиции,66727,46496,6454,26685,146362,2025-03-22
VKCO,Изменение,-4744,14365,-299,-19408,-10086,2025-03-22
VKCO,Количество лиц,794,574,4,10,1382,2025-03-22
BABA,Открытые позиции,6192,1994,272,4470,12928,2025-03-22
BABA,Изменение,-8552,-7806,-1985,-2731,-21074,2025-03-22
BABA,Количество лиц,362,116,3,3,484,2025-03-22
BIDU,Открытые позиции,33467,1714,0,31753,66934,2025-03-22
BIDU,Изменение,-14966,-1093,-1,-13874,-29934,2025-03-22
BIDU,Количество лиц,209,34,0,4,247,2025-03-22
SIBN,Открытые позиции,15602,1740,10,13872,31224,2025-03-22
SIBN,Изменение,-17362,-455,-5311,-22218,-45346,2025-03-22
SIBN,Количество лиц,559,70,1,20,650,2025-03-22
RNFT,Открытые позиции,24811,17476,253,7588,50128,2025-03-22
RNFT,Изменение,-7268,-2783,-2054,-6539,-18644,2025-03-22
RNFT,Количество лиц,223,171,2,15,411,2025-03-22
MVID,Открытые позиции,13158,15214,3056,1000,32428,2025-03-22
MVID,Изменение,-6558,-7150,-1714,-1122,-16544,2025-03-22
MVID,Количество лиц,146,172,2,1,321,2025-03-22
PIKK,Открытые позиции,13519,9276,326,4569,27690,2025-03-22
PIKK,Изменение,2069,-21139,-18927,4281,-33716,2025-03-22
PIKK,Количество лиц,334,266,4,14,618,2025-03-22
BELU,Открытые позиции,18558,16043,2,2517,37120,2025-03-22
BELU,Изменение,-8386,38,-3,-8427,-16778,2025-03-22
BELU,Количество лиц,166,66,1,4,237,2025-03-22
MTLR,Открытые позиции,8359,14569,6270,60,29258,2025-03-22
MTLR,Изменение,-27,-2891,-6241,-3377,-12536,2025-03-22
MTLR,Количество лиц,392,311,6,3,712,2025-03-22
POSI,Открытые позиции,48971,37223,63,11811,98068,2025-03-22
POSI,Изменение,-25483,-9426,53,-16004,-50860,2025-03-22
POSI,Количество лиц,498,118,2,9,627,2025-03-22
ASTR,Открытые позиции,51803,7522,114,44395,103834,2025-03-22
ASTR,Изменение,-35255,-3043,-25039,-57251,-120588,2025-03-22
ASTR,Количество лиц,304,70,1,12,387,2025-03-22
SOFL,Открытые позиции,18120,3755,315,14680,36870,2025-03-22
SOFL,Изменение,-2622,-759,47,-1816,-5150,2025-03-22
SOFL,Количество лиц,171,41,2,11,225,2025-03-22
ALRS,Открытые позиции,13917,13391,79192,79718,186218,2025-03-22
ALRS,Изменение,-4840,-934,-32316,-36222,-74312,2025-03-22
ALRS,Количество лиц,380,185,2,30,597,2025-03-22
NLMK,Открытые позиции,18182,4552,2261,15891,40886,2025-03-22
NLMK,Изменение,-1547,-989,-3183,-3741,-9460,2025-03-22
NLMK,Количество лиц,394,175,4,7,580,2025-03-22
AFLT,Открытые позиции,25749,10771,775,15753,53048,2025-03-22
AFLT,Изменение,-584,-5372,-4669,119,-10506,2025-03-22
AFLT,Количество лиц,491,240,3,25,759,2025-03-22
BANE,Открытые позиции,2630,5335,2705,0,10670,2025-03-22
BANE,Изменение,-1130,-2082,-2399,-1447,-7058,2025-03-22
BANE,Количество лиц,103,52,5,0,160,2025-03-22
RUAL,Открытые позиции,18018,5036,190,13172,36416,2025-03-22
RUAL,Изменение,-1336,-836,-989,-1489,-4650,2025-03-22
RUAL,Количество лиц,410,106,2,16,534,2025-03-22
LEAS,Открытые позиции,21760,6466,0,15294,43520,2025-03-22
LEAS,Изменение,3285,-623,-1863,2045,2844,2025-03-22
LEAS,Количество лиц,171,42,0,12,225,2025-03-22
AFKS,Открытые позиции,7235,3558,0,3677,14470,2025-03-22
AFKS,Изменение,-291,-630,-1760,-1421,-4102,2025-03-22
AFKS,Количество лиц,275,196,0,17,488,2025-03-22
RTKM,Открытые позиции,6530,3833,38529,41226,90118,2025-03-22
RTKM,Изменение,-3758,-899,-22878,-25737,-53272,2025-03-22
RTKM,Количество лиц,233,84,1,17,335,2025-03-22
SFIN,Открытые позиции,12702,4066,0,8636,25404,2025-03-22
SFIN,Изменение,-5091,-6416,-559,766,-11300,2025-03-22
SFIN,Количество лиц,150,45,0,9,204,2025-03-22
MOEX,Открытые позиции,16431,3779,64,12716,32990,2025-03-22
MOEX,Изменение,-2591,-121,-1732,-4202,-8646,2025-03-22
MOEX,Количество лиц,890,115,3,7,1015,2025-03-22
SBERP,Открытые позиции,3875,1400,380,2855,8510,2025-03-22
SBERP,Изменение,-670,398,-1263,-2331,-3866,2025-03-22
SBERP,Количество лиц,224,85,8,10,327,2025-03-22
ROSN,Открытые позиции,5466,1222,8841,13085,28614,2025-03-22
ROSN,Изменение,-383,-38,-8482,-8827,-17730,2025-03-22
ROSN,Количество лиц,597,143,7,27,774,2025-03-22
FESH,Открытые позиции,1655,2337,682,0,4674,2025-03-22
FESH,Изменение,-1602,-547,-10,-1065,-3224,2025-03-22
FESH,Количество лиц,83,35,3,0,121,2025-03-22
PHOR,Открытые позиции,6342,1989,59,4412,12802,2025-03-22
PHOR,Изменение,-35982,33,-116,-36131,-72196,2025-03-22
PHOR,Количество лиц,161,73,1,13,248,2025-03-22
SVCB,Открытые позиции,50487,6786,0,43701,100974,2025-03-22
SVCB,Изменение,-27033,-2267,-6073,-30839,-66212,2025-03-22
SVCB,Количество лиц,260,81,0,15,356,2025-03-22
CBOM,Открытые позиции,266,3303,3087,50,6706,2025-03-22
CBOM,Изменение,-91,-696,-4721,-4116,-9624,2025-03-22
CBOM,Количество лиц,48,102,3,2,155,2025-03-22
LKOH,Открытые позиции,6008,3398,3611,6221,19238,2025-03-22
LKOH,Изменение,-402,-279,-645,-768,-2094,2025-03-22
LKOH,Количество лиц,878,223,9,17,1127,2025-03-22
KMAZ,Открытые позиции,8876,1703,0,7173,17752,2025-03-22
KMAZ,Изменение,-751,590,-1864,-3205,-5230,2025-03-22
KMAZ,Количество лиц,120,34,0,9,163,2025-03-22
SNGS,Открытые позиции,9095,1178,1574,9491,21338,2025-03-22
SNGS,Изменение,-2497,-23,-3202,-5676,-11398,2025-03-22
SNGS,Количество лиц,352,60,5,33,450,2025-03-22
HYDR,Открытые позиции,4822,1053,0,3769,9644,2025-03-22
HYDR,Изменение,-2716,-375,-1563,-3904,-8558,2025-03-22
HYDR,Количество лиц,169,65,0,16,250,2025-03-22
NVTK,Открытые позиции,3733,1343,1333,3723,10132,2025-03-22
NVTK,Изменение,-889,-844,-1514,-1559,-4806,2025-03-22
NVTK,Количество лиц,564,159,6,16,745,2025-03-22
FEES,Открытые позиции,3686,500,0,3186,7372,2025-03-22
FEES,Изменение,-164,-101,-2079,-2142,-4486,2025-03-22
